step,action,eef_pos,target_pos,obstacle_pos,target_half_size,obstacle_half_size,good
0,"[ 0.          0.         -0.00953852  0.          0.          0.
 -1.        ]",[ 0.07944518 -0.11848117  1.01417838],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
1,"[ 0.          0.00178571 -0.00940354  0.          0.          0.
 -1.        ]",[ 0.07949084 -0.11851256  1.01411923],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
2,"[ 0.05892857  0.24821429 -0.00922607  0.          0.          0.
 -1.        ]",[ 0.07982198 -0.11721796  1.01402382],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
3,"[ 0.1125      0.36785714 -0.00893984  0.          0.          0.
 -1.        ]",[ 0.08060994 -0.11428314  1.01381577],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
4,"[ 0.11428571  0.35892857 -0.0083157   0.          0.          0.
 -1.        ]",[ 0.08161425 -0.11064793  1.01349677],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
5,"[ 0.10892857  0.35535714 -0.00735869  0.          0.          0.
 -1.        ]",[ 0.08264866 -0.10675696  1.0131535 ],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
6,"[ 0.12857143  0.34642857 -0.0063289   0.          0.          0.
 -1.        ]",[ 0.08380599 -0.1026962   1.01281159],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
7,"[ 0.12142857  0.34107143 -0.00530316  0.          0.          0.
 -1.        ]",[ 0.08502149 -0.09851139  1.01245602],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
8,"[ 0.11428571  0.325      -0.00423646  0.          0.          0.
 -1.        ]",[ 0.08622705 -0.094304    1.01213518],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
9,"[ 0.11428571  0.31785714 -0.00327392  0.          0.          0.
 -1.        ]",[ 0.0874389  -0.0901091   1.01184339],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
10,"[ 0.06785714  0.34285714 -0.00239856  0.          0.          0.
 -1.        ]",[ 0.08843071 -0.0857689   1.01162198],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
11,"[ 0.05535714  0.36071429 -0.00173432  0.          0.          0.
 -1.        ]",[ 0.08923645 -0.08122927  1.01155058],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
12,"[ 0.06071429  0.36071429 -0.00152012  0.          0.          0.
 -1.        ]",[ 0.09002412 -0.07659442  1.01155278],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
13,"[ 0.06428571  0.3625     -0.00152673  0.          0.          0.
 -1.        ]",[ 0.09082949 -0.07191825  1.01154857],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
14,"[ 0.06964286  0.35178571 -0.0015141   0.          0.          0.
 -1.        ]",[ 0.09165203 -0.06727311  1.0115104 ],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
15,"[ 0.05892857  0.34464286 -0.00139958  0.          0.          0.
 -1.        ]",[ 0.09241361 -0.06269662  1.01144417],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
16,"[ 0.04107143  0.35178571 -0.00120088  0.          0.          0.
 -1.        ]",[ 0.09303341 -0.05811896  1.01139779],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
17,"[ 0.01428571  0.3625     -0.00106175  0.          0.          0.
 -1.        ]",[ 0.09344482 -0.05347461  1.01141514],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
18,"[ 0.00357143  0.36428571 -0.00111382  0.          0.          0.
 -1.        ]",[ 0.09370233 -0.0487887   1.01149154],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
19,"[ 0.          0.36785714 -0.001343    0.          0.          0.
 -1.        ]",[ 0.09390347 -0.04407535  1.0116054 ],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
20,"[ 0.          0.36607143 -0.00168457  0.          0.          0.
 -1.        ]",[ 0.09407303 -0.03935442  1.01171866],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
21,"[ 0.          0.35714286 -0.00202437  0.          0.          0.
 -1.        ]",[ 0.09420633 -0.03468094  1.01181169],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
22,"[ 0.00714286  0.35535714 -0.00230347  0.          0.          0.
 -1.        ]",[ 0.09435166 -0.03004932  1.01188562],"[0.04315258 0.11303693 0.852      0.         0.         0.
 1.        ]","[0.07633045 0.13900408 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
