step,action,eef_pos,target_pos,obstacle_pos,target_half_size,obstacle_half_size,good
0,"[ 0.          0.         -0.00998257  0.          0.          0.
 -1.        ]",[0.07523408 0.07918044 1.0142613 ],"[-0.07461512  0.26686471  0.852       0.          0.          0.
  1.        ]","[-0.04247295  0.23355657  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
1,"[ 0.01964286 -0.01607143 -0.00965228  0.          0.          0.
 -1.        ]",[0.07531901 0.07910265 1.01413487],"[-0.07461512  0.26686471  0.852       0.          0.          0.
  1.        ]","[-0.04247295  0.23355657  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
2,"[ 0.15714286 -0.20357143 -0.00927301  0.          0.          0.
 -1.        ]",[0.07615133 0.07795969 1.01384381],"[-0.07461512  0.26686471  0.852       0.          0.          0.
  1.        ]","[-0.04247295  0.23355657  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
3,"[ 0.23571429 -0.23392857 -0.00839981  0.          0.          0.
 -1.        ]",[0.07781503 0.07586857 1.01319278],"[-0.07461512  0.26686471  0.852       0.          0.          0.
  1.        ]","[-0.04247295  0.23355657  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
4,"[ 0.24107143 -0.22321429 -0.00644671  0.          0.          0.
 -1.        ]",[0.07982245 0.07349988 1.01230456],"[-0.07461512  0.26686471  0.852       0.          0.          0.
  1.        ]","[-0.04247295  0.23355657  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
5,"[ 0.24464286 -0.22857143 -0.00378208  0.          0.          0.
 -1.        ]",[0.08197546 0.07097324 1.0114024 ],"[-0.07461512  0.26686471  0.852       0.          0.          0.
  1.        ]","[-0.04247295  0.23355657  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
6,"[ 0.24107143 -0.21607143 -0.00107557  0.          0.          0.
 -1.        ]",[0.08422998 0.06836677 1.01057074],"[-0.07461512  0.26686471  0.852       0.          0.          0.
  1.        ]","[-0.04247295  0.23355657  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
7,"[ 0.23392857 -0.21964286  0.00141941  0.          0.          0.
 -1.        ]",[0.08653378 0.06568182 1.00985044],"[-0.07461512  0.26686471  0.852       0.          0.          0.
  1.        ]","[-0.04247295  0.23355657  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
8,"[ 0.22321429 -0.22678571  0.00358029  0.          0.          0.
 -1.        ]",[0.08885695 0.06287609 1.00926869],"[-0.07461512  0.26686471  0.852       0.          0.          0.
  1.        ]","[-0.04247295  0.23355657  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
9,"[ 0.2375     -0.26071429  0.00532554  0.          0.          0.
 -1.        ]",[0.0913075  0.05980683 1.00880923],"[-0.07461512  0.26686471  0.852       0.          0.          0.
  1.        ]","[-0.04247295  0.23355657  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
10,"[ 0.23571429 -0.26964286  0.00670393  0.          0.          0.
 -1.        ]",[0.09386872 0.05650992 1.00842349],"[-0.07461512  0.26686471  0.852       0.          0.          0.
  1.        ]","[-0.04247295  0.23355657  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
11,"[ 0.22321429 -0.27678571  0.00786114  0.          0.          0.
 -1.        ]",[0.09643575 0.05307771 1.00812696],"[-0.07461512  0.26686471  0.852       0.          0.          0.
  1.        ]","[-0.04247295  0.23355657  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
12,"[ 0.20892857 -0.28392857  0.00875073  0.          0.          0.
 -1.        ]",[0.09895605 0.04953213 1.0079434 ],"[-0.07461512  0.26686471  0.852       0.          0.          0.
  1.        ]","[-0.04247295  0.23355657  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
13,"[ 0.2        -0.29821429  0.00930142  0.          0.          0.
 -1.        ]",[0.10143624 0.0458432  1.00786776],"[-0.07461512  0.26686471  0.852       0.          0.          0.
  1.        ]","[-0.04247295  0.23355657  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
14,"[ 0.19821429 -0.30357143  0.00952832  0.          0.          0.
 -1.        ]",[0.10391156 0.04203463 1.00786576],"[-0.07461512  0.26686471  0.852       0.          0.          0.
  1.        ]","[-0.04247295  0.23355657  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
15,"[ 0.18928571 -0.31071429  0.00953435  0.          0.          0.
 -1.        ]",[0.10635356 0.03812851 1.00790641],"[-0.07461512  0.26686471  0.852       0.          0.          0.
  1.        ]","[-0.04247295  0.23355657  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
16,"[ 0.18571429 -0.31785714  0.00941238  0.          0.          0.
 -1.        ]",[0.10875796 0.03412502 1.00798147],"[-0.07461512  0.26686471  0.852       0.          0.          0.
  1.        ]","[-0.04247295  0.23355657  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
17,"[ 0.18214286 -0.32321429  0.0091872   0.          0.          0.
 -1.        ]",[0.11112813 0.03003559 1.00807086],"[-0.07461512  0.26686471  0.852       0.          0.          0.
  1.        ]","[-0.04247295  0.23355657  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
