step,action,eef_pos,target_pos,obstacle_pos,target_half_size,obstacle_half_size,good
0,"[ 0.          0.         -0.02105605  0.          0.          0.
 -1.        ]",[0.04949554 0.31233231 1.01782412],"[-0.02559952 -0.1460636   0.852       0.          0.          0.
  1.        ]","[-0.05768048 -0.10986586  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
1,"[ 0.          0.         -0.02034074  0.          0.          0.
 -1.        ]",[0.04953176 0.3123064  1.01759413],"[-0.02559952 -0.1460636   0.852       0.          0.          0.
  1.        ]","[-0.05768048 -0.10986586  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
2,"[-0.22321429  0.         -0.01965078  0.          0.          0.
 -1.        ]",[0.04848215 0.31236227 1.01761871],"[-0.02559952 -0.1460636   0.852       0.          0.          0.
  1.        ]","[-0.05768048 -0.10986586  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
3,"[-0.29821429 -0.02142857 -0.0197245   0.          0.          0.
 -1.        ]",[0.04639231 0.31252912 1.01827245],"[-0.02559952 -0.1460636   0.852       0.          0.          0.
  1.        ]","[-0.05768048 -0.10986586  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
4,"[-0.3        -0.01607143 -0.02168573  0.          0.          0.
 -1.        ]",[0.04397117 0.31279161 1.01926637],"[-0.02559952 -0.1460636   0.852       0.          0.          0.
  1.        ]","[-0.05768048 -0.10986586  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
5,"[-0.30892857 -0.01071429 -0.02466749  0.          0.          0.
 -1.        ]",[0.04137318 0.31313897 1.02026656],"[-0.02559952 -0.1460636   0.852       0.          0.          0.
  1.        ]","[-0.05768048 -0.10986586  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
6,"[-0.26964286 -0.07857143 -0.02766806  0.          0.          0.
 -1.        ]",[0.03881611 0.31314374 1.02115943],"[-0.02559952 -0.1460636   0.852       0.          0.          0.
  1.        ]","[-0.05768048 -0.10986586  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
7,"[-0.21428571 -0.1625     -0.03034669  0.          0.          0.
 -1.        ]",[0.03657014 0.3123986  1.02187208],"[-0.02559952 -0.1460636   0.852       0.          0.          0.
  1.        ]","[-0.05768048 -0.10986586  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
8,"[-0.20178571 -0.1625     -0.03248462  0.          0.          0.
 -1.        ]",[0.03449339 0.31119528 1.02237278],"[-0.02559952 -0.1460636   0.852       0.          0.          0.
  1.        ]","[-0.05768048 -0.10986586  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
9,"[-0.20535714 -0.15714286 -0.03398673  0.          0.          0.
 -1.        ]",[0.03237071 0.30980886 1.02268349],"[-0.02559952 -0.1460636   0.852       0.          0.          0.
  1.        ]","[-0.05768048 -0.10986586  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
10,"[-0.2        -0.17142857 -0.03491886  0.          0.          0.
 -1.        ]",[0.03018445 0.30819414 1.02284811],"[-0.02559952 -0.1460636   0.852       0.          0.          0.
  1.        ]","[-0.05768048 -0.10986586  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
11,"[-0.18392857 -0.17321429 -0.03541272  0.          0.          0.
 -1.        ]",[0.0280163  0.30636127 1.02287308],"[-0.02559952 -0.1460636   0.852       0.          0.          0.
  1.        ]","[-0.05768048 -0.10986586  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
12,"[-0.1875     -0.17857143 -0.03548761  0.          0.          0.
 -1.        ]",[0.02580614 0.30434092 1.02275977],"[-0.02559952 -0.1460636   0.852       0.          0.          0.
  1.        ]","[-0.05768048 -0.10986586  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
13,"[-0.18214286 -0.18571429 -0.03514769  0.          0.          0.
 -1.        ]",[0.02354088 0.30215665 1.02255136],"[-0.02559952 -0.1460636   0.852       0.          0.          0.
  1.        ]","[-0.05768048 -0.10986586  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
14,"[-0.18571429 -0.19821429 -0.03452246  0.          0.          0.
 -1.        ]",[0.02120319 0.29980425 1.02227153],"[-0.02559952 -0.1460636   0.852       0.          0.          0.
  1.        ]","[-0.05768048 -0.10986586  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
