step,action,eef_pos,target_pos,obstacle_pos,target_half_size,obstacle_half_size,good
0,"[ 0.00000000e+00  0.00000000e+00  2.25842323e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.07421259  0.22291491  1.01100647],"[-0.04301272 -0.31802472  0.852       0.          0.          0.
  1.        ]","[-0.01172902  0.00200022  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
1,"[ 0.00000000e+00  0.00000000e+00  1.12199315e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.07418077  0.22293591  1.01103475],"[-0.04301272 -0.31802472  0.852       0.          0.          0.
  1.        ]","[-0.01172902  0.00200022  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
2,"[ 0.00000000e+00  0.00000000e+00  2.73749494e-05  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.07415813  0.22295533  1.01105652],"[-0.04301272 -0.31802472  0.852       0.          0.          0.
  1.        ]","[-0.01172902  0.00200022  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
3,"[-8.92857143e-03  0.00000000e+00 -3.79586201e-05  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.0741688   0.22298209  1.01108939],"[-0.04301272 -0.31802472  0.852       0.          0.          0.
  1.        ]","[-0.01172902  0.00200022  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
4,"[-2.19642857e-01  0.00000000e+00 -1.36557436e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.07531327  0.22304983  1.01128135],"[-0.04301272 -0.31802472  0.852       0.          0.          0.
  1.        ]","[-0.01172902  0.00200022  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
5,"[-2.37500000e-01 -8.21428571e-02 -7.12443696e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.07737625  0.22277763  1.01179616],"[-0.04301272 -0.31802472  0.852       0.          0.          0.
  1.        ]","[-0.01172902  0.00200022  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
6,"[-0.24642857 -0.11607143 -0.00225686  0.          0.          0.
 -1.        ]",[-0.07974439  0.22204094  1.01240936],"[-0.04301272 -0.31802472  0.852       0.          0.          0.
  1.        ]","[-0.01172902  0.00200022  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
7,"[-0.20357143 -0.25714286 -0.00409647  0.          0.          0.
 -1.        ]",[-0.08205817  0.22035104  1.01298149],"[-0.04301272 -0.31802472  0.852       0.          0.          0.
  1.        ]","[-0.01172902  0.00200022  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
8,"[-0.15357143 -0.32142857 -0.00581284  0.          0.          0.
 -1.        ]",[-0.08406115  0.2176775   1.01341745],"[-0.04301272 -0.31802472  0.852       0.          0.          0.
  1.        ]","[-0.01172902  0.00200022  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
9,"[-0.15178571 -0.32142857 -0.00712072  0.          0.          0.
 -1.        ]",[-0.08593471  0.21451163  1.01368209],"[-0.04301272 -0.31802472  0.852       0.          0.          0.
  1.        ]","[-0.01172902  0.00200022  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
