step,action,eef_pos,good,target_pos
0,[ 0.05519128 -0.3         0.         -1.        ],[-0.00594851 -0.00547708],False,[0.09318873 0.1799993 ]
1,[ 0.05519128 -0.3         0.         -1.        ],[-0.00499683 -0.00743608],False,[0.09318873 0.1799993 ]
2,[ 0.05519128 -0.3         0.         -1.        ],[-0.00411544 -0.01008832],False,[0.09318873 0.1799993 ]
3,[ 0.05519128 -0.3         0.         -1.        ],[-0.00328398 -0.01316122],False,[0.09318873 0.1799993 ]
4,[ 0.05519128 -0.3         0.         -1.        ],[-0.00250286 -0.01654531],False,[0.09318873 0.1799993 ]
5,[ 0.05519128 -0.3         0.         -1.        ],[-0.0017717  -0.02015571],False,[0.09318873 0.1799993 ]
6,[ 0.05519128 -0.3         0.         -1.        ],[-0.00108714 -0.02392106],False,[0.09318873 0.1799993 ]
7,[ 0.05519128 -0.3         0.         -1.        ],[-0.00044339 -0.02778482],False,[0.09318873 0.1799993 ]
8,[ 0.05519128 -0.3         0.         -1.        ],[ 0.00016666 -0.03170495],False,[0.09318873 0.1799993 ]
9,[ 0.05519128 -0.3         0.         -1.        ],[ 0.0007505  -0.03565209],False,[0.09318873 0.1799993 ]
10,[ 0.05519128 -0.3         0.         -1.        ],[ 0.00131521 -0.03960704],False,[0.09318873 0.1799993 ]
11,[ 0.05519128 -0.3         0.         -1.        ],[ 0.00186707 -0.04355833],False,[0.09318873 0.1799993 ]
12,[ 0.05519128 -0.3         0.         -1.        ],[ 0.00241132 -0.04749992],False,[0.09318873 0.1799993 ]
13,[ 0.05519128 -0.3         0.         -1.        ],[ 0.0029521  -0.05142949],False,[0.09318873 0.1799993 ]
14,[ 0.05519128 -0.3         0.         -1.        ],[ 0.00349252 -0.05534694],False,[0.09318873 0.1799993 ]
15,[ 0.05519128 -0.3         0.         -1.        ],[ 0.00403474 -0.05925345],False,[0.09318873 0.1799993 ]
16,[ 0.05519128 -0.3         0.         -1.        ],[ 0.0045802  -0.06315077],False,[0.09318873 0.1799993 ]
17,[ 0.05519128 -0.3         0.         -1.        ],[ 0.00512967 -0.06704074],False,[0.09318873 0.1799993 ]
18,[ 0.05519128 -0.3         0.         -1.        ],[ 0.00568351 -0.07092508],False,[0.09318873 0.1799993 ]
