step,action,eef_pos,good,target_pos
0,[ 0.14369752 -0.3         0.         -1.        ],[0.11338966 0.02813836],False,[0.06881931 0.11245837]
1,[ 0.14369752 -0.3         0.         -1.        ],[0.1139724  0.02616036],False,[0.06881931 0.11245837]
2,[ 0.14369752 -0.3         0.         -1.        ],[0.11473534 0.02350896],False,[0.06881931 0.11245837]
3,[ 0.14369752 -0.3         0.         -1.        ],[0.11564592 0.02045689],False,[0.06881931 0.11245837]
4,[ 0.14369752 -0.3         0.         -1.        ],[0.11671188 0.01710521],False,[0.06881931 0.11245837]
5,[ 0.14369752 -0.3         0.         -1.        ],[0.11791447 0.01352785],False,[0.06881931 0.11245837]
6,[ 0.14369752 -0.3         0.         -1.        ],[0.11922492 0.00978881],False,[0.06881931 0.11245837]
7,[ 0.14369752 -0.3         0.         -1.        ],[0.12063026 0.00594192],False,[0.06881931 0.11245837]
8,[ 0.14369752 -0.3         0.         -1.        ],[0.12211752 0.0020292 ],False,[0.06881931 0.11245837]
9,[ 0.14369752 -0.3         0.         -1.        ],[ 0.1236735  -0.00191843],False,[0.06881931 0.11245837]
10,[ 0.14369752 -0.3         0.         -1.        ],[ 0.12528542 -0.00587962],False,[0.06881931 0.11245837]
11,[ 0.14369752 -0.3         0.         -1.        ],[ 0.12694148 -0.00984071],False,[0.06881931 0.11245837]
12,[ 0.14369752 -0.3         0.         -1.        ],[ 0.12863112 -0.01379387],False,[0.06881931 0.11245837]
13,[ 0.14369752 -0.3         0.         -1.        ],[ 0.13034518 -0.01773542],False,[0.06881931 0.11245837]
14,[ 0.14369752 -0.3         0.         -1.        ],[ 0.13207593 -0.02166439],False,[0.06881931 0.11245837]
15,[ 0.14369752 -0.3         0.         -1.        ],[ 0.13381707 -0.02558143],False,[0.06881931 0.11245837]
16,[ 0.14369752 -0.3         0.         -1.        ],[ 0.13556358 -0.02948804],False,[0.06881931 0.11245837]
17,[ 0.14369752 -0.3         0.         -1.        ],[ 0.13731164 -0.03338601],False,[0.06881931 0.11245837]
18,[ 0.14369752 -0.3         0.         -1.        ],[ 0.13905848 -0.0372771 ],False,[0.06881931 0.11245837]
19,[ 0.14369752 -0.3         0.         -1.        ],[ 0.1408022  -0.04116286],False,[0.06881931 0.11245837]
20,[ 0.14369752 -0.3         0.         -1.        ],[ 0.1425416  -0.04504453],False,[0.06881931 0.11245837]
21,[ 0.14369752 -0.3         0.         -1.        ],[ 0.14427608 -0.04892306],False,[0.06881931 0.11245837]
22,[ 0.14369752 -0.3         0.         -1.        ],[ 0.14600545 -0.05279913],False,[0.06881931 0.11245837]
23,[ 0.14369752 -0.3         0.         -1.        ],[ 0.14772982 -0.05667318],False,[0.06881931 0.11245837]
24,[ 0.14369752 -0.3         0.         -1.        ],[ 0.14944955 -0.06054551],False,[0.06881931 0.11245837]
25,[ 0.14369752 -0.3         0.         -1.        ],[ 0.15116507 -0.06441625],False,[0.06881931 0.11245837]
26,[ 0.14369752 -0.3         0.         -1.        ],[ 0.15287691 -0.06828547],False,[0.06881931 0.11245837]
27,[ 0.14369752 -0.3         0.         -1.        ],[ 0.15458558 -0.0721532 ],False,[0.06881931 0.11245837]
28,[ 0.14369752 -0.3         0.         -1.        ],[ 0.1562916  -0.07601941],False,[0.06881931 0.11245837]
29,[ 0.14369752 -0.3         0.         -1.        ],[ 0.15799539 -0.07988407],False,[0.06881931 0.11245837]
30,[ 0.14369752 -0.3         0.         -1.        ],[ 0.15969735 -0.08374715],False,[0.06881931 0.11245837]
31,[ 0.14369752 -0.3         0.         -1.        ],[ 0.16139778 -0.08760861],False,[0.06881931 0.11245837]
32,[ 0.14369752 -0.3         0.         -1.        ],[ 0.16309693 -0.09146843],False,[0.06881931 0.11245837]
33,[ 0.14369752 -0.3         0.         -1.        ],[ 0.16479497 -0.09532658],False,[0.06881931 0.11245837]
34,[ 0.14369752 -0.3         0.         -1.        ],[ 0.16649201 -0.09918303],False,[0.06881931 0.11245837]
35,[ 0.14369752 -0.3         0.         -1.        ],[ 0.16818811 -0.10303777],False,[0.06881931 0.11245837]
36,[ 0.14369752 -0.3         0.         -1.        ],[ 0.16988327 -0.10689077],False,[0.06881931 0.11245837]
37,[ 0.14369752 -0.3         0.         -1.        ],[ 0.17157747 -0.11074203],False,[0.06881931 0.11245837]
38,[ 0.14369752 -0.3         0.         -1.        ],[ 0.17327064 -0.1145915 ],False,[0.06881931 0.11245837]
39,[ 0.14369752 -0.3         0.         -1.        ],[ 0.1749627  -0.11843918],False,[0.06881931 0.11245837]
40,[ 0.14369752 -0.3         0.         -1.        ],[ 0.17665353 -0.12228504],False,[0.06881931 0.11245837]
41,[ 0.14369752 -0.3         0.         -1.        ],[ 0.17834301 -0.12612904],False,[0.06881931 0.11245837]
42,[ 0.14369752 -0.3         0.         -1.        ],[ 0.180031   -0.12997114],False,[0.06881931 0.11245837]
