step,action,eef_pos,good,target_pos
0,[ 0.3        -0.08956715  0.         -1.        ],[-0.05201766  0.11804605],False,[-0.07439008  0.14642784]
1,[ 0.3        -0.08956715  0.         -1.        ],[-0.04923624  0.11690974],False,[-0.07439008  0.14642784]
2,[ 0.3        -0.08956715  0.         -1.        ],[-0.04619035  0.11565067],False,[-0.07439008  0.14642784]
3,[ 0.3        -0.08956715  0.         -1.        ],[-0.04298322  0.11437456],False,[-0.07439008  0.14642784]
4,[ 0.3        -0.08956715  0.         -1.        ],[-0.03965776  0.11310002],False,[-0.07439008  0.14642784]
5,[ 0.3        -0.08956715  0.         -1.        ],[-0.03622651  0.11183517],False,[-0.07439008  0.14642784]
6,[ 0.3        -0.08956715  0.         -1.        ],[-0.03270008  0.11058323],False,[-0.07439008  0.14642784]
7,[ 0.3        -0.08956715  0.         -1.        ],[-0.02909119  0.10934484],False,[-0.07439008  0.14642784]
8,[ 0.3        -0.08956715  0.         -1.        ],[-0.02541374  0.10811922],False,[-0.07439008  0.14642784]
9,[ 0.3        -0.08956715  0.         -1.        ],[-0.02168156  0.1069049 ],False,[-0.07439008  0.14642784]
10,[ 0.3        -0.08956715  0.         -1.        ],[-0.01790755  0.10570007],False,[-0.07439008  0.14642784]
11,[ 0.3        -0.08956715  0.         -1.        ],[-0.01410306  0.1045025 ],False,[-0.07439008  0.14642784]
12,[ 0.3        -0.08956715  0.         -1.        ],[-0.01027794  0.10331061],False,[-0.07439008  0.14642784]
13,[ 0.3        -0.08956715  0.         -1.        ],[-0.00644091  0.1021255 ],False,[-0.07439008  0.14642784]
14,[ 0.3        -0.08956715  0.         -1.        ],[-0.00259885  0.1009482 ],False,[-0.07439008  0.14642784]
15,[ 0.3        -0.08956715  0.         -1.        ],[0.00124307 0.09977924],False,[-0.07439008  0.14642784]
16,[ 0.3        -0.08956715  0.         -1.        ],[0.00508129 0.09861886],False,[-0.07439008  0.14642784]
17,[ 0.3        -0.08956715  0.         -1.        ],[0.00891401 0.0974652 ],False,[-0.07439008  0.14642784]
18,[ 0.3        -0.08956715  0.         -1.        ],[0.0127406  0.09631559],False,[-0.07439008  0.14642784]
19,[ 0.3        -0.08956715  0.         -1.        ],[0.01656101 0.09516806],False,[-0.07439008  0.14642784]
20,[ 0.3        -0.08956715  0.         -1.        ],[0.02037557 0.09402139],False,[-0.07439008  0.14642784]
21,[ 0.3        -0.08956715  0.         -1.        ],[0.0241848  0.09287491],False,[-0.07439008  0.14642784]
22,[ 0.3        -0.08956715  0.         -1.        ],[0.02798937 0.09172838],False,[-0.07439008  0.14642784]
23,[ 0.3        -0.08956715  0.         -1.        ],[0.03178994 0.09058178],False,[-0.07439008  0.14642784]
24,[ 0.3        -0.08956715  0.         -1.        ],[0.03558719 0.08943523],False,[-0.07439008  0.14642784]
25,[ 0.3        -0.08956715  0.         -1.        ],[0.03938174 0.08828894],False,[-0.07439008  0.14642784]
26,[ 0.3        -0.08956715  0.         -1.        ],[0.04317411 0.08714312],False,[-0.07439008  0.14642784]
27,[ 0.3        -0.08956715  0.         -1.        ],[0.04696476 0.08599796],False,[-0.07439008  0.14642784]
28,[ 0.3        -0.08956715  0.         -1.        ],[0.05075405 0.08485363],False,[-0.07439008  0.14642784]
29,[ 0.3        -0.08956715  0.         -1.        ],[0.05454225 0.08371026],False,[-0.07439008  0.14642784]
30,[ 0.3        -0.08956715  0.         -1.        ],[0.05832957 0.08256795],False,[-0.07439008  0.14642784]
31,[ 0.3        -0.08956715  0.         -1.        ],[0.06211613 0.08142675],False,[-0.07439008  0.14642784]
32,[ 0.3        -0.08956715  0.         -1.        ],[0.065902   0.08028671],False,[-0.07439008  0.14642784]
33,[ 0.3        -0.08956715  0.         -1.        ],[0.06968721 0.07914782],False,[-0.07439008  0.14642784]
34,[ 0.3        -0.08956715  0.         -1.        ],[0.07347175 0.0780101 ],False,[-0.07439008  0.14642784]
35,[ 0.3        -0.08956715  0.         -1.        ],[0.07725557 0.07687353],False,[-0.07439008  0.14642784]
36,[ 0.3        -0.08956715  0.         -1.        ],[0.08103861 0.07573807],False,[-0.07439008  0.14642784]
37,[ 0.3        -0.08956715  0.         -1.        ],[0.0848208  0.07460372],False,[-0.07439008  0.14642784]
38,[ 0.3        -0.08956715  0.         -1.        ],[0.08860204 0.07347044],False,[-0.07439008  0.14642784]
39,[ 0.3        -0.08956715  0.         -1.        ],[0.09238226 0.07233821],False,[-0.07439008  0.14642784]
40,[ 0.3        -0.08956715  0.         -1.        ],[0.09616135 0.07120699],False,[-0.07439008  0.14642784]
41,[ 0.3        -0.08956715  0.         -1.        ],[0.09993921 0.07007675],False,[-0.07439008  0.14642784]
42,[ 0.3        -0.08956715  0.         -1.        ],[0.10371575 0.06894749],False,[-0.07439008  0.14642784]
43,[ 0.3        -0.08956715  0.         -1.        ],[0.10749087 0.06781916],False,[-0.07439008  0.14642784]
44,[ 0.3        -0.08956715  0.         -1.        ],[0.11126448 0.06669174],False,[-0.07439008  0.14642784]
45,[ 0.3        -0.08956715  0.         -1.        ],[0.11503647 0.06556522],False,[-0.07439008  0.14642784]
46,[ 0.3        -0.08956715  0.         -1.        ],[0.11880675 0.06443958],False,[-0.07439008  0.14642784]
47,[ 0.3        -0.08956715  0.         -1.        ],[0.12257522 0.06331478],False,[-0.07439008  0.14642784]
48,[ 0.3        -0.08956715  0.         -1.        ],[0.12634177 0.06219082],False,[-0.07439008  0.14642784]
49,[ 0.3        -0.08956715  0.         -1.        ],[0.1301063  0.06106768],False,[-0.07439008  0.14642784]
50,[ 0.3        -0.08956715  0.         -1.        ],[0.1338687  0.05994533],False,[-0.07439008  0.14642784]
51,[ 0.3        -0.08956715  0.         -1.        ],[0.13762884 0.05882376],False,[-0.07439008  0.14642784]
52,[ 0.3        -0.08956715  0.         -1.        ],[0.14138661 0.05770296],False,[-0.07439008  0.14642784]
