step,action,eef_pos,good,target_pos
0,[-0.19314142  0.3         0.         -1.        ],[-0.06259007 -0.14865465],True,[-0.14276951 -0.0239992 ]
1,[-0.19314142  0.3         0.         -1.        ],[-0.06358052 -0.14703484],True,[-0.14276951 -0.0239992 ]
2,[-0.19314142  0.3         0.         -1.        ],[-0.06481963 -0.14476595],True,[-0.14276951 -0.0239992 ]
3,[-0.19314142  0.3         0.         -1.        ],[-0.06624173 -0.14202153],True,[-0.14276951 -0.0239992 ]
4,[-0.19314142  0.3         0.         -1.        ],[-0.0678556  -0.13889798],True,[-0.14276951 -0.0239992 ]
5,[-0.19314142  0.3         0.         -1.        ],[-0.06964671 -0.13549776],True,[-0.14276951 -0.0239992 ]
6,[-0.19314142  0.3         0.         -1.        ],[-0.0716108  -0.13190048],True,[-0.14276951 -0.0239992 ]
7,[-0.19314142  0.3         0.         -1.        ],[-0.07373504 -0.1281689 ],True,[-0.14276951 -0.0239992 ]
8,[-0.19314142  0.3         0.         -1.        ],[-0.0759985  -0.12435036],True,[-0.14276951 -0.0239992 ]
9,[-0.19314142  0.3         0.         -1.        ],[-0.07837628 -0.12047888],True,[-0.14276951 -0.0239992 ]
10,[-0.19314142  0.3         0.         -1.        ],[-0.08084284 -0.11657781],True,[-0.14276951 -0.0239992 ]
11,[-0.19314142  0.3         0.         -1.        ],[-0.08337433 -0.11266245],True,[-0.14276951 -0.0239992 ]
12,[-0.19314142  0.3         0.         -1.        ],[-0.08594985 -0.10874227],True,[-0.14276951 -0.0239992 ]
13,[-0.19314142  0.3         0.         -1.        ],[-0.08855206 -0.10482271],True,[-0.14276951 -0.0239992 ]
14,[-0.19314142  0.3         0.         -1.        ],[-0.09116729 -0.10090654],True,[-0.14276951 -0.0239992 ]
15,[-0.19314142  0.3         0.         -1.        ],[-0.09378534 -0.09699482],True,[-0.14276951 -0.0239992 ]
16,[-0.19314142  0.3         0.         -1.        ],[-0.09639909 -0.09308763],True,[-0.14276951 -0.0239992 ]
17,[-0.19314142  0.3         0.         -1.        ],[-0.09900396 -0.08918451],True,[-0.14276951 -0.0239992 ]
18,[-0.19314142  0.3         0.         -1.        ],[-0.10159746 -0.08528476],True,[-0.14276951 -0.0239992 ]
19,[-0.19314142  0.3         0.         -1.        ],[-0.10417866 -0.08138761],True,[-0.14276951 -0.0239992 ]
20,[-0.19314142  0.3         0.         -1.        ],[-0.10674776 -0.07749235],True,[-0.14276951 -0.0239992 ]
21,[-0.19314142  0.3         0.         -1.        ],[-0.10930571 -0.07359833],True,[-0.14276951 -0.0239992 ]
22,[-0.19314142  0.3         0.         -1.        ],[-0.11185394 -0.069705  ],True,[-0.14276951 -0.0239992 ]
23,[-0.19314142  0.3         0.         -1.        ],[-0.11439408 -0.06581194],True,[-0.14276951 -0.0239992 ]
24,[-0.19314142  0.3         0.         -1.        ],[-0.1169278 -0.0619188],True,[-0.14276951 -0.0239992 ]
25,[-0.19314142  0.3         0.         -1.        ],[-0.11945669 -0.05802533],True,[-0.14276951 -0.0239992 ]
26,[-0.19314142  0.3         0.         -1.        ],[-0.1219822  -0.05413137],True,[-0.14276951 -0.0239992 ]
27,[-0.19314142  0.3         0.         -1.        ],[-0.12450558 -0.05023681],True,[-0.14276951 -0.0239992 ]
28,[-0.19314142  0.3         0.         -1.        ],[-0.12702785 -0.04634163],True,[-0.14276951 -0.0239992 ]
29,[-0.19314142  0.3         0.         -1.        ],[-0.12954984 -0.04244584],True,[-0.14276951 -0.0239992 ]
30,[-0.19314142  0.3         0.         -1.        ],[-0.1320722 -0.0385495],True,[-0.14276951 -0.0239992 ]
31,[ 0  0  0 -1],[-0.1335616 -0.0363968],True,[-0.14276951 -0.0239992 ]
32,[ 0  0  0 -1],[-0.13429133 -0.03574875],True,[-0.14276951 -0.0239992 ]
33,[ 0  0  0 -1],[-0.13484278 -0.03547815],True,[-0.14276951 -0.0239992 ]
34,[ 0  0  0 -1],[-0.13527182 -0.03535864],True,[-0.14276951 -0.0239992 ]
35,[ 0  0  0 -1],[-0.13558966 -0.03530366],True,[-0.14276951 -0.0239992 ]
36,[ 0  0  0 -1],[-0.13580355 -0.03527959],True,[-0.14276951 -0.0239992 ]
37,[ 0  0  0 -1],[-0.13594026 -0.03526848],True,[-0.14276951 -0.0239992 ]
38,[ 0  0  0 -1],[-0.1360357  -0.03526195],True,[-0.14276951 -0.0239992 ]
39,[ 0  0  0 -1],[-0.13612054 -0.03525561],True,[-0.14276951 -0.0239992 ]
40,[ 0  0  0 -1],[-0.13619242 -0.03524957],True,[-0.14276951 -0.0239992 ]
41,[ 0  0  0 -1],[-0.13625038 -0.03524426],True,[-0.14276951 -0.0239992 ]
42,[ 0  0  0 -1],[-0.13629601 -0.03523972],True,[-0.14276951 -0.0239992 ]
43,[ 0  0  0 -1],[-0.13633163 -0.03523588],True,[-0.14276951 -0.0239992 ]
44,[ 0  0  0 -1],[-0.13635937 -0.03523266],True,[-0.14276951 -0.0239992 ]
45,[ 0  0  0 -1],[-0.13638099 -0.03522996],True,[-0.14276951 -0.0239992 ]
46,[ 0  0  0 -1],[-0.13639788 -0.03522771],True,[-0.14276951 -0.0239992 ]
47,[ 0  0  0 -1],[-0.13641109 -0.0352258 ],True,[-0.14276951 -0.0239992 ]
48,[ 0  0  0 -1],[-0.13642149 -0.03522416],True,[-0.14276951 -0.0239992 ]
49,[ 0  0  0 -1],[-0.13642971 -0.03522272],True,[-0.14276951 -0.0239992 ]
50,[ 0  0  0 -1],[-0.13643624 -0.03522144],True,[-0.14276951 -0.0239992 ]
