step,action,eef_pos,good,target_pos
0,[ 0.2679961 -0.3        0.        -1.       ],[-0.02343243 -0.12804866],False,[-0.03238024 -0.10806624]
1,[ 0.2679961 -0.3        0.        -1.       ],[-0.02150611 -0.12972747],False,[-0.03238024 -0.10806624]
2,[ 0.2679961 -0.3        0.        -1.       ],[-0.01932076 -0.13203331],False,[-0.03238024 -0.10806624]
3,[ 0.2679961 -0.3        0.        -1.       ],[-0.01693449 -0.13477711],False,[-0.03238024 -0.10806624]
4,[ 0.2679961 -0.3        0.        -1.       ],[-0.01437051 -0.13787428],False,[-0.03238024 -0.10806624]
5,[ 0.2679961 -0.3        0.        -1.       ],[-0.01164942 -0.14124677],False,[-0.03238024 -0.10806624]
6,[ 0.2679961 -0.3        0.        -1.       ],[-0.00878181 -0.14482671],False,[-0.03238024 -0.10806624]
7,[ 0.2679961 -0.3        0.        -1.       ],[-0.00578223 -0.14855439],False,[-0.03238024 -0.10806624]
8,[ 0.2679961 -0.3        0.        -1.       ],[-0.00266833 -0.15238047],False,[-0.03238024 -0.10806624]
9,[ 0.2679961 -0.3        0.        -1.       ],[ 0.00054102 -0.15626662],False,[-0.03238024 -0.10806624]
10,[ 0.2679961 -0.3        0.        -1.       ],[ 0.00382713 -0.16018478],False,[-0.03238024 -0.10806624]
11,[ 0.2679961 -0.3        0.        -1.       ],[ 0.00717242 -0.16411562],False,[-0.03238024 -0.10806624]
12,[ 0.2679961 -0.3        0.        -1.       ],[ 0.01056105 -0.16804672],False,[-0.03238024 -0.10806624]
13,[ 0.2679961 -0.3        0.        -1.       ],[ 0.01397933 -0.17197077],False,[-0.03238024 -0.10806624]
14,[ 0.2679961 -0.3        0.        -1.       ],[ 0.01741587 -0.17588409],False,[-0.03238024 -0.10806624]
15,[ 0.2679961 -0.3        0.        -1.       ],[ 0.0208616 -0.1797853],False,[-0.03238024 -0.10806624]
16,[ 0.2679961 -0.3        0.        -1.       ],[ 0.0243096  -0.18367451],False,[-0.03238024 -0.10806624]
17,[ 0.2679961 -0.3        0.        -1.       ],[ 0.02775492 -0.18755255],False,[-0.03238024 -0.10806624]
18,[ 0.2679961 -0.3        0.        -1.       ],[ 0.03119425 -0.19142062],False,[-0.03238024 -0.10806624]
19,[ 0.2679961 -0.3        0.        -1.       ],[ 0.03462562 -0.19527998],False,[-0.03238024 -0.10806624]
20,[ 0.2679961 -0.3        0.        -1.       ],[ 0.03804811 -0.19913182],False,[-0.03238024 -0.10806624]
21,[ 0.2679961 -0.3        0.        -1.       ],[ 0.04146159 -0.20297717],False,[-0.03238024 -0.10806624]
22,[ 0.2679961 -0.3        0.        -1.       ],[ 0.04486643 -0.20681686],False,[-0.03238024 -0.10806624]
23,[ 0.2679961 -0.3        0.        -1.       ],[ 0.04826336 -0.21065158],False,[-0.03238024 -0.10806624]
24,[ 0.2679961 -0.3        0.        -1.       ],[ 0.05165324 -0.21448185],False,[-0.03238024 -0.10806624]
25,[ 0.2679961 -0.3        0.        -1.       ],[ 0.05503701 -0.21830805],False,[-0.03238024 -0.10806624]
26,[ 0.2679961 -0.3        0.        -1.       ],[ 0.05841553 -0.22213046],False,[-0.03238024 -0.10806624]
27,[ 0.2679961 -0.3        0.        -1.       ],[ 0.06178959 -0.22594929],False,[-0.03238024 -0.10806624]
28,[ 0.2679961 -0.3        0.        -1.       ],[ 0.06515985 -0.22976467],False,[-0.03238024 -0.10806624]
29,[ 0.2679961 -0.3        0.        -1.       ],[ 0.06852681 -0.23357666],False,[-0.03238024 -0.10806624]
30,[ 0.2679961 -0.3        0.        -1.       ],[ 0.07189083 -0.23738531],False,[-0.03238024 -0.10806624]
31,[ 0.2679961 -0.3        0.        -1.       ],[ 0.07525215 -0.24119061],False,[-0.03238024 -0.10806624]
32,[ 0.2679961 -0.3        0.        -1.       ],[ 0.07861086 -0.24499254],False,[-0.03238024 -0.10806624]
33,[ 0.2679961 -0.3        0.        -1.       ],[ 0.08196695 -0.24879104],False,[-0.03238024 -0.10806624]
34,[ 0.2679961 -0.3        0.        -1.       ],[ 0.08532032 -0.25258605],False,[-0.03238024 -0.10806624]
35,[ 0.2679961 -0.3        0.        -1.       ],[ 0.08867079 -0.25637745],False,[-0.03238024 -0.10806624]
