step,action,eef_pos,good,target_pos
0,[-0.01567176  0.3         0.         -1.        ],[ 0.0703633  -0.25703993],True,[0.05400574 0.0419799 ]
1,[-0.01567176  0.3         0.         -1.        ],[ 0.07018262 -0.25766515],True,[0.05400574 0.0419799 ]
2,[-0.01567176  0.3         0.         -1.        ],[ 0.07019672 -0.25711099],True,[0.05400574 0.0419799 ]
3,[-0.01567176  0.3         0.         -1.        ],[ 0.07043253 -0.25569033],True,[0.05400574 0.0419799 ]
4,[-0.01567176  0.3         0.         -1.        ],[ 0.07080892 -0.25357363],True,[0.05400574 0.0419799 ]
5,[-0.01567176  0.3         0.         -1.        ],[ 0.07122077 -0.25088863],True,[0.05400574 0.0419799 ]
6,[-0.01567176  0.3         0.         -1.        ],[ 0.07161965 -0.24777846],True,[0.05400574 0.0419799 ]
7,[-0.01567176  0.3         0.         -1.        ],[ 0.07196195 -0.24435791],True,[0.05400574 0.0419799 ]
8,[-0.01567176  0.3         0.         -1.        ],[ 0.07221948 -0.24071922],True,[0.05400574 0.0419799 ]
9,[-0.01567176  0.3         0.         -1.        ],[ 0.0723803  -0.23693453],True,[0.05400574 0.0419799 ]
10,[-0.01567176  0.3         0.         -1.        ],[ 0.07244472 -0.23305801],True,[0.05400574 0.0419799 ]
11,[-0.01567176  0.3         0.         -1.        ],[ 0.07242113 -0.22912875],True,[0.05400574 0.0419799 ]
12,[-0.01567176  0.3         0.         -1.        ],[ 0.0723225  -0.22517383],True,[0.05400574 0.0419799 ]
13,[-0.01567176  0.3         0.         -1.        ],[ 0.07216374 -0.22121117],True,[0.05400574 0.0419799 ]
14,[-0.01567176  0.3         0.         -1.        ],[ 0.07195982 -0.21725189],True,[0.05400574 0.0419799 ]
15,[-0.01567176  0.3         0.         -1.        ],[ 0.07172456 -0.21330231],True,[0.05400574 0.0419799 ]
16,[-0.01567176  0.3         0.         -1.        ],[ 0.07146994 -0.20936538],True,[0.05400574 0.0419799 ]
17,[-0.01567176  0.3         0.         -1.        ],[ 0.07120575 -0.20544193],True,[0.05400574 0.0419799 ]
18,[-0.01567176  0.3         0.         -1.        ],[ 0.07093961 -0.2015314 ],True,[0.05400574 0.0419799 ]
19,[-0.01567176  0.3         0.         -1.        ],[ 0.07067706 -0.19763251],True,[0.05400574 0.0419799 ]
20,[-0.01567176  0.3         0.         -1.        ],[ 0.07042182 -0.19374365],True,[0.05400574 0.0419799 ]
21,[-0.01567176  0.3         0.         -1.        ],[ 0.07017608 -0.1898631 ],True,[0.05400574 0.0419799 ]
22,[-0.01567176  0.3         0.         -1.        ],[ 0.06994086 -0.18598921],True,[0.05400574 0.0419799 ]
23,[-0.01567176  0.3         0.         -1.        ],[ 0.06971623 -0.18212053],True,[0.05400574 0.0419799 ]
24,[-0.01567176  0.3         0.         -1.        ],[ 0.06950165 -0.17825575],True,[0.05400574 0.0419799 ]
25,[-0.01567176  0.3         0.         -1.        ],[ 0.06929616 -0.17439381],True,[0.05400574 0.0419799 ]
26,[-0.01567176  0.3         0.         -1.        ],[ 0.06909859 -0.17053382],True,[0.05400574 0.0419799 ]
27,[-0.01567176  0.3         0.         -1.        ],[ 0.06890767 -0.16667506],True,[0.05400574 0.0419799 ]
28,[-0.01567176  0.3         0.         -1.        ],[ 0.06872216 -0.16281699],True,[0.05400574 0.0419799 ]
29,[-0.01567176  0.3         0.         -1.        ],[ 0.06854092 -0.15895917],True,[0.05400574 0.0419799 ]
30,[-0.01567176  0.3         0.         -1.        ],[ 0.06836296 -0.15510127],True,[0.05400574 0.0419799 ]
31,[-0.01567176  0.3         0.         -1.        ],[ 0.06818742 -0.15124304],True,[0.05400574 0.0419799 ]
32,[-0.01567176  0.3         0.         -1.        ],[ 0.06801361 -0.14738432],True,[0.05400574 0.0419799 ]
33,[-0.01567176  0.3         0.         -1.        ],[ 0.06784102 -0.14352498],True,[0.05400574 0.0419799 ]
34,[-0.01567176  0.3         0.         -1.        ],[ 0.06766925 -0.13966495],True,[0.05400574 0.0419799 ]
35,[-0.01567176  0.3         0.         -1.        ],[ 0.06749803 -0.13580417],True,[0.05400574 0.0419799 ]
36,[-0.01567176  0.3         0.         -1.        ],[ 0.06732718 -0.13194262],True,[0.05400574 0.0419799 ]
