step,action,eef_pos,good,target_pos
0,[ 0.3        -0.12537267  0.         -1.        ],[-0.16560982  0.16110683],True,[0.12266933 0.04007735]
1,[ 0.3        -0.12537267  0.         -1.        ],[-0.16320577  0.15967519],True,[0.12266933 0.04007735]
2,[ 0.3        -0.12537267  0.         -1.        ],[-0.1601804   0.15787107],True,[0.12266933 0.04007735]
3,[ 0.3        -0.12537267  0.         -1.        ],[-0.15691762  0.15602567],True,[0.12266933 0.04007735]
4,[ 0.3        -0.12537267  0.         -1.        ],[-0.15353391  0.15419965],True,[0.12266933 0.04007735]
5,[ 0.3        -0.12537267  0.         -1.        ],[-0.15006868  0.15240598],True,[0.12266933 0.04007735]
6,[ 0.3        -0.12537267  0.         -1.        ],[-0.14654062  0.15064239],True,[0.12266933 0.04007735]
7,[ 0.3        -0.12537267  0.         -1.        ],[-0.14296022  0.14890199],True,[0.12266933 0.04007735]
8,[ 0.3        -0.12537267  0.         -1.        ],[-0.13933432  0.1471774 ],True,[0.12266933 0.04007735]
9,[ 0.3        -0.12537267  0.         -1.        ],[-0.13566821  0.14546247],True,[0.12266933 0.04007735]
10,[ 0.3        -0.12537267  0.         -1.        ],[-0.13196673  0.14375273],True,[0.12266933 0.04007735]
11,[ 0.3        -0.12537267  0.         -1.        ],[-0.12823466  0.14204529],True,[0.12266933 0.04007735]
12,[ 0.3        -0.12537267  0.         -1.        ],[-0.12447678  0.14033854],True,[0.12266933 0.04007735]
13,[ 0.3        -0.12537267  0.         -1.        ],[-0.12069782  0.13863177],True,[0.12266933 0.04007735]
14,[ 0.3        -0.12537267  0.         -1.        ],[-0.11690219  0.1369243 ],True,[0.12266933 0.04007735]
15,[ 0.3        -0.12537267  0.         -1.        ],[-0.1130958   0.13521612],True,[0.12266933 0.04007735]
16,[ 0.3        -0.12537267  0.         -1.        ],[-0.10928643  0.13351192],True,[0.12266933 0.04007735]
17,[ 0.3        -0.12537267  0.         -1.        ],[-0.1054797   0.13181469],True,[0.12266933 0.04007735]
18,[ 0.3        -0.12537267  0.         -1.        ],[-0.10167827  0.13012392],True,[0.12266933 0.04007735]
19,[ 0.3        -0.12537267  0.         -1.        ],[-0.09788312  0.12843834],True,[0.12266933 0.04007735]
20,[ 0.3        -0.12537267  0.         -1.        ],[-0.09409424  0.12675675],True,[0.12266933 0.04007735]
21,[ 0.3        -0.12537267  0.         -1.        ],[-0.09031098  0.12507819],True,[0.12266933 0.04007735]
22,[ 0.3        -0.12537267  0.         -1.        ],[-0.08653241  0.12340199],True,[0.12266933 0.04007735]
23,[ 0.3        -0.12537267  0.         -1.        ],[-0.08275742  0.12172769],True,[0.12266933 0.04007735]
24,[ 0.3        -0.12537267  0.         -1.        ],[-0.07898494  0.12005505],True,[0.12266933 0.04007735]
25,[ 0.3        -0.12537267  0.         -1.        ],[-0.07521395  0.11838397],True,[0.12266933 0.04007735]
26,[ 0.3        -0.12537267  0.         -1.        ],[-0.07144358  0.11671443],True,[0.12266933 0.04007735]
27,[ 0.3        -0.12537267  0.         -1.        ],[-0.0676731   0.11504646],True,[0.12266933 0.04007735]
28,[ 0.3        -0.12537267  0.         -1.        ],[-0.06390193  0.11338012],True,[0.12266933 0.04007735]
29,[ 0.3        -0.12537267  0.         -1.        ],[-0.06012968  0.11171548],True,[0.12266933 0.04007735]
30,[ 0.3        -0.12537267  0.         -1.        ],[-0.05635605  0.1100526 ],True,[0.12266933 0.04007735]
31,[ 0.3        -0.12537267  0.         -1.        ],[-0.05258089  0.10839153],True,[0.12266933 0.04007735]
32,[ 0.3        -0.11694281  0.         -1.        ],[-0.04880425  0.10677854],True,[0.12266933 0.04007735]
33,[ 0.3        -0.11694281  0.         -1.        ],[-0.04502621  0.10520363],True,[0.12266933 0.04007735]
34,[ 0.3        -0.11694281  0.         -1.        ],[-0.04124661  0.10364054],True,[0.12266933 0.04007735]
35,[ 0.3        -0.11694281  0.         -1.        ],[-0.03746542  0.10208594],True,[0.12266933 0.04007735]
36,[ 0.3        -0.11694281  0.         -1.        ],[-0.03368273  0.10053836],True,[0.12266933 0.04007735]
37,[ 0.3        -0.11694281  0.         -1.        ],[-0.02989865  0.09899655],True,[0.12266933 0.04007735]
38,[ 0.3        -0.11694281  0.         -1.        ],[-0.02611335  0.09745936],True,[0.12266933 0.04007735]
39,[ 0.3        -0.11694281  0.         -1.        ],[-0.02232696  0.09592583],True,[0.12266933 0.04007735]
40,[ 0.3        -0.11694281  0.         -1.        ],[-0.01853966  0.09439521],True,[0.12266933 0.04007735]
41,[ 0.3        -0.11694281  0.         -1.        ],[-0.01475159  0.09286692],True,[0.12266933 0.04007735]
42,[ 0.3        -0.11694281  0.         -1.        ],[-0.01096291  0.09134056],True,[0.12266933 0.04007735]
43,[ 0.3        -0.11694281  0.         -1.        ],[-0.00717373  0.08981586],True,[0.12266933 0.04007735]
44,[ 0.3        -0.11694281  0.         -1.        ],[-0.00338419  0.08829267],True,[0.12266933 0.04007735]
45,[ 0.3        -0.11694281  0.         -1.        ],[0.00040562 0.08677087],True,[0.12266933 0.04007735]
46,[ 0.3        -0.11694281  0.         -1.        ],[0.00419561 0.08525045],True,[0.12266933 0.04007735]
47,[ 0.3        -0.11694281  0.         -1.        ],[0.00798569 0.08373137],True,[0.12266933 0.04007735]
48,[ 0.3        -0.11694281  0.         -1.        ],[0.0117758  0.08221366],True,[0.12266933 0.04007735]
49,[ 0.3        -0.11694281  0.         -1.        ],[0.01556589 0.08069732],True,[0.12266933 0.04007735]
50,[ 0.3        -0.11694281  0.         -1.        ],[0.01935589 0.07918237],True,[0.12266933 0.04007735]
51,[ 0.3        -0.11694281  0.         -1.        ],[0.02314577 0.07766881],True,[0.12266933 0.04007735]
52,[ 0.3        -0.11694281  0.         -1.        ],[0.02693548 0.07615667],True,[0.12266933 0.04007735]
53,[ 0.3        -0.11694281  0.         -1.        ],[0.03072497 0.07464593],True,[0.12266933 0.04007735]
54,[ 0.3        -0.11694281  0.         -1.        ],[0.03451422 0.07313659],True,[0.12266933 0.04007735]
55,[ 0.3        -0.11694281  0.         -1.        ],[0.03830317 0.07162866],True,[0.12266933 0.04007735]
