step,action,eef_pos,good,target_pos
0,[-0.3         0.10178176  0.         -1.        ],[ 0.03017085 -0.14353634],False,[ 0.03571189 -0.15152598]
1,[-0.3         0.10178176  0.         -1.        ],[ 0.02754599 -0.14281655],False,[ 0.03571189 -0.15152598]
2,[-0.3         0.10178176  0.         -1.        ],[ 0.02467555 -0.14201149],False,[ 0.03571189 -0.15152598]
3,[-0.3         0.10178176  0.         -1.        ],[ 0.02163185 -0.14110958],False,[ 0.03571189 -0.15152598]
4,[-0.3         0.10178176  0.         -1.        ],[ 0.01843605 -0.14011994],False,[ 0.03571189 -0.15152598]
5,[-0.3         0.10178176  0.         -1.        ],[ 0.01509244 -0.13905333],False,[ 0.03571189 -0.15152598]
6,[-0.3         0.10178176  0.         -1.        ],[ 0.01161016 -0.13792246],False,[ 0.03571189 -0.15152598]
7,[-0.3         0.10178176  0.         -1.        ],[ 0.00800404 -0.13674009],False,[ 0.03571189 -0.15152598]
8,[-0.3         0.10178176  0.         -1.        ],[ 0.00429231 -0.13551793],False,[ 0.03571189 -0.15152598]
9,[-0.3         0.10178176  0.         -1.        ],[ 0.0004944  -0.13426621],False,[ 0.03571189 -0.15152598]
10,[-0.3         0.10178176  0.         -1.        ],[-0.00337079 -0.13299346],False,[ 0.03571189 -0.15152598]
11,[-0.3         0.10178176  0.         -1.        ],[-0.00728588 -0.13170662],False,[ 0.03571189 -0.15152598]
12,[-0.3         0.10178176  0.         -1.        ],[-0.01123574 -0.13041108],False,[ 0.03571189 -0.15152598]
13,[-0.3         0.10178176  0.         -1.        ],[-0.01520769 -0.1291109 ],False,[ 0.03571189 -0.15152598]
14,[-0.3         0.10178176  0.         -1.        ],[-0.01919161 -0.127809  ],False,[ 0.03571189 -0.15152598]
15,[-0.3         0.10178176  0.         -1.        ],[-0.02317973 -0.12650737],False,[ 0.03571189 -0.15152598]
16,[-0.3         0.10178176  0.         -1.        ],[-0.02716645 -0.12520724],False,[ 0.03571189 -0.15152598]
17,[-0.3         0.10178176  0.         -1.        ],[-0.03114798 -0.12390928],False,[ 0.03571189 -0.15152598]
18,[-0.3         0.10178176  0.         -1.        ],[-0.03512204 -0.12261372],False,[ 0.03571189 -0.15152598]
19,[-0.3         0.10178176  0.         -1.        ],[-0.03908751 -0.12132053],False,[ 0.03571189 -0.15152598]
20,[-0.3         0.10178176  0.         -1.        ],[-0.04304416 -0.12002945],False,[ 0.03571189 -0.15152598]
21,[-0.3         0.10178176  0.         -1.        ],[-0.04699236 -0.11874016],False,[ 0.03571189 -0.15152598]
22,[-0.3         0.10178176  0.         -1.        ],[-0.05093289 -0.11745225],False,[ 0.03571189 -0.15152598]
23,[-0.3         0.10178176  0.         -1.        ],[-0.05486674 -0.11616531],False,[ 0.03571189 -0.15152598]
24,[-0.3         0.10178176  0.         -1.        ],[-0.05879497 -0.11487896],False,[ 0.03571189 -0.15152598]
25,[-0.3         0.10178176  0.         -1.        ],[-0.06271865 -0.11359284],False,[ 0.03571189 -0.15152598]
26,[-0.3         0.10178176  0.         -1.        ],[-0.06663873 -0.11230664],False,[ 0.03571189 -0.15152598]
27,[-0.3         0.10178176  0.         -1.        ],[-0.07055607 -0.1110201 ],False,[ 0.03571189 -0.15152598]
28,[-0.3         0.10178176  0.         -1.        ],[-0.07447135 -0.10973299],False,[ 0.03571189 -0.15152598]
29,[-0.3         0.10178176  0.         -1.        ],[-0.07838514 -0.10844513],False,[ 0.03571189 -0.15152598]
30,[-0.3         0.06134421  0.         -1.        ],[-0.08230136 -0.10738205],False,[ 0.03571189 -0.15152598]
31,[-0.3         0.06134421  0.         -1.        ],[-0.08622499 -0.10650109],False,[ 0.03571189 -0.15152598]
32,[-0.3         0.06134421  0.         -1.        ],[-0.09015058 -0.10566843],False,[ 0.03571189 -0.15152598]
33,[-0.3         0.06134421  0.         -1.        ],[-0.09407496 -0.1048629 ],False,[ 0.03571189 -0.15152598]
34,[-0.3         0.06134421  0.         -1.        ],[-0.0979967  -0.10407547],False,[ 0.03571189 -0.15152598]
35,[-0.3         0.06134421  0.         -1.        ],[-0.10191518 -0.10329968],False,[ 0.03571189 -0.15152598]
36,[-0.3         0.06134421  0.         -1.        ],[-0.10583019 -0.10253069],False,[ 0.03571189 -0.15152598]
37,[-0.3         0.06134421  0.         -1.        ],[-0.10974176 -0.10176504],False,[ 0.03571189 -0.15152598]
38,[-0.3         0.06134421  0.         -1.        ],[-0.11365008 -0.10100043],False,[ 0.03571189 -0.15152598]
39,[-0.3         0.06134421  0.         -1.        ],[-0.11755536 -0.10023536],False,[ 0.03571189 -0.15152598]
40,[-0.3         0.06134421  0.         -1.        ],[-0.12145781 -0.09946896],False,[ 0.03571189 -0.15152598]
41,[-0.3         0.06134421  0.         -1.        ],[-0.12535757 -0.09870077],False,[ 0.03571189 -0.15152598]
42,[-0.3         0.06134421  0.         -1.        ],[-0.12925469 -0.09793055],False,[ 0.03571189 -0.15152598]
43,[-0.3         0.06134421  0.         -1.        ],[-0.1331491  -0.09715825],False,[ 0.03571189 -0.15152598]
44,[-0.3         0.06134421  0.         -1.        ],[-0.13703929 -0.09637905],False,[ 0.03571189 -0.15152598]
45,[-0.3         0.06134421  0.         -1.        ],[-0.14092508 -0.09559363],False,[ 0.03571189 -0.15152598]
46,[-0.3         0.06134421  0.         -1.        ],[-0.14480694 -0.09480521],False,[ 0.03571189 -0.15152598]
47,[-0.3         0.06134421  0.         -1.        ],[-0.14868457 -0.09401455],False,[ 0.03571189 -0.15152598]
48,[-0.3         0.06134421  0.         -1.        ],[-0.15255741 -0.09322191],False,[ 0.03571189 -0.15152598]
49,[-0.3         0.06134421  0.         -1.        ],[-0.15642477 -0.09242743],False,[ 0.03571189 -0.15152598]
