step,action,eef_pos,good,target_pos
0,[ 0.08305713 -0.3         0.         -1.        ],[-0.11190866  0.25748427],True,[-0.02260527 -0.06403894]
1,[ 0.08305713 -0.3         0.         -1.        ],[-0.11140623  0.25558206],True,[-0.02260527 -0.06403894]
2,[ 0.08305713 -0.3         0.         -1.        ],[-0.11066901  0.25306446],True,[-0.02260527 -0.06403894]
3,[ 0.08305713 -0.3         0.         -1.        ],[-0.10981898  0.25015756],True,[-0.02260527 -0.06403894]
4,[ 0.08305713 -0.3         0.         -1.        ],[-0.10888164  0.24695619],True,[-0.02260527 -0.06403894]
5,[ 0.08305713 -0.3         0.         -1.        ],[-0.1078804   0.24351917],True,[-0.02260527 -0.06403894]
6,[ 0.08305713 -0.3         0.         -1.        ],[-0.1068351   0.23990016],True,[-0.02260527 -0.06403894]
7,[ 0.08305713 -0.3         0.         -1.        ],[-0.10576118  0.23614767],True,[-0.02260527 -0.06403894]
8,[ 0.08305713 -0.3         0.         -1.        ],[-0.1046699   0.23230291],True,[-0.02260527 -0.06403894]
9,[ 0.08305713 -0.3         0.         -1.        ],[-0.10356901  0.22839896],True,[-0.02260527 -0.06403894]
10,[ 0.08305713 -0.3         0.         -1.        ],[-0.10246353  0.22446102],True,[-0.02260527 -0.06403894]
11,[ 0.08305713 -0.3         0.         -1.        ],[-0.10135644  0.22050727],True,[-0.02260527 -0.06403894]
12,[ 0.08305713 -0.3         0.         -1.        ],[-0.10024931  0.21654997],True,[-0.02260527 -0.06403894]
13,[ 0.08305713 -0.3         0.         -1.        ],[-0.09914278  0.2125967 ],True,[-0.02260527 -0.06403894]
14,[ 0.08305713 -0.3         0.         -1.        ],[-0.09803694  0.20865151],True,[-0.02260527 -0.06403894]
15,[ 0.08305713 -0.3         0.         -1.        ],[-0.09693155  0.20471597],True,[-0.02260527 -0.06403894]
16,[ 0.08305713 -0.3         0.         -1.        ],[-0.09582628  0.20079001],True,[-0.02260527 -0.06403894]
17,[ 0.08305713 -0.3         0.         -1.        ],[-0.09472076  0.19687257],True,[-0.02260527 -0.06403894]
18,[ 0.08305713 -0.3         0.         -1.        ],[-0.09361465  0.19296214],True,[-0.02260527 -0.06403894]
