step,action,eef_pos,good,drop_pos,success,failure
0,[-0.14095384 -0.05249623 -0.25956919  1.        ],[ 0.12338467 -0.19102415  1.14740666],True,[-0.02455916 -0.23712326  0.87      ],False,False
1,[-0.13967815 -0.04352354 -0.26190784  1.        ],[ 0.12511858 -0.19609838  1.14835445],True,[-0.02455916 -0.23712326  0.87      ],False,False
2,[-0.14089667 -0.03861809 -0.26202437  1.        ],[ 0.12682459 -0.19982488  1.14823104],True,[-0.02455916 -0.23712326  0.87      ],False,False
3,[-0.14239535 -0.03508379 -0.26171109  1.        ],[ 0.12813505 -0.20269839  1.1475321 ],True,[-0.02455916 -0.23712326  0.87      ],False,False
4,[-0.14376661 -0.03241214 -0.26130559  1.        ],[ 0.12898616 -0.20491723  1.14639709],True,[-0.02455916 -0.23712326  0.87      ],False,False
5,[-0.14493669 -0.03040038 -0.26090069  1.        ],[ 0.1293879  -0.20663858  1.14487825],True,[-0.02455916 -0.23712326  0.87      ],False,False
6,[-0.1459106  -0.02889329 -0.26052884  1.        ],[ 0.12933778 -0.20797403  1.14298287],True,[-0.02455916 -0.23712326  0.87      ],False,False
7,[-0.14669527 -0.02778518 -0.26020853  1.        ],[ 0.12886504 -0.20900826  1.14072341],True,[-0.02455916 -0.23712326  0.87      ],False,False
8,[-0.14731412 -0.02699533 -0.25994192  1.        ],[ 0.12800667 -0.20980484  1.13814658],True,[-0.02455916 -0.23712326  0.87      ],False,False
9,[-0.1477788  -0.02646126 -0.259733    1.        ],[ 0.12680765 -0.21041569  1.13529441],True,[-0.02455916 -0.23712326  0.87      ],False,False
10,[-0.14810624 -0.02613227 -0.25957975  1.        ],[ 0.12531744 -0.21088305  1.13220712],True,[-0.02455916 -0.23712326  0.87      ],False,False
11,[-0.14831586 -0.02596695 -0.25947663  1.        ],[ 0.12358649 -0.21124154  1.12892463],True,[-0.02455916 -0.23712326  0.87      ],False,False
12,[-0.14842713 -0.0259309  -0.2594166   1.        ],[ 0.12166366 -0.21152011  1.12548574],True,[-0.02455916 -0.23712326  0.87      ],False,False
