step,action,eef_pos,good,drop_pos,success,failure
0,[ 0  0  0 -1],[0.05427929 0.29388322 1.03645488],False,[-0.07287921  0.06615166  0.87      ],False,True
1,[ 0  0  0 -1],[0.05420694 0.2973919  1.0368849 ],False,[-0.07287921  0.06615166  0.87      ],False,True
2,[ 0  0  0 -1],[0.05444587 0.30000254 1.03755819],False,[-0.07287921  0.06615166  0.87      ],False,True
3,[ 0  0  0 -1],[0.0549295  0.30195602 1.03828875],False,[-0.07287921  0.06615166  0.87      ],False,True
4,[ 0  0  0 -1],[0.05553002 0.30340307 1.03899048],False,[-0.07287921  0.06615166  0.87      ],False,True
5,[ 0  0  0 -1],[0.05614944 0.30445838 1.03962053],False,[-0.07287921  0.06615166  0.87      ],False,True
6,[ 0  0  0 -1],[0.05675043 0.30520886 1.04019423],False,[-0.07287921  0.06615166  0.87      ],False,True
7,[ 0  0  0 -1],[0.05727284 0.30571784 1.04067668],False,[-0.07287921  0.06615166  0.87      ],False,True
8,[ 0  0  0 -1],[0.05768787 0.3060432  1.04105414],False,[-0.07287921  0.06615166  0.87      ],False,True
9,[ 0  0  0 -1],[0.05801077 0.30625121 1.0413304 ],False,[-0.07287921  0.06615166  0.87      ],False,True
10,[ 0  0  0 -1],[0.05826705 0.30638846 1.04153978],False,[-0.07287921  0.06615166  0.87      ],False,True
11,[ 0  0  0 -1],[0.05846142 0.3064822  1.04169454],False,[-0.07287921  0.06615166  0.87      ],False,True
12,[ 0  0  0 -1],[0.05859697 0.30654943 1.04180248],False,[-0.07287921  0.06615166  0.87      ],False,True
13,[ 0  0  0 -1],[0.05868488 0.30660331 1.04187463],False,[-0.07287921  0.06615166  0.87      ],False,True
14,[ 0  0  0 -1],[0.05873677 0.30665266 1.04192106],False,[-0.07287921  0.06615166  0.87      ],False,True
15,[ 0  0  0 -1],[0.05876337 0.30670319 1.04195044],False,[-0.07287921  0.06615166  0.87      ],False,True
16,[ 0  0  0 -1],[0.05877395 0.3067584  1.04196996],False,[-0.07287921  0.06615166  0.87      ],False,True
17,[ 0  0  0 -1],[0.05877613 0.30682026 1.04198534],False,[-0.07287921  0.06615166  0.87      ],False,True
18,[ 0  0  0 -1],[0.05877654 0.30688873 1.04200101],False,[-0.07287921  0.06615166  0.87      ],False,True
19,[ 0  0  0 -1],[0.05877396 0.30695921 1.04201559],False,[-0.07287921  0.06615166  0.87      ],False,True
20,[ 0  0  0 -1],[0.05875971 0.30702568 1.04202289],False,[-0.07287921  0.06615166  0.87      ],False,True
21,[ 0  0  0 -1],[0.05874084 0.30708888 1.04202693],False,[-0.07287921  0.06615166  0.87      ],False,True
22,[ 0  0  0 -1],[0.05872021 0.30714892 1.0420292 ],False,[-0.07287921  0.06615166  0.87      ],False,True
23,[ 0  0  0 -1],[0.05869889 0.30720576 1.04203027],False,[-0.07287921  0.06615166  0.87      ],False,True
24,[ 0  0  0 -1],[0.05867743 0.30725947 1.04203048],False,[-0.07287921  0.06615166  0.87      ],False,True
25,[ 0  0  0 -1],[0.05865613 0.30731018 1.04203005],False,[-0.07287921  0.06615166  0.87      ],False,True
26,[ 0  0  0 -1],[0.05863523 0.30735804 1.04202915],False,[-0.07287921  0.06615166  0.87      ],False,True
27,[ 0  0  0 -1],[0.05861485 0.30740322 1.04202791],False,[-0.07287921  0.06615166  0.87      ],False,True
28,[ 0  0  0 -1],[0.05859518 0.30744587 1.04202688],False,[-0.07287921  0.06615166  0.87      ],False,True
29,[ 0  0  0 -1],[0.05857627 0.30748617 1.04202617],False,[-0.07287921  0.06615166  0.87      ],False,True
30,[ 0  0  0 -1],[0.05855812 0.30752426 1.04202576],False,[-0.07287921  0.06615166  0.87      ],False,True
31,[ 0  0  0 -1],[0.05854073 0.30756028 1.04202558],False,[-0.07287921  0.06615166  0.87      ],False,True
32,[ 0  0  0 -1],[0.0585241  0.30759435 1.0420256 ],False,[-0.07287921  0.06615166  0.87      ],False,True
33,[ 0  0  0 -1],[0.0585082  0.30762659 1.04202578],False,[-0.07287921  0.06615166  0.87      ],False,True
34,[ 0  0  0 -1],[0.05849303 0.30765711 1.0420261 ],False,[-0.07287921  0.06615166  0.87      ],False,True
