step,action,eef_pos,good,drop_pos,success,failure
0,[ 0.08153499 -0.08237235 -0.27670714  1.        ],[0.0477875  0.0231602  1.09754037],True,[ 0.10550156 -0.04207564  0.87      ],False,False
1,[ 0.07106429 -0.08032597 -0.28017424  1.        ],[0.05367402 0.02182366 1.09776063],True,[ 0.10550156 -0.04207564  0.87      ],False,False
2,[ 0.06420512 -0.07915988 -0.28215495  1.        ],[0.05890703 0.02062389 1.09727538],True,[ 0.10550156 -0.04207564  0.87      ],False,False
3,[ 0.05816427 -0.07826823 -0.28370936  1.        ],[0.06354833 0.01953318 1.09626644],True,[ 0.10550156 -0.04207564  0.87      ],False,False
4,[ 0.05283179 -0.0775841  -0.28493773  1.        ],[0.06758989 0.01853603 1.09479745],True,[ 0.10550156 -0.04207564  0.87      ],False,False
5,[ 0.0482149  -0.07708406 -0.28589049  1.        ],[0.07103337 0.01759062 1.092909  ],True,[ 0.10550156 -0.04207564  0.87      ],False,False
6,[ 0.04431947 -0.07671934 -0.28661809  1.        ],[0.07389085 0.01666858 1.09064593],True,[ 0.10550156 -0.04207564  0.87      ],False,False
7,[ 0.04114018 -0.07645345 -0.28716259  1.        ],[0.07621883 0.01575612 1.08804421],True,[ 0.10550156 -0.04207564  0.87      ],False,False
8,[ 0.03861869 -0.07626976 -0.28756133  1.        ],[0.07806635 0.01484385 1.08513224],True,[ 0.10550156 -0.04207564  0.87      ],False,False
9,[ 0.03670761 -0.07615682 -0.28784143  1.        ],[0.07949121 0.01392812 1.08194609],True,[ 0.10550156 -0.04207564  0.87      ],False,False
10,[ 0.03534687 -0.07610653 -0.28802499  1.        ],[0.08058275 0.01300961 1.07854219],True,[ 0.10550156 -0.04207564  0.87      ],False,False
11,[ 0.03442944 -0.07610933 -0.28813536  1.        ],[0.0814035  0.01208998 1.07495931],True,[ 0.10550156 -0.04207564  0.87      ],False,False
12,[ 0.03388349 -0.0761605  -0.28818655  1.        ],[0.08200712 0.01117085 1.07123139],True,[ 0.10550156 -0.04207564  0.87      ],False,False
13,[ 0.03364705 -0.07625578 -0.28818906  1.        ],[0.08244784 0.01025299 1.06739319],True,[ 0.10550156 -0.04207564  0.87      ],False,False
14,[ 0.03365364 -0.07638892 -0.28815302  1.        ],[0.08277333 0.00933461 1.06347553],True,[ 0.10550156 -0.04207564  0.87      ],False,False
15,[ 0.03384269 -0.07655063 -0.28808796  1.        ],[0.08302371 0.00841448 1.05950462],True,[ 0.10550156 -0.04207564  0.87      ],False,False
16,[ 0.03416098 -0.07673295 -0.28800188  1.        ],[0.0832317  0.00749204 1.05550205],True,[ 0.10550156 -0.04207564  0.87      ],False,False
