step,action,eef_pos,good,drop_pos,success,failure
0,[-0.04263856 -0.3         0.25553613  1.        ],[ 0.02739441 -0.01861999  0.99142908],False,[0.10789529 0.08579919 0.87      ],False,False
1,[-0.08054842 -0.3         0.28608011  1.        ],[ 0.02986477 -0.0214205   0.99753676],False,[0.10789529 0.08579919 0.87      ],False,False
2,[-0.15076518 -0.27307357  0.3         1.        ],[ 0.0315326  -0.02436674  1.00362732],False,[0.10789529 0.08579919 0.87      ],False,False
3,[ 0.01832357 -0.3         0.2996248   1.        ],[ 0.03349007 -0.02756444  1.00951603],False,[0.10789529 0.08579919 0.87      ],False,False
4,[-0.27801122 -0.08791305  0.3         1.        ],[ 0.0341167  -0.02988882  1.01512554],False,[0.10789529 0.08579919 0.87      ],False,False
5,[ 0.05748954 -0.27775305  0.3         1.        ],[ 0.03513049 -0.03250526  1.02057735],False,[0.10789529 0.08579919 0.87      ],False,False
6,[-0.26291016 -0.08631508  0.3         1.        ],[ 0.03513157 -0.03475888  1.02560651],False,[0.10789529 0.08579919 0.87      ],False,False
7,[-0.23062802 -0.14322516  0.3         1.        ],[ 0.03396329 -0.0366446   1.03068936],False,[0.10789529 0.08579919 0.87      ],False,False
8,[-0.16468286 -0.21020919  0.3         1.        ],[ 0.0327557  -0.03899731  1.03554923],False,[0.10789529 0.08579919 0.87      ],False,False
9,[-0.24185589 -0.10578382  0.3         1.        ],[ 0.03100552 -0.04103924  1.04013647],False,[0.10789529 0.08579919 0.87      ],False,False
10,[-0.08985452 -0.24561856  0.3         1.        ],[ 0.02947939 -0.04343039  1.04449307],False,[0.10789529 0.08579919 0.87      ],False,False
11,[-0.24706605 -0.0806112   0.3         1.        ],[ 0.02737262 -0.04541621  1.04859121],False,[0.10789529 0.08579919 0.87      ],False,False
12,[-0.20075138 -0.16303019  0.3         1.        ],[ 0.0248273  -0.04722628  1.0526882 ],False,[0.10789529 0.08579919 0.87      ],False,False
13,[-0.24421566 -0.08176325  0.3         1.        ],[ 0.02199709 -0.04881192  1.05669516],False,[0.10789529 0.08579919 0.87      ],False,False
14,[-0.06305762 -0.24872537  0.3         1.        ],[ 0.01982954 -0.05096973  1.06054192],False,[0.10789529 0.08579919 0.87      ],False,False
15,[-0.07751202 -0.24410491  0.3         1.        ],[ 0.01810062 -0.05374915  1.06408416],False,[0.10789529 0.08579919 0.87      ],False,False
16,[-0.1771717  -0.18547951  0.3         1.        ],[ 0.01585523 -0.05634303  1.06761451],False,[0.10789529 0.08579919 0.87      ],False,False
17,[-0.22481343 -0.1246858   0.3         1.        ],[ 0.01304244 -0.05842037  1.07132693],False,[0.10789529 0.08579919 0.87      ],False,False
18,[-0.04953057 -0.2524038   0.3         1.        ],[ 0.01094924 -0.06091163  1.0750481 ],False,[0.10789529 0.08579919 0.87      ],False,False
19,[-0.19066086 -0.17274452  0.3         1.        ],[ 0.00872322 -0.0634526   1.07864868],False,[0.10789529 0.08579919 0.87      ],False,False
