step,action,eef_pos,good,drop_pos,success,failure
0,[-0.18904729 -0.2085053  -0.10385887  1.        ],[0.17074801 0.12358655 1.0046787 ],True,[-0.08048931 -0.14618717  0.87      ],False,False
1,[-0.19204089 -0.20620976 -0.10294577  1.        ],[0.1734776  0.12203233 1.00614803],True,[-0.08048931 -0.14618717  0.87      ],False,False
2,[-0.19353723 -0.20439851 -0.10375254  1.        ],[0.17561147 0.12039515 1.00796459],True,[-0.08048931 -0.14618717  0.87      ],False,False
3,[-0.19471734 -0.20268662 -0.10489658  1.        ],[0.17726237 0.11870598 1.00953307],True,[-0.08048931 -0.14618717  0.87      ],False,False
4,[-0.19573017 -0.20115322 -0.10595792  1.        ],[0.17841055 0.11693978 1.01072812],True,[-0.08048931 -0.14618717  0.87      ],False,False
5,[-0.19660487 -0.19981487 -0.10686693  1.        ],[0.17904484 0.11508323 1.01152619],True,[-0.08048931 -0.14618717  0.87      ],False,False
6,[-0.19735194 -0.1986722  -0.1076177   1.        ],[0.17917877 0.11313071 1.01197056],True,[-0.08048931 -0.14618717  0.87      ],False,False
7,[-0.19797657 -0.19770956 -0.10824143  1.        ],[0.17883132 0.1110856  1.01208422],True,[-0.08048931 -0.14618717  0.87      ],False,False
8,[-0.19848525 -0.19691781 -0.10875194  1.        ],[0.17802553 0.10895143 1.01188369],True,[-0.08048931 -0.14618717  0.87      ],False,False
9,[-0.19888594 -0.19628846 -0.10915687  1.        ],[0.1767961  0.10673451 1.01139365],True,[-0.08048931 -0.14618717  0.87      ],False,False
10,[-0.19918799 -0.19580964 -0.10946566  1.        ],[0.17518658 0.10444369 1.01064381],True,[-0.08048931 -0.14618717  0.87      ],False,False
11,[-0.1994018  -0.19546718 -0.10968821  1.        ],[0.17324576 0.10208928 1.00966692],True,[-0.08048931 -0.14618717  0.87      ],False,False
12,[-0.19953826 -0.19524558 -0.10983462  1.        ],[0.17102474 0.09968213 1.00849715],True,[-0.08048931 -0.14618717  0.87      ],False,False
13,[-0.1996084  -0.19512857 -0.10991511  1.        ],[0.16857444 0.09723295 1.00716875],True,[-0.08048931 -0.14618717  0.87      ],False,False
14,[-0.199623   -0.19509967 -0.10993988  1.        ],[0.16594363 0.09475174 1.00571484],True,[-0.08048931 -0.14618717  0.87      ],False,False
15,[-0.19959245 -0.1951427  -0.10991898  1.        ],[0.16317737 0.09224745 1.0041663 ],True,[-0.08048931 -0.14618717  0.87      ],False,False
16,[-0.19952647 -0.19524219 -0.10986208  1.        ],[0.16031594 0.08972772 1.00255095],True,[-0.08048931 -0.14618717  0.87      ],False,False
17,[-0.19943399 -0.19538381 -0.10977819  1.        ],[0.15739411 0.08719884 1.00089299],True,[-0.08048931 -0.14618717  0.87      ],False,False
18,[-0.19932302 -0.19555464 -0.10967551  1.        ],[0.15444085 0.08466576 0.99921265],True,[-0.08048931 -0.14618717  0.87      ],False,False
19,[-0.19920055 -0.19574341 -0.10956121  1.        ],[0.15147934 0.08213215 0.99752619],True,[-0.08048931 -0.14618717  0.87      ],False,False
20,[-0.19907248 -0.19594067 -0.10944132  1.        ],[0.14852729 0.07960058 0.99584596],True,[-0.08048931 -0.14618717  0.87      ],False,False
21,[-0.19894363 -0.19613877 -0.10932069  1.        ],[0.14559738 0.07707267 0.99418082],True,[-0.08048931 -0.14618717  0.87      ],False,False
22,[-0.19881775 -0.19633186 -0.10920303  1.        ],[0.14269792 0.0745493  0.99253649],True,[-0.08048931 -0.14618717  0.87      ],False,False
23,[-0.19869758 -0.19651574 -0.10909094  1.        ],[0.13983351 0.07203076 0.99091612],True,[-0.08048931 -0.14618717  0.87      ],False,False
24,[-0.19858493 -0.19668772 -0.10898608  1.        ],[0.13700582 0.06951692 0.98932075],True,[-0.08048931 -0.14618717  0.87      ],False,False
25,[-0.19848083 -0.19684637 -0.10888925  1.        ],[0.13421419 0.06700736 0.98774987],True,[-0.08048931 -0.14618717  0.87      ],False,False
26,[-0.19838559 -0.19699131 -0.10880064  1.        ],[0.13145631 0.06450153 0.98620179],True,[-0.08048931 -0.14618717  0.87      ],False,False
