step,action,eef_pos,good,drop_pos,success,failure
0,[ 0.05688605  0.0797838  -0.28354633  1.        ],[ 0.08691557 -0.15189434  1.10113643],True,[ 0.13154457 -0.07848595  0.87      ],False,False
1,[ 0.0542963   0.08930974 -0.28120399  1.        ],[ 0.09098119 -0.15523953  1.10062107],True,[ 0.13154457 -0.07848595  0.87      ],False,False
2,[ 0.04938332  0.09344258 -0.2807664   1.        ],[ 0.09490858 -0.15710669  1.09953905],True,[ 0.13154457 -0.07848595  0.87      ],False,False
3,[ 0.04479083  0.09612102 -0.28063238  1.        ],[ 0.0984298  -0.15808373  1.0980467 ],True,[ 0.13154457 -0.07848595  0.87      ],False,False
4,[ 0.04074854  0.09794703 -0.28061706  1.        ],[ 0.10146867 -0.15840375  1.09619366],True,[ 0.13154457 -0.07848595  0.87      ],False,False
5,[ 0.03731892  0.099164   -0.28066671  1.        ],[ 0.10402428 -0.15822489  1.09400121],True,[ 0.13154457 -0.07848595  0.87      ],False,False
6,[ 0.03449264  0.09994106 -0.28075263  1.        ],[ 0.10611414 -0.15767483  1.09147692],True,[ 0.13154457 -0.07848595  0.87      ],False,False
7,[ 0.0322477   0.10041749 -0.28084945  1.        ],[ 0.10777143 -0.1568621   1.08864903],True,[ 0.13154457 -0.07848595  0.87      ],False,False
8,[ 0.03054557  0.10070376 -0.28093722  1.        ],[ 0.10906409 -0.15586126  1.08556644],True,[ 0.13154457 -0.07848595  0.87      ],False,False
9,[ 0.02930541  0.10086599 -0.28101111  1.        ],[ 0.1100345  -0.15472301  1.08225731],True,[ 0.13154457 -0.07848595  0.87      ],False,False
10,[ 0.02848303  0.10095097 -0.28106515  1.        ],[ 0.11073692 -0.15348751  1.07875835],True,[ 0.13154457 -0.07848595  0.87      ],False,False
11,[ 0.02801793  0.10099117 -0.28109746  1.        ],[ 0.11122586 -0.15218592  1.0751068 ],True,[ 0.13154457 -0.07848595  0.87      ],False,False
12,[ 0.02784769  0.10100908 -0.28110794  1.        ],[ 0.11155102 -0.15084491  1.07133932],True,[ 0.13154457 -0.07848595  0.87      ],False,False
13,[ 0.02791366  0.10102274 -0.28109649  1.        ],[ 0.1117612  -0.14946994  1.06748838],True,[ 0.13154457 -0.07848595  0.87      ],False,False
14,[ 0.02815624  0.1010264  -0.28107097  1.        ],[ 0.11189649 -0.14807102  1.06358083],True,[ 0.13154457 -0.07848595  0.87      ],False,False
15,[ 0.02852455  0.10102177 -0.2810355   1.        ],[ 0.11198934 -0.14665883  1.05963861],True,[ 0.13154457 -0.07848595  0.87      ],False,False
16,[ 0.02897547  0.1010135  -0.28099234  1.        ],[ 0.11206505 -0.1452438   1.05567966],True,[ 0.13154457 -0.07848595  0.87      ],False,False
17,[ 0.02947348  0.10100795 -0.28094254  1.        ],[ 0.11214313 -0.14383322  1.05171811],True,[ 0.13154457 -0.07848595  0.87      ],False,False
18,[ 0.02998941  0.10100935 -0.28088743  1.        ],[ 0.11223793 -0.14243166  1.04776442],True,[ 0.13154457 -0.07848595  0.87      ],False,False
19,[ 0.03050023  0.10102012 -0.28082854  1.        ],[ 0.11235921 -0.14104161  1.04382585],True,[ 0.13154457 -0.07848595  0.87      ],False,False
20,[ 0.03098862  0.10104133 -0.28076744  1.        ],[ 0.11251292 -0.13966402  1.03990687],True,[ 0.13154457 -0.07848595  0.87      ],False,False
