step,action,eef_pos,good,drop_pos,success,failure
0,[ 0.0686347  -0.01333655 -0.29173861  1.        ],[0.01607915 0.12046491 1.14647201],True,[0.07775881 0.1114576  0.87      ],False,False
1,[ 0.06528979 -0.00953452 -0.29265395  1.        ],[0.01957775 0.11998613 1.14357585],True,[0.07775881 0.1114576  0.87      ],False,False
2,[ 0.06237605 -0.00914346 -0.29330125  1.        ],[0.02233221 0.11991962 1.14089442],True,[0.07775881 0.1114576  0.87      ],False,False
3,[ 0.06010779 -0.0091767  -0.29377345  1.        ],[0.02452222 0.11989403 1.13797158],True,[0.07775881 0.1114576  0.87      ],False,False
4,[ 0.05842925 -0.00925932 -0.29410931  1.        ],[0.02625944 0.1198562  1.13476841],True,[0.07775881 0.1114576  0.87      ],False,False
5,[ 0.05725097 -0.00933658 -0.2943385   1.        ],[0.02763621 0.11979247 1.13132082],True,[0.07775881 0.1114576  0.87      ],False,False
6,[ 0.05648364 -0.00939265 -0.29448493  1.        ],[0.02871719 0.11970147 1.12766427],True,[0.07775881 0.1114576  0.87      ],False,False
7,[ 0.05606479 -0.00942447 -0.29456395  1.        ],[0.02957356 0.11956844 1.12384389],True,[0.07775881 0.1114576  0.87      ],False,False
8,[ 0.05592012 -0.00941283 -0.29459182  1.        ],[0.03026593 0.11939472 1.1199011 ],True,[0.07775881 0.1114576  0.87      ],False,False
9,[ 0.05598423 -0.00935622 -0.29458144  1.        ],[0.03084402 0.11919386 1.11587143],True,[0.07775881 0.1114576  0.87      ],False,False
10,[ 0.05620179 -0.00926769 -0.29454281  1.        ],[0.0313493  0.11897765 1.11178482],True,[0.07775881 0.1114576  0.87      ],False,False
11,[ 0.05652496 -0.00915913 -0.29448436  1.        ],[0.03181632 0.1187507  1.10766574],True,[0.07775881 0.1114576  0.87      ],False,False
12,[ 0.05691226 -0.00903449 -0.29441361  1.        ],[0.03227164 0.11851781 1.10353343],True,[0.07775881 0.1114576  0.87      ],False,False
13,[ 0.05733031 -0.00889842 -0.29433663  1.        ],[0.0327341  0.1182863  1.09940225],True,[0.07775881 0.1114576  0.87      ],False,False
14,[ 0.05775393 -0.00875929 -0.29425798  1.        ],[0.03321705 0.11806064 1.0952823 ],True,[0.07775881 0.1114576  0.87      ],False,False
15,[ 0.05816414 -0.00862247 -0.29418121  1.        ],[0.0337291  0.11784315 1.09118009],True,[0.07775881 0.1114576  0.87      ],False,False
16,[ 0.05854747 -0.00849104 -0.29410899  1.        ],[0.03425611 0.1176311  1.08708654],True,[0.07775881 0.1114576  0.87      ],False,False
17,[ 0.05892319 -0.00836184 -0.29403765  1.        ],[0.03479137 0.11742323 1.08299779],True,[0.07775881 0.1114576  0.87      ],False,False
18,[ 0.0593008  -0.00823338 -0.29396535  1.        ],[0.03534577 0.11722128 1.07892098],True,[0.07775881 0.1114576  0.87      ],False,False
19,[ 0.05966371 -0.00810795 -0.2938954   1.        ],[0.03591938 0.11702474 1.07485594],True,[0.07775881 0.1114576  0.87      ],False,False
20,[ 0.06001095 -0.00798503 -0.29382805  1.        ],[0.03651088 0.11683292 1.07080171],True,[0.07775881 0.1114576  0.87      ],False,False
21,[ 0.06034372 -0.00786384 -0.29376316  1.        ],[0.03711856 0.11664519 1.06675707],True,[0.07775881 0.1114576  0.87      ],False,False
22,[ 0.06066394 -0.00774355 -0.2937004   1.        ],[0.03774055 0.11646093 1.06272074],True,[0.07775881 0.1114576  0.87      ],False,False
23,[ 0.06097392 -0.00762333 -0.29363935  1.        ],[0.038375   0.11627959 1.05869142],True,[0.07775881 0.1114576  0.87      ],False,False
24,[ 0.06127615 -0.0075024  -0.29357954  1.        ],[0.03902019 0.11610071 1.05466794],True,[0.07775881 0.1114576  0.87      ],False,False
25,[ 0.06157312 -0.00738    -0.2935205   1.        ],[0.03967459 0.1159239  1.05064922],True,[0.07775881 0.1114576  0.87      ],False,False
26,[ 0.06186722 -0.00725544 -0.29346176  1.        ],[0.04033689 0.11574885 1.04663436],True,[0.07775881 0.1114576  0.87      ],False,False
27,[ 0.06216061 -0.00712809 -0.29340288  1.        ],[0.04100604 0.11557531 1.0426226 ],True,[0.07775881 0.1114576  0.87      ],False,False
28,[ 0.06245525 -0.00699738 -0.29334345  1.        ],[0.04168119 0.11540314 1.03861335],True,[0.07775881 0.1114576  0.87      ],False,False
