step,action,eef_pos,good,drop_pos,success,failure
0,[-0.01286461 -0.181362   -0.23862591  1.        ],[-0.02249518  0.04780108  1.25106578],True,[-0.04328845 -0.23689072  0.87      ],False,False
1,[-0.01310162 -0.17938133 -0.24010557  1.        ],[-0.02185516  0.04589054  1.2501524 ],True,[-0.04328845 -0.23689072  0.87      ],False,False
2,[-0.0135574  -0.17887023 -0.2404613   1.        ],[-0.02107812  0.04380699  1.24811984],True,[-0.04328845 -0.23689072  0.87      ],False,False
3,[-0.01413339 -0.1786201  -0.24061402  1.        ],[-0.02035621  0.04164901  1.24580403],True,[-0.04328845 -0.23689072  0.87      ],False,False
4,[-0.01468959 -0.17842287 -0.24072701  1.        ],[-0.01973818  0.0394471   1.24335272],True,[-0.04328845 -0.23689072  0.87      ],False,False
5,[-0.01519076 -0.17824766 -0.24082569  1.        ],[-0.01925244  0.03721553  1.24077664],True,[-0.04328845 -0.23689072  0.87      ],False,False
6,[-0.01561719 -0.1780982  -0.24090897  1.        ],[-0.01890421  0.03496374  1.23807972],True,[-0.04328845 -0.23689072  0.87      ],False,False
7,[-0.01596391 -0.1779781  -0.240975    1.        ],[-0.01868934  0.03269798  1.23526782],True,[-0.04328845 -0.23689072  0.87      ],False,False
8,[-0.01623179 -0.17788885 -0.241023    1.        ],[-0.01859741  0.0304224   1.23235062],True,[-0.04328845 -0.23689072  0.87      ],False,False
9,[-0.01642569 -0.17782981 -0.24105343  1.        ],[-0.01861405  0.02813988  1.2293407 ],True,[-0.04328845 -0.23689072  0.87      ],False,False
10,[-0.01655309 -0.1777987  -0.24106766  1.        ],[-0.01872293  0.02585244  1.22625208],True,[-0.04328845 -0.23689072  0.87      ],False,False
11,[-0.01662293 -0.17779226 -0.24106761  1.        ],[-0.0189073   0.02356151  1.22309909],True,[-0.04328845 -0.23689072  0.87      ],False,False
12,[-0.01664464 -0.17780678 -0.24105539  1.        ],[-0.01915107  0.02126815  1.21989544],True,[-0.04328845 -0.23689072  0.87      ],False,False
13,[-0.01662756 -0.17783845 -0.24103321  1.        ],[-0.0194395   0.01897314  1.21665368],True,[-0.04328845 -0.23689072  0.87      ],False,False
14,[-0.01658044 -0.17788358 -0.24100316  1.        ],[-0.01975959  0.01667701  1.21338485],True,[-0.04328845 -0.23689072  0.87      ],False,False
15,[-0.01651116 -0.1779388  -0.24096714  1.        ],[-0.02010031  0.01438012  1.21009831],True,[-0.04328845 -0.23689072  0.87      ],False,False
16,[-0.01642656 -0.17800116 -0.24092687  1.        ],[-0.02045262  0.01208268  1.20680168],True,[-0.04328845 -0.23689072  0.87      ],False,False
17,[-0.0163324  -0.17806814 -0.24088377  1.        ],[-0.02080938  0.00978483  1.20350098],True,[-0.04328845 -0.23689072  0.87      ],False,False
18,[-0.01623335 -0.1781377  -0.24083903  1.        ],[-0.02116522  0.00748658  1.20020071],True,[-0.04328845 -0.23689072  0.87      ],False,False
19,[-0.01613301 -0.17820823 -0.24079359  1.        ],[-0.02151629  0.00518791  1.19690406],True,[-0.04328845 -0.23689072  0.87      ],False,False
20,[-0.01603408 -0.17827854 -0.24074814  1.        ],[-0.02186009  0.00288877  1.19361312],True,[-0.04328845 -0.23689072  0.87      ],False,False
21,[-0.0159384 -0.1783478 -0.2407032  1.       ],[-2.21951424e-02  5.89078416e-04  1.19032907e+00],True,[-0.04328845 -0.23689072  0.87      ],False,False
22,[-0.01584713 -0.17841548 -0.24065906  1.        ],[-0.02252085 -0.00171124  1.18705241],True,[-0.04328845 -0.23689072  0.87      ],False,False
23,[-0.01576085 -0.1784813  -0.24061592  1.        ],[-0.02283723 -0.00401225  1.1837831 ],True,[-0.04328845 -0.23689072  0.87      ],False,False
24,[-0.01567971 -0.17854519 -0.24057382  1.        ],[-0.02314475 -0.00631401  1.18052074],True,[-0.04328845 -0.23689072  0.87      ],False,False
25,[-0.01560353 -0.17860721 -0.24053273  1.        ],[-0.02344417 -0.00861658  1.1772647 ],True,[-0.04328845 -0.23689072  0.87      ],False,False
26,[-0.01553189 -0.17866754 -0.24049256  1.        ],[-0.02373642 -0.01091998  1.17401425],True,[-0.04328845 -0.23689072  0.87      ],False,False
27,[-0.01546423 -0.17872642 -0.24045316  1.        ],[-0.02402247 -0.01322423  1.17076857],True,[-0.04328845 -0.23689072  0.87      ],False,False
28,[-0.01539994 -0.17878412 -0.24041439  1.        ],[-0.02430329 -0.01552932  1.16752689],True,[-0.04328845 -0.23689072  0.87      ],False,False
29,[-0.01533837 -0.17884092 -0.24037608  1.        ],[-0.02457977 -0.01783526  1.16428851],True,[-0.04328845 -0.23689072  0.87      ],False,False
