step,action,eef_pos,good,drop_pos,success,failure
0,[0.  0.  0.3 1. ],[0.00603389 0.22914736 0.86667011],True,[-0.02260527 -0.06403894  0.87      ],False,False
1,[0.  0.  0.3 1. ],[0.00461625 0.23389906 0.86986582],True,[-0.02260527 -0.06403894  0.87      ],False,False
2,[0.  0.  0.3 1. ],[0.00318901 0.23763694 0.87363371],True,[-0.02260527 -0.06403894  0.87      ],False,False
3,[-0.02555589 -0.29888783 -0.00360013  1.        ],[0.00197528 0.23889966 0.87573018],True,[-0.02260527 -0.06403894  0.87      ],False,False
4,[-0.02425806 -0.29896416 -0.00565501  1.        ],[0.00113733 0.23816416 0.87631101],True,[-0.02260527 -0.06403894  0.87      ],False,False
5,[-0.02349202 -0.2990136  -0.0062444   1.        ],[5.57897879e-04 2.36484325e-01 8.76555184e-01],True,[-0.02260527 -0.06403894  0.87      ],False,False
6,[-0.023049   -0.29904213 -0.00652288  1.        ],[1.48159077e-04 2.34105312e-01 8.76693696e-01],True,[-0.02260527 -0.06403894  0.87      ],False,False
7,[-0.02282295 -0.29905523 -0.00671415  1.        ],[-1.44715754e-04  2.31178868e-01  8.76774248e-01],True,[-0.02260527 -0.06403894  0.87      ],False,False
8,[-0.02275266 -0.29905723 -0.00686235  1.        ],[-3.69779013e-04  2.27838122e-01  8.76808872e-01],True,[-0.02260527 -0.06403894  0.87      ],False,False
9,[-0.02278211 -0.29905235 -0.00697626  1.        ],[-5.62734519e-04  2.24198302e-01  8.76804629e-01],True,[-0.02260527 -0.06403894  0.87      ],False,False
10,[-0.02286894 -0.29904376 -0.00705975  1.        ],[-7.48036528e-04  2.20354712e-01  8.76768063e-01],True,[-0.02260527 -0.06403894  0.87      ],False,False
11,[-0.0229824  -0.29903372 -0.00711647  1.        ],[-0.00094148  0.2163829   0.87670548],True,[-0.02260527 -0.06403894  0.87      ],False,False
12,[-0.02310086 -0.29902378 -0.00715029  1.        ],[-0.0011525   0.21234039  0.87662262],True,[-0.02260527 -0.06403894  0.87      ],False,False
13,[-0.02320977 -0.299015   -0.00716502  1.        ],[-0.00138605  0.20826907  0.87652434],True,[-0.02260527 -0.06403894  0.87      ],False,False
14,[-0.02329977 -0.29900802 -0.00716406  1.        ],[-0.00164416  0.20419784  0.87641449],True,[-0.02260527 -0.06403894  0.87      ],False,False
15,[-0.02336532 -0.29900324 -0.00715023  1.        ],[-0.00192688  0.20014529  0.87629597],True,[-0.02260527 -0.06403894  0.87      ],False,False
16,[-0.02340357 -0.29900083 -0.00712571  1.        ],[-0.00223306  0.196122    0.87617085],True,[-0.02260527 -0.06403894  0.87      ],False,False
17,[-0.0234136  -0.29900084 -0.00709211  1.        ],[-0.00256085  0.19213275  0.87604055],True,[-0.02260527 -0.06403894  0.87      ],False,False
18,[-0.02339581 -0.29900322 -0.00705052  1.        ],[-0.00290798  0.18817818  0.87590605],True,[-0.02260527 -0.06403894  0.87      ],False,False
