step,action,eef_pos,good,drop_pos,success,failure
0,[-0.05342038  0.2379345  -0.1747382   1.        ],[ 0.13738875 -0.29620258  1.24009926],True,[0.02198168 0.22138129 0.87      ],False,False
1,[-0.05353888  0.24011406 -0.17169399  1.        ],[ 0.13903719 -0.29842647  1.24002832],True,[0.02198168 0.22138129 0.87      ],False,False
2,[-0.05413315  0.24038881 -0.17112224  1.        ],[ 0.14082626 -0.29928713  1.24078684],True,[0.02198168 0.22138129 0.87      ],False,False
3,[-0.0548382   0.24025093 -0.17109139  1.        ],[ 0.14267362 -0.29931924  1.24156373],True,[0.02198168 0.22138129 0.87      ],False,False
4,[-0.05562141  0.23996713 -0.17123678  1.        ],[ 0.14449608 -0.29872745  1.24216487],True,[0.02198168 0.22138129 0.87      ],False,False
5,[-0.05644303  0.23961684 -0.17145832  1.        ],[ 0.14619543 -0.29765112  1.24253496],True,[0.02198168 0.22138129 0.87      ],False,False
6,[-0.05725453  0.23924049 -0.17171461  1.        ],[ 0.14771383 -0.29618797  1.24266298],True,[0.02198168 0.22138129 0.87      ],False,False
7,[-0.05802582  0.23885997 -0.17198523  1.        ],[ 0.14904776 -0.29442463  1.24254477],True,[0.02198168 0.22138129 0.87      ],False,False
8,[-0.05875089  0.23849051 -0.17225159  1.        ],[ 0.15016016 -0.29242313  1.2421733 ],True,[0.02198168 0.22138129 0.87      ],False,False
9,[-0.05941029  0.2381466  -0.17250106  1.        ],[ 0.15103534 -0.29022823  1.24154961],True,[0.02198168 0.22138129 0.87      ],False,False
10,[-0.05999445  0.23783696 -0.17272593  1.        ],[ 0.15167144 -0.28786795  1.24067985],True,[0.02198168 0.22138129 0.87      ],False,False
11,[-0.06050048  0.2375656  -0.17292275  1.        ],[ 0.15207299 -0.2853651   1.23957336],True,[0.02198168 0.22138129 0.87      ],False,False
12,[-0.06092825  0.23733462 -0.17308964  1.        ],[ 0.15224975 -0.28273787  1.23824234],True,[0.02198168 0.22138129 0.87      ],False,False
13,[-0.06127985  0.23714443 -0.17322615  1.        ],[ 0.15221541 -0.28000141  1.23670146],True,[0.02198168 0.22138129 0.87      ],False,False
14,[-0.06155902  0.23699412 -0.17333285  1.        ],[ 0.15198652 -0.27716907  1.2349675 ],True,[0.02198168 0.22138129 0.87      ],False,False
15,[-0.06177065  0.23688179 -0.17341108  1.        ],[ 0.15158168 -0.27425312  1.23305889],True,[0.02198168 0.22138129 0.87      ],False,False
16,[-0.06192045  0.23680484 -0.17346274  1.        ],[ 0.1510208  -0.27126515  1.23099529],True,[0.02198168 0.22138129 0.87      ],False,False
17,[-0.0620147   0.23676012 -0.17349012  1.        ],[ 0.15032451 -0.26821629  1.22879709],True,[0.02198168 0.22138129 0.87      ],False,False
18,[-0.06205997  0.23674413 -0.17349576  1.        ],[ 0.14951354 -0.26511718  1.22648493],True,[0.02198168 0.22138129 0.87      ],False,False
19,[-0.06206302  0.23675312 -0.17348239  1.        ],[ 0.14860825 -0.26197794  1.22407913],True,[0.02198168 0.22138129 0.87      ],False,False
20,[-0.06203058  0.23678329 -0.17345282  1.        ],[ 0.14762818 -0.25880803  1.22159929],True,[0.02198168 0.22138129 0.87      ],False,False
21,[-0.06196923  0.23683083 -0.17340984  1.        ],[ 0.14659163 -0.25561612  1.21906377],True,[0.02198168 0.22138129 0.87      ],False,False
22,[-0.06188526  0.23689208 -0.17335616  1.        ],[ 0.14551535 -0.25240997  1.2164894 ],True,[0.02198168 0.22138129 0.87      ],False,False
23,[-0.06178455  0.23696356 -0.17329438  1.        ],[ 0.14441431 -0.24919636  1.21389117],True,[0.02198168 0.22138129 0.87      ],False,False
24,[-0.06167248  0.23704211 -0.17322686  1.        ],[ 0.14330152 -0.24598103  1.21128204],True,[0.02198168 0.22138129 0.87      ],False,False
25,[-0.06155386  0.23712489 -0.17315574  1.        ],[ 0.14218794 -0.24276868  1.20867288],True,[0.02198168 0.22138129 0.87      ],False,False
26,[-0.06143286  0.23720945 -0.17308287  1.        ],[ 0.14108252 -0.239563    1.20607244],True,[0.02198168 0.22138129 0.87      ],False,False
