step,action,eef_pos,good,target_pos,in_target
0,[-0.07050909  0.3         0.         -1.        ],[ 0.13841529 -0.25829452],True,[0.06691724 0.04814369],False
1,[-0.07050909  0.3         0.         -1.        ],[ 0.13811867 -0.25667473],True,[0.06691724 0.04814369],False
2,[-0.07050909  0.3         0.         -1.        ],[ 0.13798372 -0.25450539],True,[0.06691724 0.04814369],False
3,[-0.07050909  0.3         0.         -1.        ],[ 0.13791181 -0.2519567 ],True,[0.06691724 0.04814369],False
4,[-0.07050909  0.3         0.         -1.        ],[ 0.13783149 -0.24908274],True,[0.06691724 0.04814369],False
5,[-0.07050909  0.3         0.         -1.        ],[ 0.13769588 -0.24594001],True,[0.06691724 0.04814369],False
6,[-0.07050909  0.3         0.         -1.        ],[ 0.13748885 -0.24259162],True,[0.06691724 0.04814369],False
7,[-0.07050909  0.3         0.         -1.        ],[ 0.13718915 -0.23908457],True,[0.06691724 0.04814369],False
8,[-0.07050909  0.3         0.         -1.        ],[ 0.13678499 -0.23545772],True,[0.06691724 0.04814369],False
9,[-0.07050909  0.3         0.         -1.        ],[ 0.13627406 -0.23174243],True,[0.06691724 0.04814369],False
10,[-0.07050909  0.3         0.         -1.        ],[ 0.13566119 -0.22796331],True,[0.06691724 0.04814369],False
11,[-0.07050909  0.3         0.         -1.        ],[ 0.13495602 -0.22413922],True,[0.06691724 0.04814369],False
12,[-0.07050909  0.3         0.         -1.        ],[ 0.13417101 -0.2202844 ],True,[0.06691724 0.04814369],False
13,[-0.07050909  0.3         0.         -1.        ],[ 0.1333199  -0.21640946],True,[0.06691724 0.04814369],False
14,[-0.07050909  0.3         0.         -1.        ],[ 0.13241648 -0.21252223],True,[0.06691724 0.04814369],False
15,[-0.07050909  0.3         0.         -1.        ],[ 0.13147379 -0.20862841],True,[0.06691724 0.04814369],False
16,[-0.07050909  0.3         0.         -1.        ],[ 0.13050356 -0.20473209],True,[0.06691724 0.04814369],False
17,[-0.07050909  0.3         0.         -1.        ],[ 0.12951591 -0.20083612],True,[0.06691724 0.04814369],False
18,[-0.07050909  0.3         0.         -1.        ],[ 0.1285192  -0.19694245],True,[0.06691724 0.04814369],False
19,[-0.07050909  0.3         0.         -1.        ],[ 0.12752007 -0.19305229],True,[0.06691724 0.04814369],False
20,[-0.07050909  0.3         0.         -1.        ],[ 0.12652355 -0.18916634],True,[0.06691724 0.04814369],False
21,[-0.07050909  0.3         0.         -1.        ],[ 0.1255332  -0.18528488],True,[0.06691724 0.04814369],False
22,[-0.07050909  0.3         0.         -1.        ],[ 0.12455133 -0.1814079 ],True,[0.06691724 0.04814369],False
23,[-0.07050909  0.3         0.         -1.        ],[ 0.12357922 -0.17753519],True,[0.06691724 0.04814369],False
24,[-0.07050909  0.3         0.         -1.        ],[ 0.12261733 -0.17366637],True,[0.06691724 0.04814369],False
25,[-0.07050909  0.3         0.         -1.        ],[ 0.1216655  -0.16980099],True,[0.06691724 0.04814369],False
26,[-0.07050909  0.3         0.         -1.        ],[ 0.12072312 -0.16593856],True,[0.06691724 0.04814369],False
27,[-0.07050909  0.3         0.         -1.        ],[ 0.11978932 -0.16207856],True,[0.06691724 0.04814369],False
28,[-0.07050909  0.3         0.         -1.        ],[ 0.11886305 -0.1582205 ],True,[0.06691724 0.04814369],False
29,[-0.07050909  0.3         0.         -1.        ],[ 0.1179432  -0.15436391],True,[0.06691724 0.04814369],False
30,[-0.07050909  0.3         0.         -1.        ],[ 0.11702869 -0.15050838],True,[0.06691724 0.04814369],False
31,[-0.07050909  0.3         0.         -1.        ],[ 0.11611851 -0.14665353],True,[0.06691724 0.04814369],False
32,[-0.07050909  0.3         0.         -1.        ],[ 0.11521175 -0.14279907],True,[0.06691724 0.04814369],False
33,[-0.07050909  0.3         0.         -1.        ],[ 0.11430762 -0.13894473],True,[0.06691724 0.04814369],False
34,[-0.07050909  0.3         0.         -1.        ],[ 0.11340549 -0.1350903 ],True,[0.06691724 0.04814369],False
35,[-0.07050909  0.3         0.         -1.        ],[ 0.11250482 -0.13123563],True,[0.06691724 0.04814369],False
36,[-0.07050909  0.3         0.         -1.        ],[ 0.11160522 -0.12738059],True,[0.06691724 0.04814369],False
37,[-0.07050909  0.3         0.         -1.        ],[ 0.11070639 -0.1235251 ],True,[0.06691724 0.04814369],False
38,[-0.07050909  0.3         0.         -1.        ],[ 0.10980814 -0.11966909],True,[0.06691724 0.04814369],False
39,[-0.07050909  0.3         0.         -1.        ],[ 0.10891034 -0.11581254],True,[0.06691724 0.04814369],False
40,[-0.07050909  0.3         0.         -1.        ],[ 0.10801292 -0.11195541],True,[0.06691724 0.04814369],False
41,[-0.07050909  0.3         0.         -1.        ],[ 0.10711587 -0.10809769],True,[0.06691724 0.04814369],False
42,[-0.07050909  0.3         0.         -1.        ],[ 0.10621921 -0.10423938],True,[0.06691724 0.04814369],False
43,[-0.07050909  0.3         0.         -1.        ],[ 0.10532298 -0.10038048],True,[0.06691724 0.04814369],False
44,[-0.07050909  0.3         0.         -1.        ],[ 0.10442723 -0.096521  ],True,[0.06691724 0.04814369],False
45,[-0.07050909  0.3         0.         -1.        ],[ 0.10353201 -0.09266093],True,[0.06691724 0.04814369],False
46,[-0.07050909  0.3         0.         -1.        ],[ 0.10263739 -0.08880027],True,[0.06691724 0.04814369],False
47,[-0.07050909  0.3         0.         -1.        ],[ 0.10174342 -0.08493904],True,[0.06691724 0.04814369],False
48,[-0.07050909  0.3         0.         -1.        ],[ 0.10085014 -0.08107722],True,[0.06691724 0.04814369],False
49,[-0.07050909  0.3         0.         -1.        ],[ 0.09995761 -0.07721481],True,[0.06691724 0.04814369],False
50,[-0.07050909  0.3         0.         -1.        ],[ 0.09906585 -0.07335181],True,[0.06691724 0.04814369],False
51,[-0.07050909  0.3         0.         -1.        ],[ 0.09817488 -0.06948821],True,[0.06691724 0.04814369],False
52,[-0.07050909  0.3         0.         -1.        ],[ 0.09728472 -0.065624  ],True,[0.06691724 0.04814369],False
53,[-0.07050909  0.3         0.         -1.        ],[ 0.0963954  -0.06175918],True,[0.06691724 0.04814369],False
54,[-0.07050909  0.3         0.         -1.        ],[ 0.09550689 -0.05789373],True,[0.06691724 0.04814369],False
55,[-0.07050909  0.3         0.         -1.        ],[ 0.09461922 -0.05402764],True,[0.06691724 0.04814369],False
56,[-0.07050909  0.3         0.         -1.        ],[ 0.09373237 -0.0501609 ],True,[0.06691724 0.04814369],False
57,[-0.07050909  0.3         0.         -1.        ],[ 0.09284634 -0.04629351],True,[0.06691724 0.04814369],False
58,[-0.07050909  0.3         0.         -1.        ],[ 0.09196112 -0.04242545],True,[0.06691724 0.04814369],False
59,[-0.07050909  0.3         0.         -1.        ],[ 0.0910767  -0.03855671],True,[0.06691724 0.04814369],False
60,[-0.07050909  0.3         0.         -1.        ],[ 0.09019307 -0.03468728],True,[0.06691724 0.04814369],False
61,[-0.07050909  0.3         0.         -1.        ],[ 0.08931022 -0.03081716],True,[0.06691724 0.04814369],False
62,[-0.07050909  0.3         0.         -1.        ],[ 0.08842813 -0.02694633],True,[0.06691724 0.04814369],False
63,[-0.07050909  0.3         0.         -1.        ],[ 0.0875468  -0.02307479],True,[0.06691724 0.04814369],False
64,[-0.07050909  0.3         0.         -1.        ],[ 0.08666622 -0.01920253],True,[0.06691724 0.04814369],False
65,[-0.07050909  0.3         0.         -1.        ],[ 0.08578638 -0.01532953],True,[0.06691724 0.04814369],False
66,[-0.07050909  0.3         0.         -1.        ],[ 0.08490726 -0.01145581],True,[0.06691724 0.04814369],False
67,[-0.07050909  0.3         0.         -1.        ],[ 0.08402887 -0.00758134],True,[0.06691724 0.04814369],False
