step,action,eef_pos,good,target_pos
472,[ 0.06102114 -0.3         0.         -1.        ],[-0.0865454   0.25597918],True,[-0.02260527 -0.06403894]
473,[ 0.06102114 -0.3         0.         -1.        ],[-0.08561932  0.25437883],True,[-0.02260527 -0.06403894]
474,[ 0.06102114 -0.3         0.         -1.        ],[-0.08466187  0.25218203],True,[-0.02260527 -0.06403894]
475,[ 0.06102114 -0.3         0.         -1.        ],[-0.08366724  0.2495531 ],True,[-0.02260527 -0.06403894]
476,[ 0.06102114 -0.3         0.         -1.        ],[-0.08266793  0.24655312],True,[-0.02260527 -0.06403894]
477,[ 0.06102114 -0.3         0.         -1.        ],[-0.08167043  0.24326393],True,[-0.02260527 -0.06403894]
478,[ 0.06102114 -0.3         0.         -1.        ],[-0.08069082  0.23975014],True,[-0.02260527 -0.06403894]
479,[ 0.06102114 -0.3         0.         -1.        ],[-0.07974027  0.2360695 ],True,[-0.02260527 -0.06403894]
480,[ 0.06102114 -0.3         0.         -1.        ],[-0.07882361  0.23227139],True,[-0.02260527 -0.06403894]
481,[ 0.06102114 -0.3         0.         -1.        ],[-0.07794075  0.22839577],True,[-0.02260527 -0.06403894]
482,[ 0.06102114 -0.3         0.         -1.        ],[-0.07708832  0.22447331],True,[-0.02260527 -0.06403894]
483,[ 0.06102114 -0.3         0.         -1.        ],[-0.07626112  0.22052644],True,[-0.02260527 -0.06403894]
484,[ 0.06102114 -0.3         0.         -1.        ],[-0.07545326  0.21657064],True,[-0.02260527 -0.06403894]
485,[ 0.06102114 -0.3         0.         -1.        ],[-0.07465891  0.21261589],True,[-0.02260527 -0.06403894]
486,[ 0.06102114 -0.3         0.         -1.        ],[-0.0738728   0.20866797],True,[-0.02260527 -0.06403894]
487,[ 0.06102114 -0.3         0.         -1.        ],[-0.07309052  0.20472964],True,[-0.02260527 -0.06403894]
488,[ 0.06102114 -0.3         0.         -1.        ],[-0.07230861  0.20080163],True,[-0.02260527 -0.06403894]
489,[ 0.06102114 -0.3         0.         -1.        ],[-0.07152451  0.19688335],True,[-0.02260527 -0.06403894]
490,[ 0.06102114 -0.3         0.         -1.        ],[-0.07073653  0.19297355],True,[-0.02260527 -0.06403894]
491,[ 0.06102114 -0.3         0.         -1.        ],[-0.06994367  0.18907064],True,[-0.02260527 -0.06403894]
492,[ 0.06102114 -0.3         0.         -1.        ],[-0.06914553  0.18517301],True,[-0.02260527 -0.06403894]
493,[ 0.06102114 -0.3         0.         -1.        ],[-0.0683421   0.18127916],True,[-0.02260527 -0.06403894]
494,[ 0.06102114 -0.3         0.         -1.        ],[-0.06753368  0.17738782],True,[-0.02260527 -0.06403894]
495,[ 0.06102114 -0.3         0.         -1.        ],[-0.06672074  0.17349795],True,[-0.02260527 -0.06403894]
496,[ 0.06102114 -0.3         0.         -1.        ],[-0.06590385  0.16960875],True,[-0.02260527 -0.06403894]
497,[ 0.06102114 -0.3         0.         -1.        ],[-0.06508359  0.16571963],True,[-0.02260527 -0.06403894]
498,[ 0.06102114 -0.3         0.         -1.        ],[-0.06426053  0.16183016],True,[-0.02260527 -0.06403894]
499,[ 0.06102114 -0.3         0.         -1.        ],[-0.06343517  0.15794008],True,[-0.02260527 -0.06403894]
