step,action,eef_pos,obj_pos,eef_abstract_state,obj_abstract_state,grid_half_size
0,"[ 0.19799833  0.10687218  0.          0.          0.          0.
 -1.        ]",[-0.11082596  0.01685531  1.00521582 -1.        ],[0.16666675 0.16666675 0.91774314],2,9,[0.25 0.25 0.05]
1,"[ 0.19798905  0.10688936  0.          0.          0.          0.
 -1.        ]",[-0.10893817  0.01777987  1.00493027 -1.        ],[0.1666667  0.1666667  0.92138454],2,9,[0.25 0.25 0.05]
2,"[ 0.19796064  0.10694197  0.          0.          0.          0.
 -1.        ]",[-0.10686329  0.01878849  1.00461154 -1.        ],[0.16666667 0.16666667 0.92317683],2,9,[0.25 0.25 0.05]
3,"[ 0.19792666  0.10700485  0.          0.          0.          0.
 -1.        ]",[-0.1047052   0.01986148  1.00431388 -1.        ],[0.16666666 0.16666666 0.92403935],2,9,[0.25 0.25 0.05]
4,"[ 0.19789805  0.10705775  0.          0.          0.          0.
 -1.        ]",[-0.10248202  0.02099546  1.00405302 -1.        ],[0.16666665 0.16666665 0.9244291 ],2,9,[0.25 0.25 0.05]
5,"[ 0.19787691  0.10709682  0.          0.          0.          0.
 -1.        ]",[-0.10019874  0.02218518  1.00383157 -1.        ],[0.16666664 0.16666664 0.92461059],2,9,[0.25 0.25 0.05]
6,"[ 0.19786261  0.10712323  0.          0.          0.          0.
 -1.        ]",[-0.09786089  0.02342232  1.0036471  -1.        ],[0.16666664 0.16666664 0.92469846],2,9,[0.25 0.25 0.05]
7,"[ 0.19785366  0.10713976  0.          0.          0.          0.
 -1.        ]",[-0.09547549  0.0246972   1.00349508 -1.        ],[0.16666663 0.16666663 0.92474172],2,9,[0.25 0.25 0.05]
8,"[ 0.19784834  0.10714959  0.          0.          0.          0.
 -1.        ]",[-0.09305037  0.02600026  1.00337019 -1.        ],[0.16666662 0.16666662 0.92476317],2,9,[0.25 0.25 0.05]
9,"[ 0.19784505  0.10715567  0.          0.          0.          0.
 -1.        ]",[-0.09059336  0.0273229   1.00326704 -1.        ],[0.16666661 0.16666661 0.92477385],2,9,[0.25 0.25 0.05]
