step,action,eef_pos,obj_pos,eef_abstract_state,obj_abstract_state,grid_half_size
0,"[ 0.22449775  0.01502525  0.          0.          0.          0.
 -1.        ]",[-0.10907864 -0.0073155   1.00172322 -1.        ],[1.37666250e-07 1.37666250e-07 9.17743151e-01],2,5,[0.25 0.25 0.05]
1,"[ 0.22449569  0.01505609  0.          0.          0.          0.
 -1.        ]",[-0.10694247 -0.00721369  1.00139377 -1.        ],[5.47734617e-08 5.47734617e-08 9.21384545e-01],2,5,[0.25 0.25 0.05]
2,"[ 0.22448986  0.01514272  0.          0.          0.          0.
 -1.        ]",[-0.10460307 -0.00712406  1.00102109 -1.        ],[9.67339441e-09 9.67339441e-09 9.23176832e-01],2,5,[0.25 0.25 0.05]
3,"[ 0.22447999  0.01528834  0.          0.          0.          0.
 -1.        ]",[-0.10217371 -0.00704597  1.00066955 -1.        ],[-1.45391982e-08 -1.45391982e-08  9.24039352e-01],2,5,[0.25 0.25 0.05]
4,"[ 0.2244669   0.01547939  0.          0.          0.          0.
 -1.        ]",[-0.09967223 -0.00697189  1.00035836 -1.        ],[-2.61218553e-08 -2.61218553e-08  9.24429096e-01],2,5,[0.25 0.25 0.05]
5,"[ 0.22445158  0.01569998  0.          0.          0.          0.
 -1.        ]",[-0.09710278 -0.00688944  1.00009135 -1.        ],[-3.38018314e-08 -3.38018314e-08  9.24610590e-01],2,5,[0.25 0.25 0.05]
6,"[ 0.22443582  0.01592371  0.          0.          0.          0.
 -1.        ]",[-0.09447072 -0.00679974  0.99986647 -1.        ],[-4.12550130e-08 -4.12550130e-08  9.24698458e-01],2,5,[0.25 0.25 0.05]
7,"[ 0.22441942  0.01615308  0.          0.          0.          0.
 -1.        ]",[-0.09178326 -0.00670431  0.99967932 -1.        ],[-4.86289715e-08 -4.86289715e-08  9.24741717e-01],2,5,[0.25 0.25 0.05]
8,"[ 0.22440214  0.01639147  0.          0.          0.          0.
 -1.        ]",[-0.08904876 -0.0066034   0.99952439 -1.        ],[-5.59660604e-08 -5.59660604e-08  9.24763174e-01],2,5,[0.25 0.25 0.05]
9,"[ 0.22438391  0.01663915  0.          0.          0.          0.
 -1.        ]",[-0.08627587 -0.00649687  0.99939584 -1.        ],[-6.32853751e-08 -6.32853751e-08  9.24773855e-01],2,5,[0.25 0.25 0.05]
10,"[ 0.22436476  0.01689543  0.          0.          0.          0.
 -1.        ]",[-0.08347291 -0.00638465  0.999288   -1.        ],[-7.05959708e-08 -7.05959708e-08  9.24779181e-01],2,5,[0.25 0.25 0.05]
11,"[ 0.22434471  0.01715962  0.          0.          0.          0.
 -1.        ]",[-0.08064745 -0.00626687  0.99919571 -1.        ],[-7.79022508e-08 -7.79022508e-08  9.24781838e-01],5,5,[0.25 0.25 0.05]
12,"[ 0.22432374  0.01743153  0.          0.          0.          0.
 -1.        ]",[-0.07780607 -0.00614383  0.99911446 -1.        ],[-8.52063851e-08 -8.52063851e-08  9.24783165e-01],5,5,[0.25 0.25 0.05]
13,"[ 0.2243018   0.01771162  0.          0.          0.          0.
 -1.        ]",[-0.07495424 -0.00601596  0.99904046 -1.        ],[-9.25094502e-08 -9.25094502e-08  9.24783828e-01],5,5,[0.25 0.25 0.05]
14,"[ 0.22427876  0.01800102  0.          0.          0.          0.
 -1.        ]",[-0.07209637 -0.00588371  0.99897068 -1.        ],[-9.98119817e-08 -9.98119817e-08  9.24784159e-01],5,5,[0.25 0.25 0.05]
15,"[ 0.22425447  0.01830117  0.          0.          0.          0.
 -1.        ]",[-0.06923582 -0.00574737  0.9989028  -1.        ],[-1.07114247e-07 -1.07114247e-07  9.24784324e-01],5,5,[0.25 0.25 0.05]
16,"[ 0.22422875  0.01861358  0.          0.          0.          0.
 -1.        ]",[-0.06637509 -0.00560729  0.99883508 -1.        ],[-1.14416379e-07 -1.14416379e-07  9.24784407e-01],5,5,[0.25 0.25 0.05]
17,"[ 0.2242014   0.01894026  0.          0.          0.          0.
 -1.        ]",[-0.0635159  -0.00546371  0.99876634 -1.        ],[-1.21718445e-07 -1.21718445e-07  9.24784448e-01],5,5,[0.25 0.25 0.05]
18,"[ 0.22417213  0.01928353  0.          0.          0.          0.
 -1.        ]",[-0.06065934 -0.00531678  0.99869582 -1.        ],[-1.29020478e-07 -1.29020478e-07  9.24784469e-01],5,5,[0.25 0.25 0.05]
19,"[ 0.22414067  0.01964589  0.          0.          0.          0.
 -1.        ]",[-0.057806   -0.00516649  0.99862312 -1.        ],[-1.36322494e-07 -1.36322494e-07  9.24784479e-01],5,5,[0.25 0.25 0.05]
20,"[ 0.22410668  0.02002986  0.          0.          0.          0.
 -1.        ]",[-0.05495613 -0.00501268  0.99854809 -1.        ],[-1.43624502e-07 -1.43624502e-07  9.24784484e-01],5,5,[0.25 0.25 0.05]
21,"[ 0.22406983  0.02043794  0.          0.          0.          0.
 -1.        ]",[-0.05210971 -0.0048549   0.99847074 -1.        ],[-1.50926506e-07 -1.50926506e-07  9.24784487e-01],5,5,[0.25 0.25 0.05]
22,"[ 0.2240298   0.02087217  0.          0.          0.          0.
 -1.        ]",[-0.04926656 -0.00469287  0.99839123 -1.        ],[-1.58228508e-07 -1.58228508e-07  9.24784488e-01],5,5,[0.25 0.25 0.05]
23,"[ 0.22398613  0.02133573  0.          0.          0.          0.
 -1.        ]",[-0.04642639 -0.00452627  0.99830978 -1.        ],[-1.65530508e-07 -1.65530508e-07  9.24784489e-01],5,5,[0.25 0.25 0.05]
