step,action,eef_pos,obj_pos,eef_abstract_state,obj_abstract_state,grid_half_size
0,"[-0.0813204   0.20979036  0.          0.          0.          0.
 -1.        ]",[-0.1108244   0.02255971  1.0042359  -1.        ],[-0.16666663  0.16666683  0.91774315],2,3,[0.25 0.25 0.05]
1,"[-0.08129828  0.20979893  0.          0.          0.          0.
 -1.        ]",[-0.11159226  0.02432805  1.0043422  -1.        ],[-0.16666665  0.16666673  0.92138454],2,3,[0.25 0.25 0.05]
2,"[-0.08119238  0.20983993  0.          0.          0.          0.
 -1.        ]",[-0.11243411  0.0262404   1.00446452 -1.        ],[-0.16666666  0.16666668  0.92317683],2,3,[0.25 0.25 0.05]
3,"[-0.08105987  0.20989116  0.          0.          0.          0.
 -1.        ]",[-0.11329127  0.0282748   1.00459156 -1.        ],[-0.16666667  0.16666665  0.92403935],2,3,[0.25 0.25 0.05]
4,"[-0.08096551  0.20992757  0.          0.          0.          0.
 -1.        ]",[-0.11415729  0.0304319   1.00471642 -1.        ],[-0.16666667  0.16666664  0.9244291 ],2,3,[0.25 0.25 0.05]
5,"[-0.08091981  0.20994519  0.          0.          0.          0.
 -1.        ]",[-0.11503427  0.03270622  1.00483567 -1.        ],[-0.16666667  0.16666663  0.92461059],2,3,[0.25 0.25 0.05]
6,"[-0.08091929  0.20994539  0.          0.          0.          0.
 -1.        ]",[-0.11592428  0.03508499  1.00494765 -1.        ],[-0.16666668  0.16666662  0.92469846],2,3,[0.25 0.25 0.05]
7,"[-0.08095657  0.20993102  0.          0.          0.          0.
 -1.        ]",[-0.1168285   0.03755182  1.00505153 -1.        ],[-0.16666668  0.16666661  0.92474172],2,3,[0.25 0.25 0.05]
8,"[-0.08102319  0.20990532  0.          0.          0.          0.
 -1.        ]",[-0.1177472   0.04008992  1.00514705 -1.        ],[-0.16666668  0.1666666   0.92476317],2,3,[0.25 0.25 0.05]
9,"[-0.08111121  0.20987132  0.          0.          0.          0.
 -1.        ]",[-0.1186799   0.04268343  1.0052345  -1.        ],[-0.16666668  0.16666659  0.92477385],2,3,[0.25 0.25 0.05]
10,"[-0.08121374  0.20983167  0.          0.          0.          0.
 -1.        ]",[-0.11962553  0.04531819  1.00531451 -1.        ],[-0.16666668  0.16666658  0.92477918],2,3,[0.25 0.25 0.05]
11,"[-0.0813252   0.20978849  0.          0.          0.          0.
 -1.        ]",[-0.12058251  0.04798214  1.00538807 -1.        ],[-0.16666669  0.16666657  0.92478184],2,3,[0.25 0.25 0.05]
12,"[-0.0814415   0.20974337  0.          0.          0.          0.
 -1.        ]",[-0.12154901  0.05066547  1.00545633 -1.        ],[-0.16666669  0.16666656  0.92478317],2,3,[0.25 0.25 0.05]
13,"[-0.08155995  0.20969734  0.          0.          0.          0.
 -1.        ]",[-0.12252303  0.05336054  1.00552057 -1.        ],[-0.16666669  0.16666655  0.92478383],2,3,[0.25 0.25 0.05]
14,"[-0.0816792   0.20965092  0.          0.          0.          0.
 -1.        ]",[-0.1235026   0.05606174  1.0055821  -1.        ],[-0.16666669  0.16666654  0.92478416],2,3,[0.25 0.25 0.05]
