step,action,eef_pos,good,target_pos,in_target
0,[-0.07033837 -0.3         0.         -1.        ],[0.01116687 0.14903702],True,[-0.05329275 -0.12578788],False
1,[-0.07033837 -0.3         0.         -1.        ],[0.01007657 0.14569526],True,[-0.05329275 -0.12578788],False
2,[-0.07033837 -0.3         0.         -1.        ],[0.00894225 0.14205202],True,[-0.05329275 -0.12578788],False
3,[-0.07033837 -0.3         0.         -1.        ],[0.00777298 0.13813455],True,[-0.05329275 -0.12578788],False
4,[-0.07033837 -0.3         0.         -1.        ],[0.00658375 0.13405932],True,[-0.05329275 -0.12578788],False
5,[-0.07033837 -0.3         0.         -1.        ],[0.00539106 0.12991304],True,[-0.05329275 -0.12578788],False
6,[-0.07033837 -0.3         0.         -1.        ],[0.00420972 0.12575261],True,[-0.05329275 -0.12578788],False
7,[-0.07033837 -0.3         0.         -1.        ],[0.00305128 0.12161232],True,[-0.05329275 -0.12578788],False
8,[-0.07033837 -0.3         0.         -1.        ],[0.00192357 0.11751012],True,[-0.05329275 -0.12578788],False
9,[-0.07033837 -0.3         0.         -1.        ],[0.00083093 0.11345276],True,[-0.05329275 -0.12578788],False
10,[-0.07033837 -0.3         0.         -1.        ],[-0.00022537  0.10943973],True,[-0.05329275 -0.12578788],False
11,[-0.07033837 -0.3         0.         -1.        ],[-0.00124643  0.10546638],True,[-0.05329275 -0.12578788],False
12,[-0.07033837 -0.3         0.         -1.        ],[-0.0022351  0.101526 ],True,[-0.05329275 -0.12578788],False
13,[-0.07033837 -0.3         0.         -1.        ],[-0.00319537  0.0976114 ],True,[-0.05329275 -0.12578788],False
14,[-0.07033837 -0.3         0.         -1.        ],[-0.00413177  0.09371579],True,[-0.05329275 -0.12578788],False
15,[-0.07033837 -0.3         0.         -1.        ],[-0.00504894  0.08983328],True,[-0.05329275 -0.12578788],False
16,[-0.07033837 -0.3         0.         -1.        ],[-0.0059513   0.08595911],True,[-0.05329275 -0.12578788],False
17,[-0.07033837 -0.3         0.         -1.        ],[-0.00684282  0.08208963],True,[-0.05329275 -0.12578788],False
18,[-0.07033837 -0.3         0.         -1.        ],[-0.00772691  0.07822222],True,[-0.05329275 -0.12578788],False
19,[-0.07033837 -0.3         0.         -1.        ],[-0.00860635  0.07435505],True,[-0.05329275 -0.12578788],False
20,[-0.07033837 -0.3         0.         -1.        ],[-0.00948331  0.070487  ],True,[-0.05329275 -0.12578788],False
21,[-0.07033837 -0.3         0.         -1.        ],[-0.01035941  0.06661738],True,[-0.05329275 -0.12578788],False
22,[-0.07033837 -0.3         0.         -1.        ],[-0.01123575  0.06274588],True,[-0.05329275 -0.12578788],False
23,[-0.07033837 -0.3         0.         -1.        ],[-0.01211302  0.05887241],True,[-0.05329275 -0.12578788],False
24,[-0.07033837 -0.3         0.         -1.        ],[-0.01299158  0.05499699],True,[-0.05329275 -0.12578788],False
25,[-0.07033837 -0.3         0.         -1.        ],[-0.01387153  0.05111974],True,[-0.05329275 -0.12578788],False
26,[-0.07033837 -0.3         0.         -1.        ],[-0.0147528   0.04724078],True,[-0.05329275 -0.12578788],False
27,[-0.07033837 -0.3         0.         -1.        ],[-0.01563521  0.04336027],True,[-0.05329275 -0.12578788],False
28,[-0.07033837 -0.3         0.         -1.        ],[-0.01651851  0.03947831],True,[-0.05329275 -0.12578788],False
29,[-0.07033837 -0.3         0.         -1.        ],[-0.0174024   0.03559503],True,[-0.05329275 -0.12578788],False
30,[-0.07033837 -0.3         0.         -1.        ],[-0.01828661  0.0317105 ],True,[-0.05329275 -0.12578788],False
31,[-0.07033837 -0.3         0.         -1.        ],[-0.01917087  0.02782478],True,[-0.05329275 -0.12578788],False
32,[-0.07033837 -0.3         0.         -1.        ],[-0.02005496  0.02393793],True,[-0.05329275 -0.12578788],False
33,[-0.07033837 -0.3         0.         -1.        ],[-0.02093867  0.02004996],True,[-0.05329275 -0.12578788],False
34,[-0.07033837 -0.3         0.         -1.        ],[-0.02182186  0.01616092],True,[-0.05329275 -0.12578788],False
35,[-0.07033837 -0.3         0.         -1.        ],[-0.0227044  0.0122708],True,[-0.05329275 -0.12578788],False
36,[-0.07033837 -0.3         0.         -1.        ],[-0.02358622  0.00837962],True,[-0.05329275 -0.12578788],False
37,[-0.07033837 -0.3         0.         -1.        ],[-0.02446724  0.00448738],True,[-0.05329275 -0.12578788],False
38,[-0.07033837 -0.3         0.         -1.        ],[-0.02534745  0.00059408],True,[-0.05329275 -0.12578788],False
39,[-0.07033837 -0.3         0.         -1.        ],[-0.02622681 -0.00330027],True,[-0.05329275 -0.12578788],False
40,[-0.07033837 -0.3         0.         -1.        ],[-0.02710535 -0.00719567],True,[-0.05329275 -0.12578788],False
41,[-0.07033837 -0.3         0.         -1.        ],[-0.02798305 -0.01109212],True,[-0.05329275 -0.12578788],False
42,[-0.07033837 -0.3         0.         -1.        ],[-0.02885993 -0.01498962],True,[-0.05329275 -0.12578788],False
43,[-0.07033837 -0.3         0.         -1.        ],[-0.02973602 -0.01888816],True,[-0.05329275 -0.12578788],False
44,[-0.07033837 -0.3         0.         -1.        ],[-0.03061134 -0.02278774],True,[-0.05329275 -0.12578788],False
45,[ 0.03085905  0.3         0.         -1.        ],[-0.03093161 -0.02335116],False,[-0.05329275 -0.12578788],False
