step,action,eef_pos,good,target_pos,in_target
0,[-0.11528299 -0.3         0.         -1.        ],[ 0.13208963 -0.09053339],False,[0.11254144 0.16977066],False
1,[-0.11528299 -0.3         0.         -1.        ],[ 0.13573904 -0.09327257],False,[0.11254144 0.16977066],False
2,[-0.11528299 -0.3         0.         -1.        ],[ 0.1385941  -0.09644849],False,[0.11254144 0.16977066],False
3,[-0.11528299 -0.3         0.         -1.        ],[ 0.14081667 -0.09995337],False,[0.11254144 0.16977066],False
4,[-0.11528299 -0.3         0.         -1.        ],[ 0.14243265 -0.10369693],False,[0.11254144 0.16977066],False
5,[-0.11528299 -0.3         0.         -1.        ],[ 0.14346625 -0.10760339],False,[0.11254144 0.16977066],False
6,[-0.11528299 -0.3         0.         -1.        ],[ 0.14394768 -0.11160684],False,[0.11254144 0.16977066],False
7,[-0.11528299 -0.3         0.         -1.        ],[ 0.1439501  -0.11565699],False,[0.11254144 0.16977066],False
8,[-0.11528299 -0.3         0.         -1.        ],[ 0.14356291 -0.11972103],False,[0.11254144 0.16977066],False
9,[-0.11528299 -0.3         0.         -1.        ],[ 0.14283892 -0.12377201],False,[0.11254144 0.16977066],False
10,[-0.11528299 -0.3         0.         -1.        ],[ 0.14183844 -0.12779464],False,[0.11254144 0.16977066],False
11,[-0.11528299 -0.3         0.         -1.        ],[ 0.14061862 -0.13178203],False,[0.11254144 0.16977066],False
12,[-0.11528299 -0.3         0.         -1.        ],[ 0.13923117 -0.13573333],False,[0.11254144 0.16977066],False
13,[-0.11528299 -0.3         0.         -1.        ],[ 0.13772138 -0.1396516 ],False,[0.11254144 0.16977066],False
14,[-0.11528299 -0.3         0.         -1.        ],[ 0.13612776 -0.14354213],False,[0.11254144 0.16977066],False
15,[-0.11528299 -0.3         0.         -1.        ],[ 0.13448208 -0.14741119],False,[0.11254144 0.16977066],False
16,[-0.11528299 -0.3         0.         -1.        ],[ 0.13280971 -0.15126516],False,[0.11254144 0.16977066],False
17,[-0.11528299 -0.3         0.         -1.        ],[ 0.13113013 -0.15510991],False,[0.11254144 0.16977066],False
18,[-0.11528299 -0.3         0.         -1.        ],[ 0.12945764 -0.15895047],False,[0.11254144 0.16977066],False
19,[-0.11528299 -0.3         0.         -1.        ],[ 0.12780208 -0.16279091],False,[0.11254144 0.16977066],False
20,[-0.11528299 -0.3         0.         -1.        ],[ 0.1261696  -0.16663427],False,[0.11254144 0.16977066],False
21,[-0.11528299 -0.3         0.         -1.        ],[ 0.12456336 -0.17048267],False,[0.11254144 0.16977066],False
22,[-0.11528299 -0.3         0.         -1.        ],[ 0.12298426 -0.17433741],False,[0.11254144 0.16977066],False
23,[-0.11528299 -0.3         0.         -1.        ],[ 0.12143149 -0.17819912],False,[0.11254144 0.16977066],False
24,[-0.11528299 -0.3         0.         -1.        ],[ 0.11990312 -0.18206789],False,[0.11254144 0.16977066],False
25,[-0.11528299 -0.3         0.         -1.        ],[ 0.11839844 -0.18594434],False,[0.11254144 0.16977066],False
26,[-0.11528299 -0.3         0.         -1.        ],[ 0.11691259 -0.18982734],False,[0.11254144 0.16977066],False
27,[-0.11528299 -0.3         0.         -1.        ],[ 0.11543324 -0.19371224],False,[0.11254144 0.16977066],False
28,[-0.11528299 -0.3         0.         -1.        ],[ 0.11395531 -0.19759741],False,[0.11254144 0.16977066],False
29,[-0.11528299 -0.3         0.         -1.        ],[ 0.11247643 -0.20148218],False,[0.11254144 0.16977066],False
30,[-0.11528299 -0.3         0.         -1.        ],[ 0.11099458 -0.20536576],False,[0.11254144 0.16977066],False
31,[-0.11528299 -0.3         0.         -1.        ],[ 0.10950416 -0.20924593],False,[0.11254144 0.16977066],False
32,[-0.11528299 -0.3         0.         -1.        ],[ 0.10800387 -0.21312264],False,[0.11254144 0.16977066],False
33,[-0.11528299 -0.3         0.         -1.        ],[ 0.10649577 -0.21699624],False,[0.11254144 0.16977066],False
34,[-0.11528299 -0.3         0.         -1.        ],[ 0.10498066 -0.22086674],False,[0.11254144 0.16977066],False
35,[-0.11528299 -0.3         0.         -1.        ],[ 0.1034583  -0.22473382],False,[0.11254144 0.16977066],False
36,[-0.11528299 -0.3         0.         -1.        ],[ 0.10192845 -0.22859725],False,[0.11254144 0.16977066],False
37,[-0.11528299 -0.3         0.         -1.        ],[ 0.10039096 -0.23245682],False,[0.11254144 0.16977066],False
38,[-0.11528299 -0.3         0.         -1.        ],[ 0.09884182 -0.23631142],False,[0.11254144 0.16977066],False
39,[-0.11528299 -0.3         0.         -1.        ],[ 0.09726719 -0.24015678],False,[0.11254144 0.16977066],False
40,[-0.11528299 -0.3         0.         -1.        ],[ 0.09567054 -0.24399302],False,[0.11254144 0.16977066],False
41,[-0.11528299 -0.3         0.         -1.        ],[ 0.09405506 -0.24782029],False,[0.11254144 0.16977066],False
42,[-0.11528299 -0.3         0.         -1.        ],[ 0.09242735 -0.25164105],False,[0.11254144 0.16977066],False
43,[-0.11528299 -0.3         0.         -1.        ],[ 0.09079034 -0.25545643],False,[0.11254144 0.16977066],False
44,[ 0.01534552  0.3         0.         -1.        ],[ 0.08993658 -0.25606589],True,[0.11254144 0.16977066],False
45,[ 0.01534552  0.3         0.         -1.        ],[ 0.08979835 -0.25427126],True,[0.11254144 0.16977066],False
46,[ 0.01534552  0.3         0.         -1.        ],[ 0.0898975  -0.25186108],True,[0.11254144 0.16977066],False
47,[ 0.01534552  0.3         0.         -1.        ],[ 0.09012142 -0.24904713],True,[0.11254144 0.16977066],False
48,[ 0.01534552  0.3         0.         -1.        ],[ 0.09043728 -0.24591984],True,[0.11254144 0.16977066],False
49,[ 0.01534552  0.3         0.         -1.        ],[ 0.09081105 -0.24254824],True,[0.11254144 0.16977066],False
50,[ 0.01534552  0.3         0.         -1.        ],[ 0.09120915 -0.23899142],True,[0.11254144 0.16977066],False
51,[ 0.01534552  0.3         0.         -1.        ],[ 0.09160675 -0.23530074],True,[0.11254144 0.16977066],False
52,[ 0.01534552  0.3         0.         -1.        ],[ 0.09198768 -0.23151818],True,[0.11254144 0.16977066],False
53,[ 0.01534552  0.3         0.         -1.        ],[ 0.09234289 -0.22767622],True,[0.11254144 0.16977066],False
54,[ 0.01534552  0.3         0.         -1.        ],[ 0.09266885 -0.22379882],True,[0.11254144 0.16977066],False
55,[ 0.01534552  0.3         0.         -1.        ],[ 0.09296592 -0.2199028 ],True,[0.11254144 0.16977066],False
56,[ 0.01534552  0.3         0.         -1.        ],[ 0.09323691 -0.21599939],True,[0.11254144 0.16977066],False
57,[ 0.01534552  0.3         0.         -1.        ],[ 0.09348601 -0.21209558],True,[0.11254144 0.16977066],False
58,[ 0.01534552  0.3         0.         -1.        ],[ 0.09371791 -0.20819534],True,[0.11254144 0.16977066],False
59,[ 0.01534552  0.3         0.         -1.        ],[ 0.09393725 -0.20430056],True,[0.11254144 0.16977066],False
60,[ 0.01534552  0.3         0.         -1.        ],[ 0.09414825 -0.20041181],True,[0.11254144 0.16977066],False
61,[ 0.01534552  0.3         0.         -1.        ],[ 0.0943545  -0.19652885],True,[0.11254144 0.16977066],False
62,[ 0.01534552  0.3         0.         -1.        ],[ 0.09455892 -0.19265101],True,[0.11254144 0.16977066],False
63,[ 0.01534552  0.3         0.         -1.        ],[ 0.09476371 -0.18877746],True,[0.11254144 0.16977066],False
64,[ 0.01534552  0.3         0.         -1.        ],[ 0.09497045 -0.18490734],True,[0.11254144 0.16977066],False
65,[ 0.01534552  0.3         0.         -1.        ],[ 0.09518016 -0.18103985],True,[0.11254144 0.16977066],False
66,[ 0.01534552  0.3         0.         -1.        ],[ 0.09539342 -0.17717431],True,[0.11254144 0.16977066],False
67,[ 0.01534552  0.3         0.         -1.        ],[ 0.09561047 -0.17331014],True,[0.11254144 0.16977066],False
68,[ 0.01534552  0.3         0.         -1.        ],[ 0.09583128 -0.16944686],True,[0.11254144 0.16977066],False
69,[ 0.01534552  0.3         0.         -1.        ],[ 0.09605566 -0.16558413],True,[0.11254144 0.16977066],False
70,[ 0.01534552  0.3         0.         -1.        ],[ 0.09628328 -0.16172165],True,[0.11254144 0.16977066],False
71,[ 0.01534552  0.3         0.         -1.        ],[ 0.09651379 -0.1578592 ],True,[0.11254144 0.16977066],False
72,[ 0.01534552  0.3         0.         -1.        ],[ 0.09674681 -0.15399663],True,[0.11254144 0.16977066],False
73,[ 0.01534552  0.3         0.         -1.        ],[ 0.09698196 -0.15013381],True,[0.11254144 0.16977066],False
74,[ 0.01534552  0.3         0.         -1.        ],[ 0.09721892 -0.14627064],True,[0.11254144 0.16977066],False
75,[ 0.01534552  0.3         0.         -1.        ],[ 0.09745738 -0.14240706],True,[0.11254144 0.16977066],False
76,[ 0.01534552  0.3         0.         -1.        ],[ 0.0976971  -0.13854302],True,[0.11254144 0.16977066],False
77,[ 0.01534552  0.3         0.         -1.        ],[ 0.09793788 -0.13467848],True,[0.11254144 0.16977066],False
78,[ 0.01534552  0.3         0.         -1.        ],[ 0.09817956 -0.1308134 ],True,[0.11254144 0.16977066],False
79,[ 0.01534552  0.3         0.         -1.        ],[ 0.09842202 -0.12694778],True,[0.11254144 0.16977066],False
80,[ 0.01534552  0.3         0.         -1.        ],[ 0.09866519 -0.12308159],True,[0.11254144 0.16977066],False
81,[-0.13200558 -0.3         0.         -1.        ],[ 0.09811196 -0.12248359],False,[0.11254144 0.16977066],False
82,[-0.13200558 -0.3         0.         -1.        ],[ 0.09694466 -0.12443662],False,[0.11254144 0.16977066],False
83,[-0.13200558 -0.3         0.         -1.        ],[ 0.0956229  -0.12705979],False,[0.11254144 0.16977066],False
84,[-0.13200558 -0.3         0.         -1.        ],[ 0.09420621 -0.1300918 ],False,[0.11254144 0.16977066],False
85,[-0.13200558 -0.3         0.         -1.        ],[ 0.09271339 -0.13343153],False,[0.11254144 0.16977066],False
86,[-0.13200558 -0.3         0.         -1.        ],[ 0.09115886 -0.13700066],False,[0.11254144 0.16977066],False
87,[-0.13200558 -0.3         0.         -1.        ],[ 0.08955636 -0.14073176],False,[0.11254144 0.16977066],False
88,[-0.13200558 -0.3         0.         -1.        ],[ 0.08791847 -0.14456995],False,[0.11254144 0.16977066],False
89,[-0.13200558 -0.3         0.         -1.        ],[ 0.08625602 -0.14847324],False,[0.11254144 0.16977066],False
90,[-0.13200558 -0.3         0.         -1.        ],[ 0.08457784 -0.15241141],False,[0.11254144 0.16977066],False
91,[-0.13200558 -0.3         0.         -1.        ],[ 0.08289071 -0.15636404],False,[0.11254144 0.16977066],False
92,[-0.13200558 -0.3         0.         -1.        ],[ 0.08119955 -0.16031834],False,[0.11254144 0.16977066],False
93,[-0.13200558 -0.3         0.         -1.        ],[ 0.07950775 -0.16426711],False,[0.11254144 0.16977066],False
94,[-0.13200558 -0.3         0.         -1.        ],[ 0.07781743 -0.16820709],False,[0.11254144 0.16977066],False
95,[-0.13200558 -0.3         0.         -1.        ],[ 0.07612977 -0.1721375 ],False,[0.11254144 0.16977066],False
96,[-0.13200558 -0.3         0.         -1.        ],[ 0.07444531 -0.17605906],False,[0.11254144 0.16977066],False
97,[-0.13200558 -0.3         0.         -1.        ],[ 0.0727641  -0.17997322],False,[0.11254144 0.16977066],False
98,[-0.13200558 -0.3         0.         -1.        ],[ 0.07108597 -0.18388171],False,[0.11254144 0.16977066],False
99,[-0.13200558 -0.3         0.         -1.        ],[ 0.06941058 -0.18778619],False,[0.11254144 0.16977066],False
100,[-0.13200558 -0.3         0.         -1.        ],[ 0.06773753 -0.19168813],False,[0.11254144 0.16977066],False
101,[-0.13200558 -0.3         0.         -1.        ],[ 0.06606644 -0.19558873],False,[0.11254144 0.16977066],False
102,[-0.13200558 -0.3         0.         -1.        ],[ 0.06439701 -0.19948894],False,[0.11254144 0.16977066],False
103,[-0.13200558 -0.3         0.         -1.        ],[ 0.06273024 -0.20339018],False,[0.11254144 0.16977066],False
104,[-0.13200558 -0.3         0.         -1.        ],[ 0.0610626  -0.20729126],False,[0.11254144 0.16977066],False
105,[-0.13200558 -0.3         0.         -1.        ],[ 0.05939065 -0.21119082],False,[0.11254144 0.16977066],False
106,[-0.13200558 -0.3         0.         -1.        ],[ 0.0577097  -0.21508635],False,[0.11254144 0.16977066],False
107,[-0.13200558 -0.3         0.         -1.        ],[ 0.05601596 -0.21897707],False,[0.11254144 0.16977066],False
108,[-0.13200558 -0.3         0.         -1.        ],[ 0.05431166 -0.22286343],False,[0.11254144 0.16977066],False
109,[-0.13200558 -0.3         0.         -1.        ],[ 0.05259819 -0.22674551],False,[0.11254144 0.16977066],False
110,[-0.13200558 -0.3         0.         -1.        ],[ 0.05087575 -0.23062315],False,[0.11254144 0.16977066],False
111,[-0.13200558 -0.3         0.         -1.        ],[ 0.04914398 -0.23449599],False,[0.11254144 0.16977066],False
112,[-0.13200558 -0.3         0.         -1.        ],[ 0.04740252 -0.23836367],False,[0.11254144 0.16977066],False
113,[-0.13200558 -0.3         0.         -1.        ],[ 0.04565112 -0.24222598],False,[0.11254144 0.16977066],False
114,[-0.13200558 -0.3         0.         -1.        ],[ 0.04387821 -0.24607861],False,[0.11254144 0.16977066],False
115,[-0.13200558 -0.3         0.         -1.        ],[ 0.04207659 -0.24991838],False,[0.11254144 0.16977066],False
116,[-0.13200558 -0.3         0.         -1.        ],[ 0.04025161 -0.25374612],False,[0.11254144 0.16977066],False
117,[-0.13200558 -0.3         0.         -1.        ],[ 0.03841235 -0.25756542],False,[0.11254144 0.16977066],False
118,[ 0.05204037  0.3         0.         -1.        ],[ 0.0376344  -0.25816293],True,[0.11254144 0.16977066],False
119,[ 0.05204037  0.3         0.         -1.        ],[ 0.03776012 -0.25632383],True,[0.11254144 0.16977066],False
120,[ 0.05204037  0.3         0.         -1.        ],[ 0.03815189 -0.25385776],True,[0.11254144 0.16977066],False
121,[ 0.05204037  0.3         0.         -1.        ],[ 0.03869178 -0.25098887],True,[0.11254144 0.16977066],False
122,[ 0.05204037  0.3         0.         -1.        ],[ 0.03934852 -0.24781359],True,[0.11254144 0.16977066],False
123,[ 0.05204037  0.3         0.         -1.        ],[ 0.04008368 -0.24439815],True,[0.11254144 0.16977066],False
124,[ 0.05204037  0.3         0.         -1.        ],[ 0.04086309 -0.2408016 ],True,[0.11254144 0.16977066],False
125,[ 0.05204037  0.3         0.         -1.        ],[ 0.04166095 -0.23707537],True,[0.11254144 0.16977066],False
126,[ 0.05204037  0.3         0.         -1.        ],[ 0.04245956 -0.23326155],True,[0.11254144 0.16977066],False
127,[ 0.05204037  0.3         0.         -1.        ],[ 0.04324807 -0.22939265],True,[0.11254144 0.16977066],False
128,[ 0.05204037  0.3         0.         -1.        ],[ 0.04402096 -0.22549253],True,[0.11254144 0.16977066],False
129,[ 0.05204037  0.3         0.         -1.        ],[ 0.04477655 -0.22157779],True,[0.11254144 0.16977066],False
130,[ 0.05204037  0.3         0.         -1.        ],[ 0.04551564 -0.21765925],True,[0.11254144 0.16977066],False
131,[ 0.05204037  0.3         0.         -1.        ],[ 0.04624054 -0.21374341],True,[0.11254144 0.16977066],False
132,[ 0.05204037  0.3         0.         -1.        ],[ 0.04695421 -0.20983364],True,[0.11254144 0.16977066],False
133,[ 0.05204037  0.3         0.         -1.        ],[ 0.04765974 -0.20593127],True,[0.11254144 0.16977066],False
134,[ 0.05204037  0.3         0.         -1.        ],[ 0.04836001 -0.20203627],True,[0.11254144 0.16977066],False
135,[ 0.05204037  0.3         0.         -1.        ],[ 0.0490575  -0.19814792],True,[0.11254144 0.16977066],False
136,[ 0.05204037  0.3         0.         -1.        ],[ 0.04975417 -0.19426511],True,[0.11254144 0.16977066],False
137,[ 0.05204037  0.3         0.         -1.        ],[ 0.05045151 -0.19038666],True,[0.11254144 0.16977066],False
138,[ 0.05204037  0.3         0.         -1.        ],[ 0.05115055 -0.18651146],True,[0.11254144 0.16977066],False
139,[ 0.05204037  0.3         0.         -1.        ],[ 0.05185191 -0.18263854],True,[0.11254144 0.16977066],False
140,[ 0.05204037  0.3         0.         -1.        ],[ 0.05255592 -0.17876708],True,[0.11254144 0.16977066],False
141,[ 0.05204037  0.3         0.         -1.        ],[ 0.05326268 -0.17489648],True,[0.11254144 0.16977066],False
142,[ 0.05204037  0.3         0.         -1.        ],[ 0.0539721  -0.17102625],True,[0.11254144 0.16977066],False
143,[ 0.05204037  0.3         0.         -1.        ],[ 0.05468403 -0.16715605],True,[0.11254144 0.16977066],False
144,[ 0.05204037  0.3         0.         -1.        ],[ 0.05539821 -0.16328565],True,[0.11254144 0.16977066],False
145,[ 0.05204037  0.3         0.         -1.        ],[ 0.05611439 -0.15941488],True,[0.11254144 0.16977066],False
146,[ 0.05204037  0.3         0.         -1.        ],[ 0.05683231 -0.15554364],True,[0.11254144 0.16977066],False
147,[ 0.05204037  0.3         0.         -1.        ],[ 0.05755175 -0.15167187],True,[0.11254144 0.16977066],False
148,[ 0.05204037  0.3         0.         -1.        ],[ 0.0582725  -0.14779952],True,[0.11254144 0.16977066],False
149,[ 0.05204037  0.3         0.         -1.        ],[ 0.05899437 -0.14392659],True,[0.11254144 0.16977066],False
150,[ 0.051209  0.3       0.       -1.      ],[ 0.05971291 -0.14005327],True,[0.11254144 0.16977066],False
151,[ 0.051209  0.3       0.       -1.      ],[ 0.06042938 -0.13617976],True,[0.11254144 0.16977066],False
152,[ 0.051209  0.3       0.       -1.      ],[ 0.06114606 -0.13230574],True,[0.11254144 0.16977066],False
153,[ 0.051209  0.3       0.       -1.      ],[ 0.06186305 -0.1284311 ],True,[0.11254144 0.16977066],False
154,[ 0.051209  0.3       0.       -1.      ],[ 0.06258032 -0.1245558 ],True,[0.11254144 0.16977066],False
155,[ 0.051209  0.3       0.       -1.      ],[ 0.06329784 -0.12067984],True,[0.11254144 0.16977066],False
156,[ 0.051209  0.3       0.       -1.      ],[ 0.06401565 -0.11680324],True,[0.11254144 0.16977066],False
157,[ 0.051209  0.3       0.       -1.      ],[ 0.0647338  -0.11292599],True,[0.11254144 0.16977066],False
158,[ 0.051209  0.3       0.       -1.      ],[ 0.06545233 -0.10904813],True,[0.11254144 0.16977066],False
159,[ 0.051209  0.3       0.       -1.      ],[ 0.06617132 -0.10516966],True,[0.11254144 0.16977066],False
160,[ 0.051209  0.3       0.       -1.      ],[ 0.06689083 -0.1012906 ],True,[0.11254144 0.16977066],False
161,[ 0.051209  0.3       0.       -1.      ],[ 0.06760114 -0.09740954],True,[0.11254144 0.16977066],False
162,[ 0.051209  0.3       0.       -1.      ],[ 0.06828787 -0.09352434],True,[0.11254144 0.16977066],False
163,[ 0.051209  0.3       0.       -1.      ],[ 0.06895537 -0.08963561],True,[0.11254144 0.16977066],False
164,[ 0.051209  0.3       0.       -1.      ],[ 0.06960708 -0.08574402],True,[0.11254144 0.16977066],False
165,[ 0.051209  0.3       0.       -1.      ],[ 0.07024633 -0.08185033],True,[0.11254144 0.16977066],False
166,[ 0.051209  0.3       0.       -1.      ],[ 0.07087448 -0.07795491],True,[0.11254144 0.16977066],False
167,[ 0.051209  0.3       0.       -1.      ],[ 0.07148934 -0.07405761],True,[0.11254144 0.16977066],False
168,[ 0.051209  0.3       0.       -1.      ],[ 0.07209206 -0.07015897],True,[0.11254144 0.16977066],False
169,[ 0.051209  0.3       0.       -1.      ],[ 0.07268551 -0.06625927],True,[0.11254144 0.16977066],False
170,[ 0.051209  0.3       0.       -1.      ],[ 0.07327205 -0.06235886],True,[0.11254144 0.16977066],False
171,[ 0.051209  0.3       0.       -1.      ],[ 0.0738539  -0.05845813],True,[0.11254144 0.16977066],False
172,[ 0.051209  0.3       0.       -1.      ],[ 0.07443385 -0.05455758],True,[0.11254144 0.16977066],False
173,[ 0.051209  0.3       0.       -1.      ],[ 0.07500883 -0.0506569 ],True,[0.11254144 0.16977066],False
174,[ 0.051209  0.3       0.       -1.      ],[ 0.07557644 -0.04675601],True,[0.11254144 0.16977066],False
175,[ 0.051209  0.3       0.       -1.      ],[ 0.07613575 -0.04285502],True,[0.11254144 0.16977066],False
176,[ 0.051209  0.3       0.       -1.      ],[ 0.07668621 -0.03895409],True,[0.11254144 0.16977066],False
177,[ 0.051209  0.3       0.       -1.      ],[ 0.07722738 -0.03505336],True,[0.11254144 0.16977066],False
178,[ 0.051209  0.3       0.       -1.      ],[ 0.07775881 -0.03115297],True,[0.11254144 0.16977066],False
179,[ 0.051209  0.3       0.       -1.      ],[ 0.07828011 -0.02725306],True,[0.11254144 0.16977066],False
180,[ 0.051209  0.3       0.       -1.      ],[ 0.07879131 -0.0233538 ],True,[0.11254144 0.16977066],False
181,[ 0.051209  0.3       0.       -1.      ],[ 0.07929288 -0.01945536],True,[0.11254144 0.16977066],False
182,[ 0.051209  0.3       0.       -1.      ],[ 0.07978731 -0.01555797],True,[0.11254144 0.16977066],False
183,[ 0.051209  0.3       0.       -1.      ],[ 0.08027701 -0.01166177],True,[0.11254144 0.16977066],False
184,[ 0.051209  0.3       0.       -1.      ],[ 0.08076396 -0.00776686],True,[0.11254144 0.16977066],False
185,[ 0.051209  0.3       0.       -1.      ],[ 0.08124974 -0.00387327],True,[0.11254144 0.16977066],False
186,[ 0.051209  0.3       0.       -1.      ],[8.17355463e-02 1.89823821e-05],True,[0.11254144 0.16977066],False
187,[ 0.051209  0.3       0.       -1.      ],[0.08222225 0.0039099 ],True,[0.11254144 0.16977066],False
188,[ 0.051209  0.3       0.       -1.      ],[0.08271043 0.0077995 ],True,[0.11254144 0.16977066],False
189,[ 0.051209  0.3       0.       -1.      ],[0.08320043 0.01168779],True,[0.11254144 0.16977066],False
190,[-0.3        -0.27123652  0.         -1.        ],[0.08192932 0.0124608 ],False,[0.11254144 0.16977066],False
191,[-0.3        -0.27123652  0.         -1.        ],[0.07950985 0.01080955],False,[0.11254144 0.16977066],False
192,[-0.3        -0.27123652  0.         -1.        ],[0.07686886 0.00850889],False,[0.11254144 0.16977066],False
193,[-0.3        -0.27123652  0.         -1.        ],[0.0740368  0.00580965],False,[0.11254144 0.16977066],False
194,[-0.3        -0.27123652  0.         -1.        ],[0.07102846 0.00281658],False,[0.11254144 0.16977066],False
195,[-0.3        -0.27123652  0.         -1.        ],[ 0.06784828 -0.00038933],False,[0.11254144 0.16977066],False
196,[-0.3        -0.27123652  0.         -1.        ],[ 0.06450151 -0.00374017],False,[0.11254144 0.16977066],False
197,[-0.3        -0.27123652  0.         -1.        ],[ 0.06100143 -0.00718251],False,[0.11254144 0.16977066],False
198,[-0.3        -0.27123652  0.         -1.        ],[ 0.05736729 -0.01067706],False,[0.11254144 0.16977066],False
199,[-0.3        -0.27123652  0.         -1.        ],[ 0.05362122 -0.01419672],False,[0.11254144 0.16977066],False
200,[-0.3        -0.27123652  0.         -1.        ],[ 0.04978579 -0.01772413],False,[0.11254144 0.16977066],False
201,[-0.3        -0.27123652  0.         -1.        ],[ 0.04588238 -0.02124911],False,[0.11254144 0.16977066],False
202,[-0.3        -0.27123652  0.         -1.        ],[ 0.04193014 -0.02476658],False,[0.11254144 0.16977066],False
203,[-0.3        -0.27123652  0.         -1.        ],[ 0.03794541 -0.02827478],False,[0.11254144 0.16977066],False
204,[-0.3        -0.27123652  0.         -1.        ],[ 0.03394158 -0.03177399],False,[0.11254144 0.16977066],False
205,[-0.3        -0.27123652  0.         -1.        ],[ 0.02992911 -0.0352656 ],False,[0.11254144 0.16977066],False
206,[-0.3        -0.27123652  0.         -1.        ],[ 0.02591581 -0.03875142],False,[0.11254144 0.16977066],False
207,[-0.3        -0.27123652  0.         -1.        ],[ 0.02190715 -0.04223333],False,[0.11254144 0.16977066],False
208,[-0.3        -0.27123652  0.         -1.        ],[ 0.01790663 -0.04571301],False,[0.11254144 0.16977066],False
209,[-0.3        -0.27123652  0.         -1.        ],[ 0.01391618 -0.04919187],False,[0.11254144 0.16977066],False
210,[-0.3        -0.27123652  0.         -1.        ],[ 0.00993652 -0.05267097],False,[0.11254144 0.16977066],False
211,[-0.3        -0.27123652  0.         -1.        ],[ 0.00596748 -0.05615105],False,[0.11254144 0.16977066],False
212,[-0.3        -0.27123652  0.         -1.        ],[ 0.00200832 -0.05963263],False,[0.11254144 0.16977066],False
213,[-0.3        -0.27123652  0.         -1.        ],[-0.0019421  -0.06311597],False,[0.11254144 0.16977066],False
214,[-0.3        -0.27123652  0.         -1.        ],[-0.00588509 -0.0666012 ],False,[0.11254144 0.16977066],False
215,[-0.3        -0.27123652  0.         -1.        ],[-0.00982199 -0.07008833],False,[0.11254144 0.16977066],False
216,[-0.3        -0.27123652  0.         -1.        ],[-0.0137541  -0.07357732],False,[0.11254144 0.16977066],False
217,[-0.3        -0.27123652  0.         -1.        ],[-0.01768259 -0.07706806],False,[0.11254144 0.16977066],False
218,[-0.3        -0.27123652  0.         -1.        ],[-0.02160848 -0.08056045],False,[0.11254144 0.16977066],False
219,[-0.3        -0.27123652  0.         -1.        ],[-0.02553263 -0.08405438],False,[0.11254144 0.16977066],False
220,[ 0.03741804 -0.3         0.         -1.        ],[-0.02766942 -0.08765394],False,[0.11254144 0.16977066],False
221,[ 0.03741804 -0.3         0.         -1.        ],[-0.02852273 -0.0912576 ],False,[0.11254144 0.16977066],False
222,[ 0.03741804 -0.3         0.         -1.        ],[-0.02909356 -0.09487327],False,[0.11254144 0.16977066],False
223,[ 0.03741804 -0.3         0.         -1.        ],[-0.02950188 -0.09853138],False,[0.11254144 0.16977066],False
224,[ 0.03741804 -0.3         0.         -1.        ],[-0.02974743 -0.10224221],False,[0.11254144 0.16977066],False
225,[ 0.03741804 -0.3         0.         -1.        ],[-0.029841   -0.10600225],False,[0.11254144 0.16977066],False
226,[ 0.03741804 -0.3         0.         -1.        ],[-0.02982112 -0.10979745],False,[0.11254144 0.16977066],False
227,[ 0.03741804 -0.3         0.         -1.        ],[-0.0297061  -0.11362012],False,[0.11254144 0.16977066],False
228,[ 0.03741804 -0.3         0.         -1.        ],[-0.02951204 -0.11746369],False,[0.11254144 0.16977066],False
