step,action,eef_pos,good,target_pos,in_target
54,[ 0.03347147 -0.3         0.         -1.        ],[-0.18445484  0.12631829],True,[-0.1421367  -0.23584676],False
55,[ 0.03347147 -0.3         0.         -1.        ],[-0.18398105  0.12239928],True,[-0.1421367  -0.23584676],False
56,[ 0.03347147 -0.3         0.         -1.        ],[-0.18350679  0.11847882],True,[-0.1421367  -0.23584676],False
57,[ 0.03347147 -0.3         0.         -1.        ],[-0.18303201  0.11455701],True,[-0.1421367  -0.23584676],False
58,[ 0.03347147 -0.3         0.         -1.        ],[-0.18255673  0.11063392],True,[-0.1421367  -0.23584676],False
59,[ 0.03347147 -0.3         0.         -1.        ],[-0.18208095  0.10670964],True,[-0.1421367  -0.23584676],False
60,[ 0.03347147 -0.3         0.         -1.        ],[-0.18160467  0.1027842 ],True,[-0.1421367  -0.23584676],False
61,[ 0.03347147 -0.3         0.         -1.        ],[-0.1811279   0.09885767],True,[-0.1421367  -0.23584676],False
62,[ 0.03347147 -0.3         0.         -1.        ],[-0.18065066  0.09493006],True,[-0.1421367  -0.23584676],False
63,[ 0.03347147 -0.3         0.         -1.        ],[-0.18017293  0.09100138],True,[-0.1421367  -0.23584676],False
64,[ 0.03347147 -0.3         0.         -1.        ],[-0.1796947   0.08707164],True,[-0.1421367  -0.23584676],False
65,[ 0.03347147 -0.3         0.         -1.        ],[-0.17921595  0.08314081],True,[-0.1421367  -0.23584676],False
66,[ 0.03347147 -0.3         0.         -1.        ],[-0.17873664  0.07920887],True,[-0.1421367  -0.23584676],False
67,[ 0.03347147 -0.3         0.         -1.        ],[-0.17825673  0.07527578],True,[-0.1421367  -0.23584676],False
68,[ 0.03347147 -0.3         0.         -1.        ],[-0.17777666  0.07134185],True,[-0.1421367  -0.23584676],False
69,[ 0.03347147 -0.3         0.         -1.        ],[-0.17729945  0.06740752],True,[-0.1421367  -0.23584676],False
70,[ 0.03347147 -0.3         0.         -1.        ],[-0.17682649  0.06347155],True,[-0.1421367  -0.23584676],False
71,[ 0.03347147 -0.3         0.         -1.        ],[-0.1763557  0.0595335],True,[-0.1421367  -0.23584676],False
72,[ 0.03347147 -0.3         0.         -1.        ],[-0.17588518  0.05559364],True,[-0.1421367  -0.23584676],False
73,[ 0.03347147 -0.3         0.         -1.        ],[-0.17541378  0.05165237],True,[-0.1421367  -0.23584676],False
74,[ 0.03347147 -0.3         0.         -1.        ],[-0.17494089  0.04770999],True,[-0.1421367  -0.23584676],False
75,[ 0.03347147 -0.3         0.         -1.        ],[-0.17446592  0.04376669],True,[-0.1421367  -0.23584676],False
76,[ 0.03347147 -0.3         0.         -1.        ],[-0.17399218  0.0398221 ],True,[-0.1421367  -0.23584676],False
77,[ 0.03347147 -0.3         0.         -1.        ],[-0.1735221   0.03587601],True,[-0.1421367  -0.23584676],False
78,[ 0.03347147 -0.3         0.         -1.        ],[-0.17308012  0.03192559],True,[-0.1421367  -0.23584676],False
79,[ 0.03347147 -0.3         0.         -1.        ],[-0.17267334  0.02797041],True,[-0.1421367  -0.23584676],False
80,[ 0.03472477 -0.3         0.         -1.        ],[-0.17227404  0.02401351],True,[-0.1421367  -0.23584676],False
81,[ 0.03472477 -0.3         0.         -1.        ],[-0.17187766  0.02005551],True,[-0.1421367  -0.23584676],False
82,[ 0.03472477 -0.3         0.         -1.        ],[-0.17148698  0.01609696],True,[-0.1421367  -0.23584676],False
83,[ 0.03472477 -0.3         0.         -1.        ],[-0.17110369  0.01213817],True,[-0.1421367  -0.23584676],False
84,[ 0.03472477 -0.3         0.         -1.        ],[-0.17072872  0.00817939],True,[-0.1421367  -0.23584676],False
85,[ 0.03472477 -0.3         0.         -1.        ],[-0.17036274  0.0042209 ],True,[-0.1421367  -0.23584676],False
86,[ 0.03472477 -0.3         0.         -1.        ],[-0.17000632  0.00026292],True,[-0.1421367  -0.23584676],False
87,[ 0.03472477 -0.3         0.         -1.        ],[-0.16965999 -0.00369425],True,[-0.1421367  -0.23584676],False
88,[ 0.03472477 -0.3         0.         -1.        ],[-0.16932422 -0.00765035],True,[-0.1421367  -0.23584676],False
89,[ 0.03472477 -0.3         0.         -1.        ],[-0.16899943 -0.01160506],True,[-0.1421367  -0.23584676],False
90,[ 0.03472477 -0.3         0.         -1.        ],[-0.16868606 -0.01555807],True,[-0.1421367  -0.23584676],False
91,[ 0.03472477 -0.3         0.         -1.        ],[-0.16838451 -0.01950903],True,[-0.1421367  -0.23584676],False
92,[ 0.03472477 -0.3         0.         -1.        ],[-0.16809463 -0.02345763],True,[-0.1421367  -0.23584676],False
93,[ 0.03472477 -0.3         0.         -1.        ],[-0.16781565 -0.02740362],True,[-0.1421367  -0.23584676],False
94,[ 0.03472477 -0.3         0.         -1.        ],[-0.16754477 -0.03134716],True,[-0.1421367  -0.23584676],False
95,[ 0.03472477 -0.3         0.         -1.        ],[-0.16728057 -0.03528927],True,[-0.1421367  -0.23584676],False
96,[ 0.03472477 -0.3         0.         -1.        ],[-0.16702163 -0.03922872],True,[-0.1421367  -0.23584676],False
97,[ 0.03472477 -0.3         0.         -1.        ],[-0.16676504 -0.04316476],True,[-0.1421367  -0.23584676],False
98,[ 0.03472477 -0.3         0.         -1.        ],[-0.16650825 -0.04709753],True,[-0.1421367  -0.23584676],False
99,[ 0.03472477 -0.3         0.         -1.        ],[-0.1662496  -0.05102728],True,[-0.1421367  -0.23584676],False
100,[ 0.03472477 -0.3         0.         -1.        ],[-0.16598802 -0.05495428],True,[-0.1421367  -0.23584676],False
101,[ 0.03472477 -0.3         0.         -1.        ],[-0.16572292 -0.05887869],True,[-0.1421367  -0.23584676],False
102,[ 0.03472477 -0.3         0.         -1.        ],[-0.16545394 -0.06280065],True,[-0.1421367  -0.23584676],False
103,[ 0.03472477 -0.3         0.         -1.        ],[-0.1651809  -0.06672022],True,[-0.1421367  -0.23584676],False
104,[ 0.03472477 -0.3         0.         -1.        ],[-0.1649037  -0.07063744],True,[-0.1421367  -0.23584676],False
105,[ 0.03472477 -0.3         0.         -1.        ],[-0.16462233 -0.07455235],True,[-0.1421367  -0.23584676],False
106,[ 0.03472477 -0.3         0.         -1.        ],[-0.16433679 -0.07846497],True,[-0.1421367  -0.23584676],False
107,[ 0.03472477 -0.3         0.         -1.        ],[-0.16404711 -0.08237533],True,[-0.1421367  -0.23584676],False
108,[ 0.03472477 -0.3         0.         -1.        ],[-0.1637533  -0.08628348],True,[-0.1421367  -0.23584676],False
109,[ 0.03472477 -0.3         0.         -1.        ],[-0.16345541 -0.09018946],True,[-0.1421367  -0.23584676],False
110,[ 0.03472477 -0.3         0.         -1.        ],[-0.16315346 -0.09409333],True,[-0.1421367  -0.23584676],False
111,[ 0.03472477 -0.3         0.         -1.        ],[-0.16284748 -0.09799515],True,[-0.1421367  -0.23584676],False
112,[ 0.03472477 -0.3         0.         -1.        ],[-0.16253752 -0.101895  ],True,[-0.1421367  -0.23584676],False
113,[ 0.03472477 -0.3         0.         -1.        ],[-0.16222362 -0.10579296],True,[-0.1421367  -0.23584676],False
114,[ 0.03472477 -0.3         0.         -1.        ],[-0.16190582 -0.10968911],True,[-0.1421367  -0.23584676],False
115,[ 0.03472477 -0.3         0.         -1.        ],[-0.16158421 -0.11358354],True,[-0.1421367  -0.23584676],False
116,[ 0.03472477 -0.3         0.         -1.        ],[-0.16125884 -0.11747633],True,[-0.1421367  -0.23584676],False
117,[ 0.03472477 -0.3         0.         -1.        ],[-0.16092982 -0.12136756],True,[-0.1421367  -0.23584676],False
118,[ 0.03472477 -0.3         0.         -1.        ],[-0.16059725 -0.12525731],True,[-0.1421367  -0.23584676],False
119,[ 0.03472477 -0.3         0.         -1.        ],[-0.16026125 -0.12914565],True,[-0.1421367  -0.23584676],False
120,[ 0.  0.  0. -1.],[-0.1600738  -0.13134853],False,[-0.1421367  -0.23584676],False
121,[ 0.  0.  0. -1.],[-0.15996252 -0.13218567],False,[-0.1421367  -0.23584676],False
122,[ 0.  0.  0. -1.],[-0.15989157 -0.13266922],False,[-0.1421367  -0.23584676],False
123,[ 0.  0.  0. -1.],[-0.15987569 -0.13294897],False,[-0.1421367  -0.23584676],False
124,[ 0.  0.  0. -1.],[-0.15988869 -0.13309909],False,[-0.1421367  -0.23584676],False
125,[ 0.  0.  0. -1.],[-0.15989379 -0.1331859 ],False,[-0.1421367  -0.23584676],False
126,[ 0.  0.  0. -1.],[-0.15988452 -0.13323893],False,[-0.1421367  -0.23584676],False
