step,action,eef_pos,good,target_pos
0,[ 0.3        -0.24935183  0.         -1.        ],[-0.19038308  0.30841974],True,[0.12266933 0.04007735]
1,[ 0.3        -0.24935183  0.         -1.        ],[-0.18836872  0.30988237],True,[0.12266933 0.04007735]
2,[ 0.3        -0.24935183  0.         -1.        ],[-0.18643283  0.31008878],True,[0.12266933 0.04007735]
3,[ 0.3        -0.24935183  0.         -1.        ],[-0.18430606  0.30933164],True,[0.12266933 0.04007735]
4,[ 0.3        -0.24935183  0.         -1.        ],[-0.18190123  0.3077588 ],True,[0.12266933 0.04007735]
5,[ 0.3        -0.24935183  0.         -1.        ],[-0.17920417  0.30554471],True,[0.12266933 0.04007735]
6,[ 0.3        -0.24935183  0.         -1.        ],[-0.17623584  0.30284252],True,[0.12266933 0.04007735]
7,[ 0.3        -0.24935183  0.         -1.        ],[-0.17304638  0.29977518],True,[0.12266933 0.04007735]
8,[ 0.3        -0.24935183  0.         -1.        ],[-0.16967183  0.29645754],True,[0.12266933 0.04007735]
9,[ 0.3        -0.24935183  0.         -1.        ],[-0.16614246  0.29298389],True,[0.12266933 0.04007735]
10,[ 0.3        -0.24935183  0.         -1.        ],[-0.16249528  0.28941875],True,[0.12266933 0.04007735]
11,[ 0.3        -0.24935183  0.         -1.        ],[-0.15876664  0.28580164],True,[0.12266933 0.04007735]
12,[ 0.3        -0.24935183  0.         -1.        ],[-0.15496192  0.28217718],True,[0.12266933 0.04007735]
13,[ 0.3        -0.24935183  0.         -1.        ],[-0.15109587  0.27857357],True,[0.12266933 0.04007735]
14,[ 0.3        -0.24935183  0.         -1.        ],[-0.14718797  0.27500204],True,[0.12266933 0.04007735]
15,[ 0.3        -0.24935183  0.         -1.        ],[-0.14326646  0.27144855],True,[0.12266933 0.04007735]
16,[ 0.3        -0.24935183  0.         -1.        ],[-0.13934477  0.2679164 ],True,[0.12266933 0.04007735]
17,[ 0.3        -0.24935183  0.         -1.        ],[-0.13543165  0.26440804],True,[0.12266933 0.04007735]
18,[ 0.3        -0.24935183  0.         -1.        ],[-0.13153319  0.26092319],True,[0.12266933 0.04007735]
19,[ 0.3        -0.24935183  0.         -1.        ],[-0.12765332  0.25745973],True,[0.12266933 0.04007735]
20,[ 0.3        -0.24935183  0.         -1.        ],[-0.12379404  0.25401457],True,[0.12266933 0.04007735]
21,[ 0.3        -0.24935183  0.         -1.        ],[-0.11995587  0.25058427],True,[0.12266933 0.04007735]
22,[ 0.3        -0.24935183  0.         -1.        ],[-0.11613808  0.24716548],True,[0.12266933 0.04007735]
23,[ 0.3        -0.24935183  0.         -1.        ],[-0.11233912  0.24375525],True,[0.12266933 0.04007735]
24,[ 0.3        -0.24935183  0.         -1.        ],[-0.10855684  0.24035115],True,[0.12266933 0.04007735]
25,[ 0.3        -0.24935183  0.         -1.        ],[-0.10478882  0.23695128],True,[0.12266933 0.04007735]
26,[ 0.3        -0.24935183  0.         -1.        ],[-0.10103251  0.23355432],True,[0.12266933 0.04007735]
27,[ 0.3        -0.24935183  0.         -1.        ],[-0.09728544  0.23015937],True,[0.12266933 0.04007735]
28,[ 0.3        -0.24935183  0.         -1.        ],[-0.09354533  0.22676594],True,[0.12266933 0.04007735]
29,[ 0.3        -0.24935183  0.         -1.        ],[-0.08981015  0.22337382],True,[0.12266933 0.04007735]
30,[ 0.3        -0.24935183  0.         -1.        ],[-0.08607816  0.21998302],True,[0.12266933 0.04007735]
31,[ 0.3        -0.24935183  0.         -1.        ],[-0.08234792  0.21659366],True,[0.12266933 0.04007735]
32,[ 0.3        -0.24935183  0.         -1.        ],[-0.07861832  0.21320597],True,[0.12266933 0.04007735]
33,[ 0.3        -0.24935183  0.         -1.        ],[-0.07488849  0.20982017],True,[0.12266933 0.04007735]
34,[ 0.3        -0.24935183  0.         -1.        ],[-0.07115784  0.20643651],True,[0.12266933 0.04007735]
35,[ 0.3        -0.24935183  0.         -1.        ],[-0.06742597  0.2030552 ],True,[0.12266933 0.04007735]
36,[ 0.3        -0.24935183  0.         -1.        ],[-0.06369264  0.19967643],True,[0.12266933 0.04007735]
37,[ 0.3        -0.24935183  0.         -1.        ],[-0.05995776  0.19630035],True,[0.12266933 0.04007735]
38,[ 0.3        -0.24935183  0.         -1.        ],[-0.05622133  0.19292705],True,[0.12266933 0.04007735]
39,[ 0.3        -0.24935183  0.         -1.        ],[-0.05248342  0.18955662],True,[0.12266933 0.04007735]
40,[ 0.3        -0.24935183  0.         -1.        ],[-0.04874412  0.1861891 ],True,[0.12266933 0.04007735]
41,[ 0.3        -0.24935183  0.         -1.        ],[-0.04500358  0.1828245 ],True,[0.12266933 0.04007735]
42,[ 0.3        -0.24935183  0.         -1.        ],[-0.04126192  0.17946282],True,[0.12266933 0.04007735]
43,[ 0.3        -0.24935183  0.         -1.        ],[-0.03751928  0.17610405],True,[0.12266933 0.04007735]
44,[ 0.3        -0.24935183  0.         -1.        ],[-0.03377578  0.17274816],True,[0.12266933 0.04007735]
45,[ 0.3        -0.24935183  0.         -1.        ],[-0.03003152  0.16939511],True,[0.12266933 0.04007735]
46,[ 0.3        -0.24935183  0.         -1.        ],[-0.02628658  0.16604488],True,[0.12266933 0.04007735]
