step,action,eef_pos,obj_pos,eef_abstract_state,obj_abstract_state,grid_half_size
0,"[-0.22432944  0.01735809  0.          0.          0.          0.
 -1.        ]",[-0.09762908 -0.00536674  1.01532462 -1.        ],[-1.66666586e-01  2.43077453e-07  9.17743166e-01],1,1,[0.25 0.25 0.05]
1,"[-0.22432323  0.01743812  0.          0.          0.          0.
 -1.        ]",[-0.09976975 -0.0052672   1.01566218 -1.        ],[-1.66666634e-01  9.69669257e-08  9.21384552e-01],1,1,[0.25 0.25 0.05]
2,"[-0.2243058   0.01766095  0.          0.          0.          0.
 -1.        ]",[-0.1021241  -0.00516674  1.01603211 -1.        ],[-1.66666661e-01  1.74717658e-08  9.23176835e-01],1,1,[0.25 0.25 0.05]
3,"[-0.22428251  0.01795421  0.          0.          0.          0.
 -1.        ]",[-0.10458221 -0.00506188  1.01636922 -1.        ],[-1.66666675e-01 -2.52063102e-08  9.24039353e-01],1,1,[0.25 0.25 0.05]
4,"[-0.22425587  0.01828406  0.          0.          0.          0.
 -1.        ]",[-0.10712062 -0.00494995  1.01665811 -1.        ],[-1.66666682e-01 -4.54815808e-08  9.24429097e-01],1,1,[0.25 0.25 0.05]
5,"[-0.2242266   0.01863954  0.          0.          0.          0.
 -1.        ]",[-0.10973357 -0.0048298   1.01689665 -1.        ],[-1.66666685e-01 -5.64033836e-08  9.24610590e-01],1,1,[0.25 0.25 0.05]
6,"[-0.22419472  0.01901908  0.          0.          0.          0.
 -1.        ]",[-0.11241443 -0.00470122  1.01708827 -1.        ],[-1.66666689e-01 -6.67018600e-08  9.24698458e-01],1,1,[0.25 0.25 0.05]
7,"[-0.22415996  0.01942453  0.          0.          0.          0.
 -1.        ]",[-0.1151546  -0.00456441  1.01723875 -1.        ],[-1.66666692e-01 -7.68897654e-08  9.24741717e-01],1,1,[0.25 0.25 0.05]
8,"[-0.22412188  0.01985912  0.          0.          0.          0.
 -1.        ]",[-0.11794435 -0.00441973  1.01735471 -1.        ],[-1.66666696e-01 -8.70267276e-08  9.24763174e-01],1,1,[0.25 0.25 0.05]
9,"[-0.22407994  0.02032687  0.          0.          0.          0.
 -1.        ]",[-0.12077382 -0.00426746  1.01744288 -1.        ],[-1.66666699e-01 -9.71391330e-08  9.24773855e-01],1,1,[0.25 0.25 0.05]
10,"[-0.22403351  0.02083232  0.          0.          0.          0.
 -1.        ]",[-0.12363372 -0.00410778  1.01750957 -1.        ],[-1.66666702e-01 -1.07239492e-07  9.24779181e-01],1,1,[0.25 0.25 0.05]
11,"[-0.22398186  0.02138056  0.          0.          0.          0.
 -1.        ]",[-0.12651577 -0.00394065  1.01756039 -1.        ],[-1.66666706e-01 -1.17333889e-07  9.24781838e-01],1,1,[0.25 0.25 0.05]
12,"[-0.22392409  0.02197728  0.          0.          0.          0.
 -1.        ]",[-0.12941291 -0.00376585  1.01760011 -1.        ],[-1.66666709e-01 -1.27425321e-07  9.24783165e-01],1,1,[0.25 0.25 0.05]
13,"[-0.22385916  0.02262912  0.          0.          0.          0.
 -1.        ]",[-0.13231932 -0.00358292  1.01763262 -1.        ],[-1.66666713e-01 -1.37515275e-07  9.24783828e-01],1,1,[0.25 0.25 0.05]
14,"[-0.22378573  0.02334409  0.          0.          0.          0.
 -1.        ]",[-0.13523045 -0.00339124  1.01766097 -1.        ],[-1.66666716e-01 -1.47604493e-07  9.24784159e-01],1,1,[0.25 0.25 0.05]
15,"[-0.2237021   0.02413231  0.          0.          0.          0.
 -1.        ]",[-0.13814283 -0.00318998  1.01768742 -1.        ],[-1.66666719e-01 -1.57693343e-07  9.24784324e-01],1,1,[0.25 0.25 0.05]
16,"[-0.223606    0.02500709  0.          0.          0.          0.
 -1.        ]",[-0.14105395 -0.0029781   1.01771359 -1.        ],[-1.66666723e-01 -1.67782009e-07  9.24784407e-01],1,1,[0.25 0.25 0.05]
17,"[-0.22349428  0.02598666  0.          0.          0.          0.
 -1.        ]",[-0.14396208 -0.00275438  1.01774051 -1.        ],[-1.66666726e-01 -1.77870583e-07  9.24784448e-01],1,1,[0.25 0.25 0.05]
18,"[-0.22336239  0.02709694  0.          0.          0.          0.
 -1.        ]",[-0.1468661  -0.00251731  1.01776881 -1.        ],[-1.66666729e-01 -1.87959112e-07  9.24784469e-01],1,1,[0.25 0.25 0.05]
19,"[-0.22320343  0.02837655  0.          0.          0.          0.
 -1.        ]",[-0.14976534 -0.00226503  1.01779872 -1.        ],[-1.66666733e-01 -1.98047618e-07  9.24784479e-01],1,1,[0.25 0.25 0.05]
20,"[-0.22300632  0.02988613  0.          0.          0.          0.
 -1.        ]",[-0.15265937 -0.00199514  1.01783025 -1.        ],[-1.66666736e-01 -2.08136112e-07  9.24784484e-01],1,1,[0.25 0.25 0.05]
21,"[-0.22275175  0.03172788  0.          0.          0.          0.
 -1.        ]",[-0.15554789 -0.0017044   1.01786319 -1.        ],[-1.66666739e-01 -2.18224600e-07  9.24784487e-01],1,1,[0.25 0.25 0.05]
22,"[-0.22240218  0.03409208  0.          0.          0.          0.
 -1.        ]",[-0.15843043 -0.00138799  1.0178972  -1.        ],[-1.66666743e-01 -2.28313086e-07  9.24784488e-01],1,1,[0.25 0.25 0.05]
23,"[-0.22187149  0.03739039  0.          0.          0.          0.
 -1.        ]",[-0.16130599 -0.00103796  1.01793176 -1.        ],[-1.66666746e-01 -2.38401570e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
24,"[-0.22089734  0.04277106  0.          0.          0.          0.
 -1.        ]",[-1.64171797e-01 -6.38162947e-04  1.01796608e+00 -1.00000000e+00],[-1.66666749e-01 -2.48490054e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
