step,action,eef_pos,obj_pos,eef_abstract_state,obj_abstract_state,grid_half_size
0,"[ 0.18657548  0.12575608  0.          0.          0.          0.
 -1.        ]",[-0.0883051  -0.00524579  1.02132671 -1.        ],[0.16666675 0.16666675 0.91774314],1,8,[0.25 0.25 0.05]
1,"[ 0.18655657  0.12578412  0.          0.          0.          0.
 -1.        ]",[-0.08650038 -0.00421223  1.02105917 -1.        ],[0.1666667  0.1666667  0.92138454],1,8,[0.25 0.25 0.05]
2,"[ 0.18649398  0.12587691  0.          0.          0.          0.
 -1.        ]",[-0.08451587 -0.00309945  1.02076229 -1.        ],[0.16666667 0.16666667 0.92317683],1,8,[0.25 0.25 0.05]
3,"[ 0.18641592  0.12599247  0.          0.          0.          0.
 -1.        ]",[-0.08245638 -0.00191557  1.02048476 -1.        ],[0.16666666 0.16666666 0.92403935],4,8,[0.25 0.25 0.05]
4,"[ 0.18634369  0.12609928  0.          0.          0.          0.
 -1.        ]",[-8.03402487e-02 -6.56248165e-04  1.02024098e+00 -1.00000000e+00],[0.16666665 0.16666665 0.9244291 ],4,8,[0.25 0.25 0.05]
5,"[ 0.18628323  0.12618858  0.          0.          0.          0.
 -1.        ]",[-7.81724309e-02  6.77992387e-04  1.02003324e+00 -1.00000000e+00],[0.16666664 0.16666664 0.92461059],4,8,[0.25 0.25 0.05]
6,"[ 0.1862358   0.12625857  0.          0.          0.          0.
 -1.        ]",[-0.07595818  0.00208108  1.01985903 -1.        ],[0.16666664 0.16666664 0.92469846],4,8,[0.25 0.25 0.05]
7,"[ 0.18620084  0.12631012  0.          0.          0.          0.
 -1.        ]",[-0.073704    0.00354353  1.01971387 -1.        ],[0.16666663 0.16666663 0.92474172],4,8,[0.25 0.25 0.05]
8,"[ 0.18617684  0.12634549  0.          0.          0.          0.
 -1.        ]",[-0.07141702  0.00505449  1.01959262 -1.        ],[0.16666662 0.16666662 0.92476317],4,8,[0.25 0.25 0.05]
9,"[ 0.18616192  0.12636747  0.          0.          0.          0.
 -1.        ]",[-0.06910425  0.00660304  1.01949013 -1.        ],[0.16666661 0.16666661 0.92477385],4,8,[0.25 0.25 0.05]
10,"[ 0.18615408  0.12637902  0.          0.          0.          0.
 -1.        ]",[-0.06677212  0.00817899  1.01940168 -1.        ],[0.16666661 0.16666661 0.92477918],4,8,[0.25 0.25 0.05]
11,"[ 0.18615137  0.12638302  0.          0.          0.          0.
 -1.        ]",[-0.06442613  0.00977335  1.01932321 -1.        ],[0.1666666  0.1666666  0.92478184],4,8,[0.25 0.25 0.05]
12,"[ 0.18615197  0.12638213  0.          0.          0.          0.
 -1.        ]",[-0.06207083  0.01137865  1.01925138 -1.        ],[0.16666659 0.16666659 0.92478317],4,8,[0.25 0.25 0.05]
