step,action,eef_pos,obj_pos,eef_abstract_state,obj_abstract_state,grid_half_size
28,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-1.63348156e-01  7.24401439e-04  1.01656474e+00 -1.00000000e+00],[-1.66666763e-01 -2.88843986e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
29,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-1.63517743e-01  7.38866114e-04  1.01490637e+00 -1.00000000e+00],[-1.66666766e-01 -2.98932468e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
30,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-1.63448915e-01  7.70358726e-04  1.01306947e+00 -1.00000000e+00],[-1.66666770e-01 -3.09020951e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
31,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-1.63346149e-01  8.16547075e-04  1.01118543e+00 -1.00000000e+00],[-1.66666773e-01 -3.19109434e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
32,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-1.63251770e-01  8.77406373e-04  1.00928117e+00 -1.00000000e+00],[-1.66666776e-01 -3.29197917e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
33,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-1.63172573e-01  9.52507629e-04  1.00736350e+00 -1.00000000e+00],[-1.66666780e-01 -3.39286400e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
34,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.1631076   0.00104096  1.00543543 -1.        ],[-1.66666783e-01 -3.49374882e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
35,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16305422  0.00114142  1.00349917 -1.        ],[-1.66666786e-01 -3.59463365e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
36,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16300964  0.00125228  1.00155667 -1.        ],[-1.66666790e-01 -3.69551848e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
37,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16297129  0.00137177  0.99960965 -1.        ],[-1.66666793e-01 -3.79640331e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
38,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.162937    0.00149812  0.99765953 -1.        ],[-1.66666797e-01 -3.89728814e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
39,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16290507  0.00162956  0.99570744 -1.        ],[-1.66666800e-01 -3.99817297e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
40,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16287423  0.00176419  0.99375422 -1.        ],[-1.66666803e-01 -4.09905779e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
41,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16284356  0.0018977   0.99180047 -1.        ],[-1.66666807e-01 -4.19994262e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
42,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16281244  0.00202634  0.98984661 -1.        ],[-1.66666810e-01 -4.30082745e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
