step,action,eef_pos,obj_pos,eef_abstract_state,obj_abstract_state,grid_half_size
0,"[ 0.19288096  0.11585308  0.          0.          0.          0.
 -1.        ]",[-0.13648954 -0.01544956  0.98334808 -1.        ],[0.16666675 0.16666675 0.91774314],1,8,[0.25 0.25 0.05]
1,"[ 0.19287343  0.11586561  0.          0.          0.          0.
 -1.        ]",[-0.13466602 -0.01444122  0.98310579 -1.        ],[0.1666667  0.1666667  0.92138454],1,8,[0.25 0.25 0.05]
2,"[ 0.19284881  0.11590658  0.          0.          0.          0.
 -1.        ]",[-0.13266818 -0.01334037  0.98283194 -1.        ],[0.16666667 0.16666667 0.92317683],1,8,[0.25 0.25 0.05]
3,"[ 0.19282039  0.11595385  0.          0.          0.          0.
 -1.        ]",[-0.13059255 -0.01216546  0.98257386 -1.        ],[0.16666666 0.16666666 0.92403935],1,8,[0.25 0.25 0.05]
4,"[ 0.1927994   0.11598876  0.          0.          0.          0.
 -1.        ]",[-0.12845246 -0.01091982  0.98234638 -1.        ],[0.16666665 0.16666665 0.9244291 ],1,8,[0.25 0.25 0.05]
5,"[ 0.19278732  0.11600883  0.          0.          0.          0.
 -1.        ]",[-0.12625183 -0.00960952  0.98215214 -1.        ],[0.16666664 0.16666664 0.92461059],1,8,[0.25 0.25 0.05]
6,"[ 0.19278328  0.11601555  0.          0.          0.          0.
 -1.        ]",[-0.12399591 -0.0082442   0.98198934 -1.        ],[0.16666664 0.16666664 0.92469846],1,8,[0.25 0.25 0.05]
7,"[ 0.19278554  0.11601179  0.          0.          0.          0.
 -1.        ]",[-0.12169171 -0.00683519  0.98185429 -1.        ],[0.16666663 0.16666663 0.92474172],1,8,[0.25 0.25 0.05]
8,"[ 0.19279216  0.11600079  0.          0.          0.          0.
 -1.        ]",[-0.11934711 -0.0053937   0.98174257 -1.        ],[0.16666662 0.16666662 0.92476317],1,8,[0.25 0.25 0.05]
9,"[ 0.19280133  0.11598555  0.          0.          0.          0.
 -1.        ]",[-0.11697009 -0.00392979  0.98164964 -1.        ],[0.16666661 0.16666661 0.92477385],1,8,[0.25 0.25 0.05]
10,"[ 0.19281152  0.11596861  0.          0.          0.          0.
 -1.        ]",[-0.11456807 -0.002452    0.98157122 -1.        ],[0.16666661 0.16666661 0.92477918],1,8,[0.25 0.25 0.05]
11,"[ 0.19282153  0.11595196  0.          0.          0.          0.
 -1.        ]",[-1.12147610e-01 -9.67084435e-04  9.81503516e-01 -1.00000000e+00],[0.1666666  0.1666666  0.92478184],1,8,[0.25 0.25 0.05]
12,"[ 0.1928305   0.11593704  0.          0.          0.          0.
 -1.        ]",[-1.09714223e-01  5.19884250e-04  9.81443303e-01 -1.00000000e+00],[0.16666659 0.16666659 0.92478317],1,8,[0.25 0.25 0.05]
13,"[ 0.19283788  0.11592478  0.          0.          0.          0.
 -1.        ]",[-0.10727238  0.0020054   0.98138796 -1.        ],[0.16666659 0.16666659 0.92478383],1,8,[0.25 0.25 0.05]
14,"[ 0.19284335  0.11591568  0.          0.          0.          0.
 -1.        ]",[-0.10482556  0.00348727  0.98133542 -1.        ],[0.16666658 0.16666658 0.92478416],1,8,[0.25 0.25 0.05]
