step,action,eef_pos,target_pos,obstacle_pos,target_half_size,obstacle_half_size,good
0,"[ 0.          0.          0.00435714  0.          0.          0.
 -1.        ]",[-0.18069117  0.25622703  1.00960431],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
1,"[ 0.          0.          0.00431868  0.          0.          0.
 -1.        ]",[-0.18070503  0.25623588  1.00961656],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
2,"[ 0.          0.          0.00428194  0.          0.          0.
 -1.        ]",[-0.18071866  0.25624408  1.00962827],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
3,"[ 0.          0.          0.00424682  0.          0.          0.
 -1.        ]",[-0.18073206  0.25625166  1.00963947],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
4,"[ 0.          0.          0.00421319  0.          0.          0.
 -1.        ]",[-0.18074522  0.25625868  1.00965022],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
5,"[ 0.          0.          0.00418096  0.          0.          0.
 -1.        ]",[-0.18075816  0.25626517  1.00966053],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
6,"[-0.00714286 -0.00714286  0.00415003  0.          0.          0.
 -1.        ]",[-0.18081178  0.25623907  1.00967417],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
7,"[-0.0875     -0.1125      0.00410912  0.          0.          0.
 -1.        ]",[-0.18137681  0.25567834  1.00974289],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
8,"[-0.12142857 -0.16607143  0.00390294  0.          0.          0.
 -1.        ]",[-0.18254119  0.25449984  1.00993102],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
9,"[-0.12678571 -0.19642857  0.00333856  0.          0.          0.
 -1.        ]",[-0.183991    0.25287179  1.01017793],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
10,"[-0.13214286 -0.23214286  0.00259783  0.          0.          0.
 -1.        ]",[-0.18556212  0.25081558  1.01043017],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
11,[ 0.  0.  0.  0.  0.  0. -1.],[-0.18642489  0.24966596  1.01057122],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
12,[ 0.  0.  0.  0.  0.  0. -1.],[-0.18666676  0.24916494  1.01050472],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
13,"[-0.13214286 -0.27857143  0.00161746  0.          0.          0.
 -1.        ]",[-0.18757873  0.24732676  1.01045925],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
14,"[-0.12321429 -0.28571429  0.00175387  0.          0.          0.
 -1.        ]",[-0.18908723  0.24454881  1.01057518],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
15,[ 0.  0.  0.  0.  0.  0. -1.],[-0.189955    0.24302976  1.01063944],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
16,[ 0.  0.  0.  0.  0.  0. -1.],[-0.19021838  0.24238145  1.01053104],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
17,[ 0.  0.  0.  0.  0.  0. -1.],[-0.19036393  0.24188262  1.01037522],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
18,[ 0.  0.  0.  0.  0.  0. -1.],[-0.19047251  0.24151213  1.01023598],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
19,"[-0.09285714 -0.29107143  0.00242368  0.          0.          0.
 -1.        ]",[-0.19111519  0.23975365  1.01019831],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
20,[ 0.  0.  0.  0.  0.  0. -1.],[-0.19169497  0.23851935  1.01022619],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
21,[ 0.  0.  0.  0.  0.  0. -1.],[-0.19186804  0.23814459  1.01016491],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
22,[ 0.  0.  0.  0.  0.  0. -1.],[-0.19195317  0.23790257  1.01008172],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
23,[ 0.  0.  0.  0.  0.  0. -1.],[-0.19200429  0.23774596  1.01001563],"[ 0.02284631 -0.22037386  0.852       0.          0.          0.
  1.        ]","[ 0.09970065 -0.02676595  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
