step,action,eef_pos,target_pos,obstacle_pos,target_half_size,obstacle_half_size,good
0,"[ 0.          0.         -0.00830136  0.          0.          0.
 -1.        ]",[0.08705828 0.21191273 1.01373937],"[ 0.01585337 -0.2125336   0.852       0.          0.          0.
  1.        ]","[0.04513392 0.14246835 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
1,"[ 0.         0.        -0.0080865  0.         0.         0.
 -1.       ]",[0.08705585 0.21194488 1.01366834],"[ 0.01585337 -0.2125336   0.852       0.          0.          0.
  1.        ]","[0.04513392 0.14246835 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
2,"[ 0.10357143  0.         -0.00787342  0.          0.          0.
 -1.        ]",[0.08755123 0.21195001 1.01347215],"[ 0.01585337 -0.2125336   0.852       0.          0.          0.
  1.        ]","[0.04513392 0.14246835 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
3,"[ 0.19821429  0.         -0.00728483  0.          0.          0.
 -1.        ]",[0.08879206 0.21186183 1.01289187],"[ 0.01585337 -0.2125336   0.852       0.          0.          0.
  1.        ]","[0.04513392 0.14246835 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
4,"[ 0.25714286 -0.03214286 -0.00554399  0.          0.          0.
 -1.        ]",[0.09061408 0.21150503 1.01192745],"[ 0.01585337 -0.2125336   0.852       0.          0.          0.
  1.        ]","[0.04513392 0.14246835 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
5,"[ 0.27142857 -0.03928571 -0.00265073  0.          0.          0.
 -1.        ]",[0.09273513 0.21092402 1.01076438],"[ 0.01585337 -0.2125336   0.852       0.          0.          0.
  1.        ]","[0.04513392 0.14246835 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
6,"[ 2.71428571e-01 -6.07142857e-02  8.38461618e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[0.0949949  0.21014923 1.00960053],"[ 0.01585337 -0.2125336   0.852       0.          0.          0.
  1.        ]","[0.04513392 0.14246835 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
7,"[ 0.26607143 -0.08035714  0.00433003  0.          0.          0.
 -1.        ]",[0.09734124 0.20915964 1.00854633],"[ 0.01585337 -0.2125336   0.852       0.          0.          0.
  1.        ]","[0.04513392 0.14246835 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
8,"[ 0.25       -0.07678571  0.00749263  0.          0.          0.
 -1.        ]",[0.09970184 0.20808194 1.00765951],"[ 0.01585337 -0.2125336   0.852       0.          0.          0.
  1.        ]","[0.04513392 0.14246835 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
9,"[ 0.24821429 -0.06964286  0.01015308  0.          0.          0.
 -1.        ]",[0.10211157 0.20702774 1.00694815],"[ 0.01585337 -0.2125336   0.852       0.          0.          0.
  1.        ]","[0.04513392 0.14246835 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
