step,action,eef_pos,target_pos,obstacle_pos,target_half_size,obstacle_half_size,good
0,"[ 0.00000000e+00  0.00000000e+00  7.22447521e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.08296511  0.16407647  1.0108225 ],"[-0.13433318 -0.30403543  0.852       0.          0.          0.
  1.        ]","[-0.02096985  0.08421352  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
1,"[ 2.01785714e-01  0.00000000e+00  6.64115194e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.08188838  0.16407074  1.01071464],"[-0.13433318 -0.30403543  0.852       0.          0.          0.
  1.        ]","[-0.02096985  0.08421352  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
2,"[ 3.39285714e-01  0.00000000e+00  9.87693105e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.07931096  0.1639676   1.01023073],"[-0.13433318 -0.30403543  0.852       0.          0.          0.
  1.        ]","[-0.02096985  0.08421352  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
3,"[ 0.375       0.00178571  0.00243942  0.          0.          0.
 -1.        ]",[-0.0758633   0.16380698  1.00946381],"[-0.13433318 -0.30403543  0.852       0.          0.          0.
  1.        ]","[-0.02096985  0.08421352  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
4,"[ 0.375      0.         0.0047402  0.         0.         0.
 -1.       ]",[-0.07208556  0.16366387  1.00864355],"[-0.13433318 -0.30403543  0.852       0.          0.          0.
  1.        ]","[-0.02096985  0.08421352  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
5,"[ 0.38214286  0.          0.00720096  0.          0.          0.
 -1.        ]",[-0.06812116  0.16356172  1.00789733],"[-0.13433318 -0.30403543  0.852       0.          0.          0.
  1.        ]","[-0.02096985  0.08421352  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
6,"[ 0.36785714  0.          0.00943963  0.          0.          0.
 -1.        ]",[-0.06407479  0.16350538  1.00727556],"[-0.13433318 -0.30403543  0.852       0.          0.          0.
  1.        ]","[-0.02096985  0.08421352  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
7,"[ 0.37142857  0.          0.01130495  0.          0.          0.
 -1.        ]",[-0.05993046  0.16348964  1.00680307],"[-0.13433318 -0.30403543  0.852       0.          0.          0.
  1.        ]","[-0.02096985  0.08421352  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
8,"[ 0.36785714  0.          0.01272241  0.          0.          0.
 -1.        ]",[-0.05567703  0.16349878  1.00645828],"[-0.13433318 -0.30403543  0.852       0.          0.          0.
  1.        ]","[-0.02096985  0.08421352  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
9,"[ 0.37321429  0.          0.01375678  0.          0.          0.
 -1.        ]",[-0.05129892  0.16352158  1.00622301],"[-0.13433318 -0.30403543  0.852       0.          0.          0.
  1.        ]","[-0.02096985  0.08421352  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
