step,action,eef_pos,target_pos,obstacle_pos,target_half_size,obstacle_half_size,good
0,"[ 0.00000000e+00  0.00000000e+00  2.52845033e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.1249273  -0.27477528  1.01101094],"[0.0745122  0.25048766 0.852      0.         0.         0.
 1.        ]","[ 0.0697369  -0.02771453  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
1,"[ 0.00000000e+00  0.00000000e+00  9.88066338e-05  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.12488328 -0.27478753  1.01105105],"[0.0745122  0.25048766 0.852      0.         0.         0.
 1.        ]","[ 0.0697369  -0.02771453  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
2,"[ 0.00000000e+00  5.35714286e-02 -2.15287072e-05  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.12483569 -0.27453847  1.01109815],"[0.0745122  0.25048766 0.852      0.         0.         0.
 1.        ]","[ 0.0697369  -0.02771453  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
3,"[ 0.00000000e+00  1.48214286e-01 -1.62848692e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.12481433 -0.27362098  1.01116333],"[0.0745122  0.25048766 0.852      0.         0.         0.
 1.        ]","[ 0.0697369  -0.02771453  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
4,"[ 2.50000000e-02  2.55357143e-01 -3.58380185e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.12470255 -0.27174964  1.01124368],"[0.0745122  0.25048766 0.852      0.         0.         0.
 1.        ]","[ 0.0697369  -0.02771453  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
5,"[ 4.46428571e-02  3.10714286e-01 -5.99439290e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.12441429 -0.26905607  1.01131577],"[0.0745122  0.25048766 0.852      0.         0.         0.
 1.        ]","[ 0.0697369  -0.02771453  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
6,"[ 5.17857143e-02  3.41071429e-01 -8.15703125e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.1239906  -0.26579042  1.01136625],"[0.0745122  0.25048766 0.852      0.         0.         0.
 1.        ]","[ 0.0697369  -0.02771453  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
7,"[ 8.39285714e-02  3.48214286e-01 -9.67150081e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.12332863 -0.26214313  1.01137691],"[0.0745122  0.25048766 0.852      0.         0.         0.
 1.        ]","[ 0.0697369  -0.02771453  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
8,"[ 1.44642857e-01  3.42857143e-01 -9.99116145e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.12217197 -0.25824692  1.01128843],"[0.0745122  0.25048766 0.852      0.         0.         0.
 1.        ]","[ 0.0697369  -0.02771453  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
9,"[ 1.41071429e-01  3.42857143e-01 -7.33671709e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.12073786 -0.25414875  1.01109288],"[0.0745122  0.25048766 0.852      0.         0.         0.
 1.        ]","[ 0.0697369  -0.02771453  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
