step,action,eef_pos,target_pos,obstacle_pos,target_half_size,obstacle_half_size,good
0,"[ 0.00000000e+00  0.00000000e+00  3.10032183e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.10543464 -0.11391893  1.01094454],"[-0.05287483  0.34220347  0.852       0.          0.          0.
  1.        ]","[0.06523016 0.09707627 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
1,"[ 0.00000000e+00  0.00000000e+00  2.97986207e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.10543185 -0.11392013  1.01094812],"[-0.05287483  0.34220347  0.852       0.          0.          0.
  1.        ]","[0.06523016 0.09707627 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
2,"[ 0.00000000e+00  0.00000000e+00  2.87250822e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.10542926 -0.1139213   1.01095128],"[-0.05287483  0.34220347  0.852       0.          0.          0.
  1.        ]","[0.06523016 0.09707627 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
3,"[ 4.10714286e-02 -8.21428571e-02  2.77766002e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.10520264 -0.11433307  1.01093894],"[-0.05287483  0.34220347  0.852       0.          0.          0.
  1.        ]","[0.06523016 0.09707627 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
4,"[ 1.35714286e-01 -1.14285714e-01  3.14806797e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.10428987 -0.11517299  1.01082575],"[-0.05287483  0.34220347  0.852       0.          0.          0.
  1.        ]","[0.06523016 0.09707627 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
5,"[ 1.83928571e-01 -1.67857143e-01  6.54369765e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.10269068 -0.11643421  1.01055644],"[-0.05287483  0.34220347  0.852       0.          0.          0.
  1.        ]","[0.06523016 0.09707627 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
6,"[ 0.20714286 -0.22321429  0.00146231  0.          0.          0.
 -1.        ]",[-0.10065633 -0.11824667  1.01019958],"[-0.05287483  0.34220347  0.852       0.          0.          0.
  1.        ]","[0.06523016 0.09707627 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
7,"[ 0.24107143 -0.26071429  0.00253288  0.          0.          0.
 -1.        ]",[-0.09824599 -0.12057258  1.00980607],"[-0.05287483  0.34220347  0.852       0.          0.          0.
  1.        ]","[0.06523016 0.09707627 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
8,"[ 0.25714286 -0.25535714  0.00371341  0.          0.          0.
 -1.        ]",[-0.09552911 -0.12316111  1.00940226],"[-0.05287483  0.34220347  0.852       0.          0.          0.
  1.        ]","[0.06523016 0.09707627 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
9,"[ 0.275      -0.22857143  0.00492482  0.          0.          0.
 -1.        ]",[-0.0925621  -0.12576189  1.0090222 ],"[-0.05287483  0.34220347  0.852       0.          0.          0.
  1.        ]","[0.06523016 0.09707627 0.971      0.         0.         0.
 1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
