step,action,eef_pos,drawer_pos 
0,[0 0 0 0 0 0 1],[-0.13952424  0.01590711  1.02081982  1.        ],-0.0010928888537334938
1,[0 0 0 0 0 0 1],[-0.13951877  0.01571237  1.02082272  1.        ],-0.0012876308332090969
2,[0 0 0 0 0 0 1],[-0.13951356  0.01551504  1.02082576  1.        ],-0.0014849626403498715
3,[0 0 0 0 0 0 1],[-0.13950895  0.01533277  1.02082865  1.        ],-0.001667227113495576
4,[0 0 0 0 0 0 1],[-0.13950484  0.01516527  1.02083136  1.        ],-0.0018347271335556817
5,[0 0 0 0 0 0 1],[-0.13950113  0.01501069  1.02083387  1.        ],-0.00198930888602423
6,[0 0 0 0 0 0 1],[-0.13949775  0.01486809  1.02083619  1.        ],-0.0021319077816135193
7,[0 0 0 0 0 0 1],[-0.13949468  0.01473722  1.02083829  1.        ],-0.002262776170554098
8,[0 0 0 0 0 0 1],[-0.1394919   0.01461823  1.02084018  1.        ],-0.0023817744757420444
9,[0 0 0 0 0 0 1],[-0.13948941  0.0145114   1.02084184  1.        ],-0.002488597698297776
10,[0 0 0 0 0 0 1],[-0.1394872   0.01441704  1.02084327  1.        ],-0.0025829557342381855
11,[0 0 0 0 0 0 1],[-0.13948529  0.0143353   1.02084448  1.        ],-0.002664703509799209
12,[0 0 0 0 0 0 1],[-0.13948369  0.01426617  1.02084548  1.        ],-0.0027338325536474875
13,[0 0 0 0 0 0 1],[-0.13948239  0.01420945  1.02084627  1.        ],-0.0027905548404809216
14,[0 0 0 0 0 0 1],[-0.13948131  0.01416233  1.0208469   1.        ],-0.0028376749422959445
15,[0 0 0 0 0 0 1],[-0.1394803   0.01411887  1.02084745  1.        ],-0.002881132177581118
16,[0 0 0 0 0 0 1],[-0.13947937  0.01407835  1.02084795  1.        ],-0.0029216514178686884
17,[0 0 0 0 0 0 1],[-0.13947854  0.01404235  1.02084836  1.        ],-0.0029576470485463534
18,[0 0 0 0 0 0 1],[-0.13947776  0.01400912  1.02084873  1.        ],-0.0029908832270091057
19,[0 0 0 0 0 0 1],[-0.13947701  0.01397761  1.02084908  1.        ],-0.0030223892387204986
20,[0 0 0 0 0 0 1],[-0.13947629  0.01394759  1.0208494   1.        ],-0.003052408094711301
21,[0 0 0 0 0 0 1],[-0.13947561  0.01391893  1.0208497   1.        ],-0.0030810745921484584
22,[0 0 0 0 0 0 1],[-0.13947495  0.01389152  1.02084998  1.        ],-0.0031084848346922146
23,[0 0 0 0 0 0 1],[-0.13947432  0.01386529  1.02085024  1.        ],-0.0031347142321588514
24,[0 0 0 0 0 0 1],[-0.13947372  0.01384017  1.02085048  1.        ],-0.0031598257602797747
25,[0 0 0 0 0 0 1],[-0.13947315  0.01381612  1.02085072  1.        ],-0.003183875997913612
26,[0 0 0 0 0 0 1],[-0.13947261  0.01379308  1.02085094  1.        ],-0.003206915210079521
27,[0 0 0 0 0 0 1],[-0.1394721   0.01377101  1.02085115  1.        ],-0.0032289886131354317
28,[0 0 0 0 0 0 1],[-0.1394716   0.01374986  1.02085135  1.        ],-0.0032501383896445697
29,[0 0 0 0 0 0 1],[-0.13947114  0.0137296   1.02085154  1.        ],-0.003270404324984927
30,[0 0 0 0 0 0 1],[-0.13947069  0.01371018  1.02085171  1.        ],-0.003289824177831035
31,[0 0 0 0 0 0 1],[-0.13947027  0.01369157  1.02085188  1.        ],-0.003308433917126506
32,[0 0 0 0 0 0 1],[-0.13946987  0.01367373  1.02085205  1.        ],-0.00332627116053244
33,[0 0 0 0 0 0 1],[-0.13946949  0.01365662  1.0208522   1.        ],-0.003343378648151792
34,[0 0 0 0 0 0 1],[-0.13946912  0.01364021  1.02085234  1.        ],-0.0033597947238818288
35,[0 0 0 0 0 0 1],[-0.13946878  0.01362445  1.02085248  1.        ],-0.003375549818458657
36,[0 0 0 0 0 0 1],[-0.13946845  0.01360933  1.02085261  1.        ],-0.003390671191884659
37,[0 0 0 0 0 0 1],[-0.13946814  0.01359482  1.02085273  1.        ],-0.003405184524243255
38,[0 0 0 0 0 0 1],[-0.13946784  0.01358089  1.02085284  1.        ],-0.0034191143716649115
39,[0 0 0 0 0 0 1],[-0.13946755  0.01356752  1.02085295  1.        ],-0.003432484302156204
40,[0 0 0 0 0 0 1],[-0.13946728  0.01355468  1.02085305  1.        ],-0.003445316950143003
41,[0 0 0 0 0 0 1],[-0.13946703  0.01354237  1.02085315  1.        ],-0.003457634051985842
42,[0 0 0 0 0 0 1],[-0.13946678  0.01353054  1.02085324  1.        ],-0.0034694564775683886
43,[0 0 0 0 0 0 1],[-0.13946655  0.0135192   1.02085332  1.        ],-0.0034808042611793374
