step,action,eef_pos,drawer_pos 
0,[0 0 0 0 0 0 1],[-0.13872225  0.01607507  1.02393511  1.        ],-0.0009249339563190927
1,[0 0 0 0 0 0 1],[-0.13869305  0.01639216  1.02390392  1.        ],-0.0006078364820346453
2,[0 0 0 0 0 0 1],[-0.13867039  0.01672413  1.02387569  1.        ],-0.0002758693323029818
3,[0 0 0 0 0 0 1],[-0.13865418  0.01703079  1.02385231  1.        ],3.079215331898075e-05
4,[0 0 0 0 0 0 1],[-0.13864364  0.01726708  1.02383533  1.        ],0.0002670804057730222
5,[0 0 0 0 0 0 1],[-0.13863822  0.01739334  1.02382593  1.        ],0.00039333669133400154
6,[0 0 0 0 0 0 1],[-0.13863737  0.01742552  1.02382352  1.        ],0.00042552249200388664
7,[0 0 0 0 0 0 1],[-0.1386377   0.01741687  1.02382387  1.        ],0.00041686810524481713
8,[0 0 0 0 0 0 1],[-0.13863808  0.01737737  1.0238259   1.        ],0.00037736873998342815
9,[0 0 0 0 0 0 1],[-0.1386378   0.0172755   1.02382991  1.        ],0.00027549979271644306
10,[0 0 0 0 0 0 1],[-0.1386361   0.01708093  1.02383603  1.        ],8.093199157757636e-05
11,[0 0 0 0 0 0 1],[-0.13863315  0.01681155  1.02384355  1.        ],-0.0001884477866211584
12,[0 0 0 0 0 0 1],[-0.13862909  0.0164894   1.02385182  1.        ],-0.0005105953777841364
13,[0 0 0 0 0 0 1],[-0.1386241   0.01613498  1.02386026  1.        ],-0.0008650199513822177
14,[0 0 0 0 0 0 1],[-0.13861837  0.01576656  1.02386846  1.        ],-0.001233439758293646
15,[0 0 0 0 0 0 1],[-0.13861215  0.01539998  1.02387609  1.        ],-0.0016000226117821176
16,[0 0 0 0 0 0 1],[-0.1386057   0.01504849  1.02388297  1.        ],-0.001951507591363713
17,[0 0 0 0 0 0 1],[-0.13859931  0.01472276  1.02388897  1.        ],-0.002277235981610601
18,[0 0 0 0 0 0 1],[-0.13859327  0.01443039  1.02389402  1.        ],-0.0025696086113017116
19,[0 0 0 0 0 0 1],[-0.13858837  0.0141681   1.02389775  1.        ],-0.002831901167393132
20,[0 0 0 0 0 0 1],[-0.13858497  0.01393     1.02390011  1.        ],-0.003070004145084739
21,[0 0 0 0 0 0 1],[-0.13858281  0.01371666  1.02390141  1.        ],-0.0032833416792887836
22,[0 0 0 0 0 0 1],[-0.13858149  0.01352785  1.02390206  1.        ],-0.0034721462158706414
23,[0 0 0 0 0 0 1],[-0.13858033  0.01336177  1.02390251  1.        ],-0.003638234201498971
24,[0 0 0 0 0 0 1],[-0.13857923  0.01322428  1.02390288  1.        ],-0.0037757174199053688
25,[0 0 0 0 0 0 1],[-0.13857825  0.01312927  1.02390318  1.        ],-0.0038707257521669054
26,[0 0 0 0 0 0 1],[-0.13857732  0.0130638   1.02390347  1.        ],-0.003936196162236684
27,[0 0 0 0 0 0 1],[-0.13857646  0.01301497  1.02390377  1.        ],-0.003985028233808353
28,[0 0 0 0 0 0 1],[-0.13857566  0.0129756   1.02390409  1.        ],-0.004024397584758175
29,[0 0 0 0 0 0 1],[-0.13857493  0.01294335  1.02390442  1.        ],-0.004056652272487846
30,[0 0 0 0 0 0 1],[-0.13857426  0.0129168   1.02390474  1.        ],-0.00408320072023656
31,[0 0 0 0 0 0 1],[-0.13857363  0.0128948   1.02390505  1.        ],-0.004105201469981659
32,[0 0 0 0 0 0 1],[-0.13857304  0.01287634  1.02390535  1.        ],-0.004123664255817514
33,[0 0 0 0 0 0 1],[-0.13857248  0.01286054  1.02390564  1.        ],-0.0041394569037421
34,[0 0 0 0 0 0 1],[-0.13857195  0.0128467   1.02390592  1.        ],-0.004153304579275234
35,[0 0 0 0 0 0 1],[-0.13857144  0.01283421  1.02390618  1.        ],-0.004165794139140694
36,[0 0 0 0 0 0 1],[-0.13857095  0.01282273  1.02390642  1.        ],-0.004177268354758415
37,[0 0 0 0 0 0 1],[-0.13857049  0.01281263  1.02390665  1.        ],-0.004187366418924103
38,[0 0 0 0 0 0 1],[-0.13857005  0.01280384  1.02390687  1.        ],-0.004196160451793942
39,[0 0 0 0 0 0 1],[-0.13856964  0.01279618  1.02390709  1.        ],-0.004203815717272238
40,[0 0 0 0 0 0 1],[-0.13856925  0.01278953  1.02390729  1.        ],-0.004210470840064215
41,[0 0 0 0 0 0 1],[-0.13856888  0.01278375  1.02390748  1.        ],-0.004216246695627998
42,[0 0 0 0 0 0 1],[-0.13856853  0.01277875  1.02390766  1.        ],-0.004221249700331109
43,[0 0 0 0 0 0 1],[-0.1385682   0.01277443  1.02390784  1.        ],-0.004225573699652966
44,[0 0 0 0 0 0 1],[-0.13856788  0.0127707   1.023908    1.        ],-0.004229301469848876
45,[0 0 0 0 0 0 1],[-0.13856758  0.01276749  1.02390816  1.        ],-0.004232506015883451
46,[0 0 0 0 0 0 1],[-0.1385673   0.01276475  1.02390831  1.        ],-0.004235251713371958
47,[0 0 0 0 0 0 1],[-0.13856703  0.0127624   1.02390845  1.        ],-0.00423759531688786
48,[0 0 0 0 0 0 1],[-0.13856678  0.01276041  1.02390859  1.        ],-0.0042395868508798805
49,[0 0 0 0 0 0 1],[-0.13856654  0.01275873  1.02390872  1.        ],-0.004241270396686404
50,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13855574  0.01122813  1.023927    1.        ],-0.00577187447136094
51,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13855587  0.00887753  1.02394557  1.        ],-0.00812247407848939
52,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13856002  0.00644597  1.02395525  1.        ],-0.010554026236450548
53,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13856249  0.00394999  1.02395932  1.        ],-0.013050011950938478
54,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.1385638   0.00134891  1.02396178  1.        ],-0.01565109147220208
55,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13856493 -0.00135972  1.02396393  1.        ],-0.018359720334164196
56,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13856577 -0.00418472  1.02396608  1.        ],-0.021184722557239015
57,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13856634 -0.00713309  1.02396816  1.        ],-0.024133089138351316
58,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13856683 -0.0102069   1.02397012  1.        ],-0.02720690469599851
59,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13856715 -0.01340431  1.02397189  1.        ],-0.030404311073372263
60,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13856733 -0.01671938  1.02397344  1.        ],-0.033719379597718833
61,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13856753 -0.02014328  1.02397475  1.        ],-0.0371432763832797
62,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13856797 -0.02366562  1.02397578  1.        ],-0.040665620975653044
63,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13856873 -0.02727506  1.02397656  1.        ],-0.04427506245605456
64,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13856984 -0.03095986  1.0239771   1.        ],-0.047959858353081856
65,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13857122 -0.03470865  1.02397748  1.        ],-0.051708652786491636
66,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13857278 -0.03851075  1.02397773  1.        ],-0.055510748082588185
67,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13857448 -0.04235622  1.02397791  1.        ],-0.05935622090403679
68,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13857631 -0.04623605  1.02397802  1.        ],-0.06323604906698235
69,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13857826 -0.05014216  1.0239781   1.        ],-0.06714215672487642
70,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13858035 -0.05406746  1.02397813  1.        ],-0.07106745786761418
71,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13858259 -0.05800586  1.02397813  1.        ],-0.07500586013004401
72,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13858499 -0.06195225  1.0239781   1.        ],-0.07895225451685883
73,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13858753 -0.06590248  1.02397802  1.        ],-0.0829024767984177
74,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13859023 -0.06985325  1.02397791  1.        ],-0.08685324942272736
75,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13859305 -0.07380211  1.02397775  1.        ],-0.09080210738217362
76,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.138596   -0.07774731  1.02397754  1.        ],-0.09474731212452071
77,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13859905 -0.08168776  1.02397729  1.        ],-0.09868776079023708
78,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13860219 -0.0856229   1.02397698  1.        ],-0.10262289567548372
79,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13860539 -0.08955256  1.02397662  1.        ],-0.10655256358124598
80,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13860865 -0.09347694  1.02397619  1.        ],-0.11047693692235075
81,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13861196 -0.09739647  1.02397571  1.        ],-0.11439647153834114
82,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13861531 -0.10131182  1.02397516  1.        ],-0.11831182011621649
83,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13861868 -0.10522376  1.02397455  1.        ],-0.12222376038437455
84,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13862208 -0.10913314  1.02397387  1.        ],-0.12613313662099218
85,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13862548 -0.11304081  1.02397312  1.        ],-0.13004081163419673
86,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.1386289  -0.11694763  1.02397231  1.        ],-0.13394762825497716
87,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13863231 -0.12085438  1.02397143  1.        ],-0.1378543795860171
88,[ 0.  -0.4  0.   0.   0.   0.   1. ],[-0.13863573 -0.12476179  1.0239705   1.        ],-0.1417617871747361
89,[0 0 0 0 0 0 1],[-0.13865411 -0.12713462  1.02396017  1.        ],-0.14413462333946547
90,[0 0 0 0 0 0 1],[-0.13864442 -0.12820668  1.02395387  1.        ],-0.14520668491676159
91,[0 0 0 0 0 0 1],[-0.13861794 -0.12856823  1.02395099  1.        ],-0.145568225366989
92,[0 0 0 0 0 0 1],[-0.13860752 -0.1287597   1.02395033  1.        ],-0.1457596986991525
93,[0 0 0 0 0 0 1],[-0.13860574 -0.12881268  1.02394946  1.        ],-0.1458126804509387
94,[0 0 0 0 0 0 1],[-0.13860693 -0.12880325  1.02394921  1.        ],-0.1458032472054015
95,[0 0 0 0 0 0 1],[-0.13860937 -0.12876655  1.02394961  1.        ],-0.14576654819593954
96,[0 0 0 0 0 0 1],[-0.13861237 -0.12869685  1.02395048  1.        ],-0.14569685240469427
97,[0 0 0 0 0 0 1],[-0.13861783 -0.12854384  1.02395059  1.        ],-0.14554383737198584
98,[0 0 0 0 0 0 1],[-0.13862587 -0.12830826  1.0239495   1.        ],-0.1453082615501356
99,[0 0 0 0 0 0 1],[-0.13863558 -0.12801602  1.02394728  1.        ],-0.14501601587736318
100,[0 0 0 0 0 0 1],[-0.1386458  -0.12769313  1.02394417  1.        ],-0.14469312719615518
101,[0 0 0 0 0 0 1],[-0.13865577 -0.12736017  1.02394043  1.        ],-0.144360167623879
102,[0 0 0 0 0 0 1],[-0.13866501 -0.1270333   1.02393632  1.        ],-0.14403330378467694
