step,action,eef_pos,drawer_pos 
58,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.139169   -0.00392785  1.02367768  1.        ],-0.020927847514545794
59,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13916873 -0.00630517  1.02367913  1.        ],-0.023305167108355385
60,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13916853 -0.00876786  1.02368052  1.        ],-0.025767861959834354
61,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13916833 -0.0113103   1.02368178  1.        ],-0.028310301600682965
62,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13916813 -0.01392508  1.02368292  1.        ],-0.030925083451984303
63,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13916805 -0.01660379  1.02368393  1.        ],-0.033603792384864495
64,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13916818 -0.0193379   1.02368479  1.        ],-0.036337903280410457
65,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13916854 -0.02211892  1.02368551  1.        ],-0.03911892176937935
66,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13916915 -0.02493864  1.0236861   1.        ],-0.04193864151090912
67,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13917002 -0.02778939  1.02368658  1.        ],-0.044789390034885294
68,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13917115 -0.03066417  1.02368696  1.        ],-0.04766416986699584
69,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13917247 -0.03355691  1.02368727  1.        ],-0.05055690654859903
70,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13917388 -0.03646248  1.02368752  1.        ],-0.05346248489537367
71,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13917535 -0.03937658  1.02368774  1.        ],-0.05637658011801761
72,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13917684 -0.04229558  1.02368793  1.        ],-0.059295580113797854
73,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13917833 -0.04521656  1.02368811  1.        ],-0.06221656012611891
74,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13917983 -0.04813721  1.02368827  1.        ],-0.06513721279419797
75,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13918133 -0.05105576  1.02368842  1.        ],-0.0680557611702226
76,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13918284 -0.05397088  1.02368854  1.        ],-0.07097087730281723
77,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13918437 -0.05688168  1.02368864  1.        ],-0.07388168323977684
78,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13918592 -0.05978769  1.02368869  1.        ],-0.07678768692146748
79,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.1391875  -0.06268871  1.02368872  1.        ],-0.0796887111660282
80,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.1391891  -0.06558483  1.02368869  1.        ],-0.08258483191631462
81,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13919073 -0.06847632  1.02368863  1.        ],-0.08547632165245966
82,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13919239 -0.0713636   1.02368852  1.        ],-0.08836359799919286
83,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13919407 -0.07424718  1.02368836  1.        ],-0.09124717812184284
84,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13919576 -0.07712764  1.02368815  1.        ],-0.09412763932523806
85,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13919747 -0.08000559  1.0236879   1.        ],-0.09700558598583313
86,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13919919 -0.08288162  1.0236876   1.        ],-0.09988162267586378
87,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13920093 -0.08575633  1.02368726  1.        ],-0.10275633312513684
88,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13920267 -0.08863026  1.02368687  1.        ],-0.10563026451473052
89,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13920441 -0.09150392  1.02368644  1.        ],-0.10850391650197487
90,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13920616 -0.09437773  1.02368597  1.        ],-0.11137773432924501
91,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13920791 -0.09725211  1.02368545  1.        ],-0.11425210536047371
92,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13920967 -0.10012736  1.0236849   1.        ],-0.1171273584091713
93,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13921142 -0.10300377  1.02368431  1.        ],-0.1200037652626746
94,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13921318 -0.10588154  1.02368369  1.        ],-0.12288154386131865
95,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13921493 -0.10876086  1.02368303  1.        ],-0.12576086265304004
96,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13921668 -0.11164185  1.02368234  1.        ],-0.1286418457093454
97,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13921843 -0.11452458  1.02368162  1.        ],-0.1315245782540182
98,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13922018 -0.11740911  1.02368086  1.        ],-0.1344091123184619
99,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13922192 -0.12029547  1.02368008  1.        ],-0.1372954722962913
100,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13922366 -0.12318366  1.02367926  1.        ],-0.14018366022338705
101,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.1392254  -0.12607366  1.02367842  1.        ],-0.1430736606571798
102,[0 0 0 0 0 0 1],[-0.13922769 -0.12771933  1.02367054  1.        ],-0.1447193294286147
103,[0 0 0 0 0 0 1],[-0.13920333 -0.12800209  1.02366459  1.        ],-0.14500208984400442
104,[0 0 0 0 0 0 1],[-0.13919349 -0.12809892  1.02366235  1.        ],-0.14509891560016647
105,[0 0 0 0 0 0 1],[-0.13919191 -0.12811641  1.02366107  1.        ],-0.14511640654176178
106,[0 0 0 0 0 0 1],[-0.13919228 -0.12810839  1.02366031  1.        ],-0.14510839334586428
107,[0 0 0 0 0 0 1],[-0.1391936  -0.12808223  1.02366001  1.        ],-0.1450822303069459
108,[0 0 0 0 0 0 1],[-0.13919548 -0.12803871  1.02366001  1.        ],-0.145038713315363
