step,action,eef_pos,drawer_pos 
52,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936578  0.01032878  1.02223937  1.        ],-0.006671217810515917
53,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936538  0.00910117  1.02224021  1.        ],-0.007898834912512207
54,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936493  0.007816    1.02224106  1.        ],-0.0091839964442662
55,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936447  0.00648122  1.02224188  1.        ],-0.01051878078777651
56,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936396  0.00509473  1.02224269  1.        ],-0.011905270934679312
57,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936339  0.00365232  1.02224349  1.        ],-0.01334768404935937
58,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936276  0.00215192  1.02224429  1.        ],-0.01484807759485195
59,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-1.39362071e-01  5.93921329e-04  1.02224508e+00  1.00000000e+00],-0.016406078670890722
60,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-1.39361351e-01 -1.01934117e-03  1.02224585e+00  1.00000000e+00],-0.018019341169704606
61,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936062 -0.0026841   1.02224658  1.        ],-0.019684100416582282
62,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936008 -0.0043953   1.02224741  1.        ],-0.021395302135624017
63,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13935972 -0.00614769  1.02224837  1.        ],-0.023147689277893325
64,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13935942 -0.00793609  1.02224926  1.        ],-0.024936092549637814
65,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13935917 -0.00975511  1.0222501   1.        ],-0.02675510978952516
66,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13935899 -0.01159939  1.02225088  1.        ],-0.028599392183364276
67,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13935889 -0.01346398  1.02225161  1.        ],-0.030463982957006423
68,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13935887 -0.0153444   1.0222523   1.        ],-0.03234440492754121
69,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13935893 -0.01723667  1.02225294  1.        ],-0.03423667172874581
70,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13935907 -0.01913726  1.02225354  1.        ],-0.03613725591040863
71,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13935928 -0.02104312  1.02225411  1.        ],-0.03804312477014585
72,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13935956 -0.02295175  1.02225464  1.        ],-0.03995174583288177
73,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13935991 -0.02486107  1.02225513  1.        ],-0.04186107361143734
74,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936033 -0.0267695   1.02225558  1.        ],-0.04376950012204088
75,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936082 -0.02867581  1.022256    1.        ],-0.04567580629117456
76,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936138 -0.03057911  1.02225637  1.        ],-0.0475791121205795
77,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936199 -0.03247883  1.0222567   1.        ],-0.04947882666215211
78,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936267 -0.0343746   1.02225698  1.        ],-0.05137459991346271
79,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936339 -0.03626634  1.02225723  1.        ],-0.05326633524112303
80,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936413 -0.03815421  1.02225744  1.        ],-0.05515420761948451
81,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936487 -0.04003849  1.02225762  1.        ],-0.05703849047666356
82,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.1393656  -0.04191949  1.02225778  1.        ],-0.0589194919598148
83,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936631 -0.04379754  1.02225791  1.        ],-0.06079753688806019
84,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936701 -0.04567296  1.02225802  1.        ],-0.06267295810907228
85,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.1393677  -0.04754609  1.0222581   1.        ],-0.06454608995153338
86,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936838 -0.04941726  1.02225817  1.        ],-0.0664172622119274
87,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936906 -0.05128679  1.02225821  1.        ],-0.06828679447725967
88,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13936973 -0.05315499  1.02225822  1.        ],-0.07015499093337002
89,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.1393704  -0.05502214  1.02225821  1.        ],-0.07202213587729708
90,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13937108 -0.05688849  1.02225818  1.        ],-0.07388849012192616
91,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13937176 -0.05875429  1.02225812  1.        ],-0.07575428841400006
92,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13937244 -0.06061974  1.02225804  1.        ],-0.07761973790514765
93,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13937313 -0.06248502  1.02225794  1.        ],-0.07948501763950254
94,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13937382 -0.06435028  1.02225782  1.        ],-0.08135027896353857
95,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13937452 -0.06621565  1.02225768  1.        ],-0.08321564672219967
96,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13937522 -0.06808122  1.02225751  1.        ],-0.0850812210818801
97,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13937592 -0.06994708  1.02225733  1.        ],-0.08694707981336018
98,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13937663 -0.07181328  1.02225712  1.        ],-0.08881328087299277
99,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13937734 -0.07367987  1.0222569   1.        ],-0.09067986513480532
100,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13937805 -0.07554686  1.02225665  1.        ],-0.0925468591462845
101,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13937877 -0.07741428  1.02225639  1.        ],-0.09441427780360666
102,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13937949 -0.07928213  1.02225611  1.        ],-0.09628212686573824
103,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13938021 -0.08115041  1.02225581  1.        ],-0.09815040524946265
104,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13938093 -0.08301911  1.0222555   1.        ],-0.10001910706796584
105,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13938165 -0.08488822  1.02225517  1.        ],-0.10188822339344154
106,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13938238 -0.08675774  1.02225482  1.        ],-0.10375774373898085
107,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.1393831  -0.08862766  1.02225445  1.        ],-0.10562765726678414
108,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13938383 -0.09049795  1.02225407  1.        ],-0.10749795373855645
109,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13938456 -0.09236862  1.02225368  1.        ],-0.10936862423016257
110,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13938528 -0.09423966  1.02225326  1.        ],-0.11123966163656568
111,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13938601 -0.09611106  1.02225284  1.        ],-0.11311106099508879
112,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13938673 -0.09798282  1.02225239  1.        ],-0.11498281965553436
113,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13938746 -0.09985494  1.02225193  1.        ],-0.11685493732495436
114,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13938818 -0.10172742  1.02225146  1.        ],-0.11872741601325262
115,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13938891 -0.10360026  1.02225097  1.        ],-0.12060025990358322
116,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13938963 -0.10547348  1.02225047  1.        ],-0.122473475168897
117,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13939034 -0.10734707  1.02224995  1.        ],-0.12434706975318727
118,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13939106 -0.10922105  1.02224942  1.        ],-0.12622105313312723
119,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13939177 -0.11109544  1.02224888  1.        ],-0.1280954360730209
120,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13939248 -0.11297023  1.02224832  1.        ],-0.12997023038335742
121,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13939319 -0.11484545  1.02224775  1.        ],-0.13184544869086026
122,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13939389 -0.1167211   1.02224717  1.        ],-0.13372110422576494
123,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13939459 -0.11859721  1.02224658  1.        ],-0.1355972106301829
124,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13939529 -0.12047378  1.02224597  1.        ],-0.13747378178980274
125,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13939598 -0.12235083  1.02224535  1.        ],-0.1393508316898624
126,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13939667 -0.12422837  1.02224471  1.        ],-0.14122837429524218
127,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13939735 -0.12610642  1.02224407  1.        ],-0.14310642345371566
128,[0 0 0 0 0 0 1],[-0.13939341 -0.12703536  1.0222407   1.        ],-0.14403536284666713
129,[0 0 0 0 0 0 1],[-0.13938529 -0.12708759  1.02223861  1.        ],-0.1440875912782691
130,[0 0 0 0 0 0 1],[-0.13938394 -0.12707547  1.02223787  1.        ],-0.14407546835609292
131,[0 0 0 0 0 0 1],[-0.1393836  -0.12706725  1.02223729  1.        ],-0.14406725340545629
132,[0 0 0 0 0 0 1],[-0.13938395 -0.12705467  1.02223699  1.        ],-0.14405466563101416
133,[0 0 0 0 0 0 1],[-0.13938476 -0.12703068  1.02223658  1.        ],-0.1440306786535605
134,[0 0 0 0 0 0 1],[-0.13938593 -0.126997    1.02223622  1.        ],-0.14399700303169088
135,[0 0 0 0 0 0 1],[-0.13938719 -0.12695417  1.02223592  1.        ],-0.14395416559017443
136,[0 0 0 0 0 0 1],[-0.1393887  -0.12689932  1.0222355   1.        ],-0.1438993207302004
137,[0 0 0 0 0 0 1],[-0.13939093 -0.12681856  1.02223462  1.        ],-0.14381855568168772
138,[0 0 0 0 0 0 1],[-0.13939373 -0.12671645  1.02223331  1.        ],-0.1437164535832055
139,[0 0 0 0 0 0 1],[-0.13939681 -0.12660283  1.02223172  1.        ],-0.14360282660997192
140,[0 0 0 0 0 0 1],[-0.13939991 -0.12648622  1.02222997  1.        ],-0.14348621728127858
141,[0 0 0 0 0 0 1],[-0.13940286 -0.12637349  1.02222819  1.        ],-0.14337349240842268
142,[0 0 0 0 0 0 1],[-0.13940551 -0.1262699   1.02222648  1.        ],-0.14326989785899613
143,[0 0 0 0 0 0 1],[-0.13940778 -0.12617918  1.02222491  1.        ],-0.14317918139855867
144,[0 0 0 0 0 0 1],[-0.13940959 -0.12610352  1.02222355  1.        ],-0.14310351748342254
145,[0 0 0 0 0 0 1],[-0.1394109  -0.12604018  1.02222248  1.        ],-0.14304018476509672
146,[0 0 0 0 0 0 1],[-0.139412   -0.1259819   1.02222151  1.        ],-0.14298189990617743
147,[0 0 0 0 0 0 1],[-0.13941304 -0.12592873  1.02222056  1.        ],-0.14292873075162843
148,[0 0 0 0 0 0 1],[-0.13941401 -0.12588226  1.02221963  1.        ],-0.14288226024553008
149,[0 0 0 0 0 0 1],[-0.13941492 -0.12584306  1.02221874  1.        ],-0.14284306120389773
150,[0 0 0 0 0 0 1],[-0.13941577 -0.12581512  1.0222179   1.        ],-0.14281511610855252
151,[0 0 0 0 0 0 1],[-0.13941656 -0.12579769  1.02221711  1.        ],-0.14279768502403078
152,[0 0 0 0 0 0 1],[-0.13941724 -0.12578227  1.02221638  1.        ],-0.1427822674056619
153,[0 0 0 0 0 0 1],[-0.13941774 -0.12575564  1.02221573  1.        ],-0.14275564041672462
154,[0 0 0 0 0 0 1],[-0.13941822 -0.1257293   1.02221509  1.        ],-0.1427292976635675
155,[0 0 0 0 0 0 1],[-0.1394187  -0.12570389  1.02221446  1.        ],-0.1427038905438887
156,[0 0 0 0 0 0 1],[-0.13941915 -0.12567968  1.02221385  1.        ],-0.14267968366360756
157,[0 0 0 0 0 0 1],[-0.13941958 -0.12565658  1.02221326  1.        ],-0.14265658275229032
158,[0 0 0 0 0 0 1],[-0.13941998 -0.1256345   1.02221268  1.        ],-0.14263450385521442
159,[0 0 0 0 0 0 1],[-0.13942036 -0.12561338  1.02221213  1.        ],-0.14261338268433194
160,[0 0 0 0 0 0 1],[-0.13942072 -0.12559317  1.02221159  1.        ],-0.14259316742943284
161,[0 0 0 0 0 0 1],[-0.13942106 -0.12557381  1.02221106  1.        ],-0.1425738137050766
162,[0 0 0 0 0 0 1],[-0.13942138 -0.12555528  1.02221055  1.        ],-0.14255528177298105
163,[0 0 0 0 0 0 1],[-0.13942168 -0.12553754  1.02221006  1.        ],-0.14253753504666922
164,[0 0 0 0 0 0 1],[-0.13942196 -0.12552054  1.02220958  1.        ],-0.1425205392747928
165,[0 0 0 0 0 0 1],[-0.13942222 -0.12550426  1.02220911  1.        ],-0.1425042620816726
166,[0 0 0 0 0 0 1],[-0.13942247 -0.12548867  1.02220865  1.        ],-0.1424886726965453
167,[0 0 0 0 0 0 1],[-0.1394227  -0.12547374  1.02220821  1.        ],-0.1424737417832817
168,[0 0 0 0 0 0 1],[-0.13942292 -0.12545944  1.02220778  1.        ],-0.14245944132430044
169,[0 0 0 0 0 0 1],[-0.13942313 -0.12544574  1.02220736  1.        ],-0.1424457445343234
170,[0 0 0 0 0 0 1],[-0.13942332 -0.12543263  1.02220694  1.        ],-0.14243262579111154
171,[0 0 0 0 0 0 1],[-0.13942349 -0.12542006  1.02220654  1.        ],-0.14242006057633694
172,[0 0 0 0 0 0 1],[-0.13942366 -0.12540803  1.02220615  1.        ],-0.1424080254229067
173,[0 0 0 0 0 0 1],[-0.13942381 -0.1253965   1.02220577  1.        ],-0.14239649786673275
174,[0 0 0 0 0 0 1],[-0.13942395 -0.12538546  1.0222054   1.        ],-0.1423854564018206
175,[0 0 0 0 0 0 1],[-0.13942408 -0.12537488  1.02220503  1.        ],-0.14237488043801905
176,[0 0 0 0 0 0 1],[-0.1394242  -0.12536475  1.02220468  1.        ],-0.14236475026103584
177,[0 0 0 0 0 0 1],[-0.13942431 -0.12535505  1.02220433  1.        ],-0.14235504699445622
178,[0.  0.2 0.  0.  0.  0.  1. ],[-0.13943382 -0.12460148  1.02219981  1.        ],-0.141601478908654
179,[0.  0.2 0.  0.  0.  0.  1. ],[-0.1394418  -0.12339267  1.02219745  1.        ],-0.14039267285694676
180,[0.  0.2 0.  0.  0.  0.  1. ],[-0.13944621 -0.12210126  1.02219737  1.        ],-0.13910126280657892
181,[0.  0.2 0.  0.  0.  0.  1. ],[-0.13944964 -0.12075638  1.02219779  1.        ],-0.13775637995136097
182,[0.  0.2 0.  0.  0.  0.  1. ],[-0.1394529  -0.11936064  1.02219815  1.        ],-0.13636063697322848
183,[0.  0.2 0.  0.  0.  0.  1. ],[-0.1394561  -0.11790513  1.0221984   1.        ],-0.13490512626779622
184,[0.  0.2 0.  0.  0.  0.  1. ],[-0.13945911 -0.11640272  1.02219859  1.        ],-0.1334027217327502
185,[0.  0.2 0.  0.  0.  0.  1. ],[-0.13946194 -0.11485478  1.02219873  1.        ],-0.1318547802651232
186,[0.  0.2 0.  0.  0.  0.  1. ],[-0.13946458 -0.11326129  1.02219882  1.        ],-0.1302612879991012
187,[0.  0.2 0.  0.  0.  0.  1. ],[-0.13946705 -0.11162314  1.02219887  1.        ],-0.1286231375176859
188,[0.  0.2 0.  0.  0.  0.  1. ],[-0.13946936 -0.10994243  1.02219889  1.        ],-0.12694242901143377
189,[0.  0.2 0.  0.  0.  0.  1. ],[-0.13947155 -0.1082223   1.02219889  1.        ],-0.12522230114815663
190,[0.  0.2 0.  0.  0.  0.  1. ],[-0.13947361 -0.10646668  1.02219888  1.        ],-0.12346668102136883
191,[0.  0.2 0.  0.  0.  0.  1. ],[-0.13947559 -0.10468001  1.02219887  1.        ],-0.12168001104167443
192,[0.  0.2 0.  0.  0.  0.  1. ],[-0.13947749 -0.10286697  1.02219885  1.        ],-0.11986697061222276
193,[0.  0.2 0.  0.  0.  0.  1. ],[-0.13947935 -0.10103226  1.02219884  1.        ],-0.1180322625537915
194,[0.  0.2 0.  0.  0.  0.  1. ],[-0.13948117 -0.09918039  1.02219883  1.        ],-0.1161803920475402
195,[0.  0.2 0.  0.  0.  0.  1. ],[-0.13948297 -0.09731558  1.02219882  1.        ],-0.11431557548340511
