step,action,eef_pos,good,target_pos
60,[ 0.3        -0.07554122  0.         -1.        ],[-0.04152437 -0.0082943 ],False,[-0.14276951 -0.0239992 ]
61,[ 0.3        -0.07554122  0.         -1.        ],[-0.03998713 -0.0090986 ],False,[-0.14276951 -0.0239992 ]
62,[ 0.3        -0.07554122  0.         -1.        ],[-0.03795841 -0.0099339 ],False,[-0.14276951 -0.0239992 ]
63,[ 0.3        -0.07554122  0.         -1.        ],[-0.03559054 -0.01079292],False,[-0.14276951 -0.0239992 ]
64,[ 0.3        -0.07554122  0.         -1.        ],[-0.03290895 -0.01167281],False,[-0.14276951 -0.0239992 ]
65,[ 0.3        -0.07554122  0.         -1.        ],[-0.02996527 -0.01256912],False,[-0.14276951 -0.0239992 ]
66,[ 0.3        -0.07554122  0.         -1.        ],[-0.02679359 -0.0134779 ],False,[-0.14276951 -0.0239992 ]
67,[ 0.3        -0.07554122  0.         -1.        ],[-0.02342622 -0.01439565],False,[-0.14276951 -0.0239992 ]
68,[ 0.3        -0.07554122  0.         -1.        ],[-0.0198976  -0.01531933],False,[-0.14276951 -0.0239992 ]
69,[ 0.3        -0.07554122  0.         -1.        ],[-0.0162415 -0.0162465],False,[-0.14276951 -0.0239992 ]
70,[ 0.3        -0.07554122  0.         -1.        ],[-0.01248899 -0.01717528],False,[-0.14276951 -0.0239992 ]
71,[ 0.3        -0.07554122  0.         -1.        ],[-0.0086672  -0.01810434],False,[-0.14276951 -0.0239992 ]
72,[ 0.3        -0.07554122  0.         -1.        ],[-0.0047989  -0.01903278],False,[-0.14276951 -0.0239992 ]
73,[ 0.3        -0.07554122  0.         -1.        ],[-0.00090238 -0.01996003],False,[-0.14276951 -0.0239992 ]
74,[ 0.3        -0.07554122  0.         -1.        ],[ 0.00300818 -0.02088574],False,[-0.14276951 -0.0239992 ]
75,[ 0.3        -0.07554122  0.         -1.        ],[ 0.00692233 -0.02180974],False,[-0.14276951 -0.0239992 ]
76,[ 0.3        -0.07554122  0.         -1.        ],[ 0.01083277 -0.02273196],False,[-0.14276951 -0.0239992 ]
77,[ 0.3        -0.07554122  0.         -1.        ],[ 0.01473478 -0.02365238],False,[-0.14276951 -0.0239992 ]
78,[ 0.3        -0.07554122  0.         -1.        ],[ 0.01862572 -0.02457105],False,[-0.14276951 -0.0239992 ]
79,[ 0.3        -0.07554122  0.         -1.        ],[ 0.02250445 -0.02548801],False,[-0.14276951 -0.0239992 ]
80,[ 0.3        -0.07554122  0.         -1.        ],[ 0.02637098 -0.02640335],False,[-0.14276951 -0.0239992 ]
81,[ 0.3        -0.07554122  0.         -1.        ],[ 0.03022604 -0.02731715],False,[-0.14276951 -0.0239992 ]
82,[ 0.3        -0.07554122  0.         -1.        ],[ 0.03407082 -0.02822948],False,[-0.14276951 -0.0239992 ]
83,[ 0.3        -0.07554122  0.         -1.        ],[ 0.03790673 -0.02914042],False,[-0.14276951 -0.0239992 ]
