step,action,eef_pos,good,drop_pos
0,[-0.13800379  0.3         0.06469147  1.        ],[1.17040846e-04 1.85149124e-01 1.10970253e+00],False,[ 0.11879099 -0.00422742  1.0655698 ]
1,[-0.3         0.29612     0.08324038  1.        ],[-0.00206945  0.19149805  1.11142941],False,[ 0.11879099 -0.00422742  1.0655698 ]
2,[-0.0150756   0.3         0.05988347  1.        ],[-0.00338665  0.19694099  1.11297035],False,[ 0.11879099 -0.00422742  1.0655698 ]
3,[-0.08170943  0.3         0.06261871  1.        ],[-0.0041879   0.20168362  1.1139933 ],False,[ 0.11879099 -0.00422742  1.0655698 ]
4,[-0.00723687  0.3         0.06058741  1.        ],[-0.00480257  0.20600769  1.11483069],False,[ 0.11879099 -0.00422742  1.0655698 ]
5,[-0.12259805  0.3         0.06546292  1.        ],[-0.00582481  0.2100569   1.1155802 ],False,[ 0.11879099 -0.00422742  1.0655698 ]
6,[-0.03634426  0.3         0.06096711  1.        ],[-0.00683875  0.21399599  1.11633186],False,[ 0.11879099 -0.00422742  1.0655698 ]
7,[-0.11848609  0.3         0.06502464  1.        ],[-0.00806747  0.21783127  1.11701645],False,[ 0.11879099 -0.00422742  1.0655698 ]
8,[-0.3         0.09453999  0.063276    1.        ],[-0.01050582  0.22061922  1.11793108],False,[ 0.11879099 -0.00422742  1.0655698 ]
9,[-0.07329608  0.3         0.0623446   1.        ],[-0.01244207  0.22370834  1.11900583],False,[ 0.11879099 -0.00422742  1.0655698 ]
10,[-0.3         0.08968942  0.06361577  1.        ],[-0.014895    0.22623431  1.11993695],False,[ 0.11879099 -0.00422742  1.0655698 ]
11,[-0.27379045  0.3         0.08287921  1.        ],[-0.01799101  0.22922374  1.12119642],False,[ 0.11879099 -0.00422742  1.0655698 ]
12,[-0.10402959  0.3         0.06527985  1.        ],[-0.02035436  0.23286232  1.12225189],False,[ 0.11879099 -0.00422742  1.0655698 ]
13,[-0.3         0.15562611  0.06968394  1.        ],[-0.02317741  0.23574382  1.12310202],False,[ 0.11879099 -0.00422742  1.0655698 ]
14,[-0.26422155  0.3         0.08248815  1.        ],[-0.02648492  0.23895457  1.12420764],False,[ 0.11879099 -0.00422742  1.0655698 ]
15,[-0.04503283  0.3         0.0627965   1.        ],[-0.02869388  0.24256797  1.12504509],False,[ 0.11879099 -0.00422742  1.0655698 ]
16,[-0.3         0.19319203  0.07381476  1.        ],[-0.03143779  0.24558266  1.12569225],False,[ 0.11879099 -0.00422742  1.0655698 ]
