step,action,eef_pos,good,drop_pos
0,[ 0.01904727 -0.2354852   0.3         1.        ],[ 0.16128414 -0.1171468   1.18894689],False,[0.06881931 0.11245837 0.88509525]
1,[ 0.15184017 -0.19149258  0.3         1.        ],[ 0.16762833 -0.11955792  1.19310503],False,[0.06881931 0.11245837 0.88509525]
2,[ 0.21053404 -0.12651344  0.3         1.        ],[ 0.17348878 -0.12176855  1.19945846],False,[0.06881931 0.11245837 0.88509525]
3,[-0.05968011 -0.23744306  0.3         1.        ],[ 0.17765567 -0.12447595  1.20610618],False,[0.06881931 0.11245837 0.88509525]
4,[ 0  0  0 -1],[ 0.18095301 -0.12646517  1.21120758],False,[0.06881931 0.11245837 0.88509525]
5,[ 0  0  0 -1],[ 0.18421586 -0.12755983  1.214548  ],False,[0.06881931 0.11245837 0.88509525]
6,[ 0  0  0 -1],[ 0.18720422 -0.12847075  1.21727827],False,[0.06881931 0.11245837 0.88509525]
7,[ 0  0  0 -1],[ 0.18985987 -0.12925007  1.21962928],False,[0.06881931 0.11245837 0.88509525]
8,[ 0  0  0 -1],[ 0.19217284 -0.12990458  1.22165451],False,[0.06881931 0.11245837 0.88509525]
9,[ 0  0  0 -1],[ 0.19415084 -0.13044395  1.22337607],False,[0.06881931 0.11245837 0.88509525]
10,[ 0  0  0 -1],[ 0.19581035 -0.13089065  1.22486537],False,[0.06881931 0.11245837 0.88509525]
11,[ 0  0  0 -1],[ 0.19715492 -0.13127242  1.22613601],False,[0.06881931 0.11245837 0.88509525]
12,[ 0  0  0 -1],[ 0.19823087 -0.13159999  1.22718116],False,[0.06881931 0.11245837 0.88509525]
13,[ 0  0  0 -1],[ 0.19907737 -0.13187953  1.22800078],False,[0.06881931 0.11245837 0.88509525]
14,[ 0  0  0 -1],[ 0.19973803 -0.13211484  1.22864484],False,[0.06881931 0.11245837 0.88509525]
15,[ 0  0  0 -1],[ 0.20023634 -0.13230882  1.22914059],False,[0.06881931 0.11245837 0.88509525]
16,[ 0  0  0 -1],[ 0.20059444 -0.13246635  1.22950538],False,[0.06881931 0.11245837 0.88509525]
17,[ 0  0  0 -1],[ 0.20083635 -0.13259306  1.22976024],False,[0.06881931 0.11245837 0.88509525]
18,[ 0  0  0 -1],[ 0.20098409 -0.13269452  1.22992514],False,[0.06881931 0.11245837 0.88509525]
19,[ 0  0  0 -1],[ 0.20105744 -0.13277598  1.23001842],False,[0.06881931 0.11245837 0.88509525]
20,[ 0  0  0 -1],[ 0.20107398 -0.1328422   1.23005661],False,[0.06881931 0.11245837 0.88509525]
21,[ 0  0  0 -1],[ 0.20104905 -0.13289738  1.23005436],False,[0.06881931 0.11245837 0.88509525]
22,[ 0  0  0 -1],[ 0.20099585 -0.13294511  1.23002436],False,[0.06881931 0.11245837 0.88509525]
23,[ 0  0  0 -1],[ 0.20092552 -0.13298838  1.22997743],False,[0.06881931 0.11245837 0.88509525]
24,[ 0  0  0 -1],[ 0.20084727 -0.13302962  1.22992255],False,[0.06881931 0.11245837 0.88509525]
25,[ 0  0  0 -1],[ 0.20076868 -0.13307007  1.22986702],False,[0.06881931 0.11245837 0.88509525]
26,[ 0  0  0 -1],[ 0.2006958  -0.13310992  1.22981656],False,[0.06881931 0.11245837 0.88509525]
27,[ 0  0  0 -1],[ 0.20063314 -0.13314963  1.22977549],False,[0.06881931 0.11245837 0.88509525]
28,[ 0  0  0 -1],[ 0.20058386 -0.13318965  1.2297469 ],False,[0.06881931 0.11245837 0.88509525]
29,[ 0  0  0 -1],[ 0.20055163 -0.13323068  1.2297325 ],False,[0.06881931 0.11245837 0.88509525]
30,[ 0  0  0 -1],[ 0.20054071 -0.13327439  1.22972904],False,[0.06881931 0.11245837 0.88509525]
31,[ 0  0  0 -1],[ 0.20053161 -0.13331721  1.22972719],False,[0.06881931 0.11245837 0.88509525]
32,[ 0  0  0 -1],[ 0.20052288 -0.1333583   1.2297256 ],False,[0.06881931 0.11245837 0.88509525]
33,[ 0  0  0 -1],[ 0.20051454 -0.13339743  1.2297242 ],False,[0.06881931 0.11245837 0.88509525]
34,[ 0  0  0 -1],[ 0.20050662 -0.13343453  1.22972293],False,[0.06881931 0.11245837 0.88509525]
35,[ 0  0  0 -1],[ 0.20049909 -0.13346964  1.22972177],False,[0.06881931 0.11245837 0.88509525]
36,[ 0  0  0 -1],[ 0.20049195 -0.13350283  1.2297207 ],False,[0.06881931 0.11245837 0.88509525]
37,[ 0  0  0 -1],[ 0.20048517 -0.13353421  1.22971968],False,[0.06881931 0.11245837 0.88509525]
38,[ 0  0  0 -1],[ 0.20047876 -0.13356376  1.2297187 ],False,[0.06881931 0.11245837 0.88509525]
