step,action,eef_pos,good,drop_pos
0,[-0.14426251  0.08839778 -0.24773809  1.        ],[ 0.03758345 -0.05171144  1.17414063],True,[-0.05656674  0.0086338   0.99535119]
1,[-0.13393735  0.08584668 -0.25434452  1.        ],[ 0.0379297  -0.05093142  1.17667924],True,[-0.05656674  0.0086338   0.99535119]
2,[-0.13311052  0.08390536 -0.25542412  1.        ],[ 0.03917386 -0.05009272  1.17650596],True,[-0.05656674  0.0086338   0.99535119]
3,[-0.13475221  0.08265593 -0.25497027  1.        ],[ 0.03988634 -0.04924172  1.17522289],True,[-0.05656674  0.0086338   0.99535119]
4,[-0.13639524  0.08184235 -0.25435835  1.        ],[ 0.03996077 -0.0483723   1.17331789],True,[-0.05656674  0.0086338   0.99535119]
5,[-0.13767901  0.08130887 -0.25383727  1.        ],[ 0.03946331 -0.04747391  1.17096392],True,[-0.05656674  0.0086338   0.99535119]
6,[-0.13859192  0.08097544 -0.25344676  1.        ],[ 0.03848497 -0.04654216  1.16825447],True,[-0.05656674  0.0086338   0.99535119]
7,[-0.13918328  0.08079362 -0.25318058  1.        ],[ 0.03711873 -0.0455828   1.16525907],True,[-0.05656674  0.0086338   0.99535119]
8,[-0.13951156  0.08073656 -0.25301804  1.        ],[ 0.03545162 -0.04460187  1.16203923],True,[-0.05656674  0.0086338   0.99535119]
9,[-0.13963148  0.08078144 -0.25293756  1.        ],[ 0.03356147 -0.04360426  1.15865042],True,[-0.05656674  0.0086338   0.99535119]
10,[-0.1395915   0.08090684 -0.25291955  1.        ],[ 0.03151578 -0.04259242  1.15514146],True,[-0.05656674  0.0086338   0.99535119]
11,[-0.13943426  0.08109089 -0.25294734  1.        ],[ 0.02937106 -0.04156913  1.15155393],True,[-0.05656674  0.0086338   0.99535119]
12,[-0.13919614  0.08131526 -0.25300645  1.        ],[ 0.0271731  -0.04053737  1.14792202],True,[-0.05656674  0.0086338   0.99535119]
13,[-0.13890767  0.08156516 -0.25308454  1.        ],[ 0.02495761 -0.03949987  1.14427273],True,[-0.05656674  0.0086338   0.99535119]
14,[-0.138594    0.08182877 -0.2531714   1.        ],[ 0.02275119 -0.03845886  1.14062636],True,[-0.05656674  0.0086338   0.99535119]
15,[-0.1382753   0.08209685 -0.25325886  1.        ],[ 0.02056762 -0.03741559  1.13700573],True,[-0.05656674  0.0086338   0.99535119]
16,[-0.13795451  0.08235915 -0.25334862  1.        ],[ 0.01841396 -0.03637194  1.1334192 ],True,[-0.05656674  0.0086338   0.99535119]
17,[-0.13763553  0.0826131  -0.25343941  1.        ],[ 0.01629936 -0.0353285   1.12986183],True,[-0.05656674  0.0086338   0.99535119]
18,[-0.13733587  0.08285886 -0.25352173  1.        ],[ 0.01422721 -0.03428508  1.12633379],True,[-0.05656674  0.0086338   0.99535119]
19,[-0.1370626   0.08309429 -0.25359255  1.        ],[ 0.01219738 -0.03324137  1.12283464],True,[-0.05656674  0.0086338   0.99535119]
20,[-0.13681842  0.08331809 -0.25365097  1.        ],[ 0.0102074  -0.03219707  1.11936265],True,[-0.05656674  0.0086338   0.99535119]
21,[-0.13660354  0.08352996 -0.2536971   1.        ],[ 0.00825327 -0.03115176  1.11591504],True,[-0.05656674  0.0086338   0.99535119]
22,[-0.13641643  0.08373038 -0.25373171  1.        ],[ 0.0063302  -0.03010503  1.11248848],True,[-0.05656674  0.0086338   0.99535119]
23,[-0.13625441  0.08392041 -0.25375598  1.        ],[ 0.00443308 -0.0290565   1.1090794 ],True,[-0.05656674  0.0086338   0.99535119]
24,[-0.13611403  0.08410153 -0.25377136  1.        ],[ 0.00255693 -0.02800585  1.10568435],True,[-0.05656674  0.0086338   0.99535119]
25,[-0.13599143  0.08427553 -0.25377936  1.        ],[ 6.97138882e-04 -2.69529083e-02  1.10230013e+00],True,[-0.05656674  0.0086338   0.99535119]
26,[-0.13588268  0.08444446 -0.25378146  1.        ],[-0.00115035 -0.02589765  1.09892393],True,[-0.05656674  0.0086338   0.99535119]
27,[-0.13578392  0.08461064 -0.25377897  1.        ],[-0.00298897 -0.02484008  1.09555337],True,[-0.05656674  0.0086338   0.99535119]
28,[-0.1356916   0.08477628 -0.25377307  1.        ],[-0.0048215  -0.02378042  1.09218654],True,[-0.05656674  0.0086338   0.99535119]
29,[-0.13560245  0.08494401 -0.25376464  1.        ],[-0.00665011 -0.02271886  1.08882196],True,[-0.05656674  0.0086338   0.99535119]
30,[-0.13551363  0.08511618 -0.25375439  1.        ],[-0.00847636 -0.0216554   1.08545857],True,[-0.05656674  0.0086338   0.99535119]
31,[-0.13542281  0.08529459 -0.25374297  1.        ],[-0.01030135 -0.02058994  1.08209561],True,[-0.05656674  0.0086338   0.99535119]
32,[-0.1353281   0.08548062 -0.2537309   1.        ],[-0.01212572 -0.01952233  1.07873261],True,[-0.05656674  0.0086338   0.99535119]
33,[-0.13522808  0.08567535 -0.25371855  1.        ],[-0.01394978 -0.0184524   1.07536933],True,[-0.05656674  0.0086338   0.99535119]
34,[-0.13512166  0.08587971 -0.25370615  1.        ],[-0.01577358 -0.01737997  1.07200566],True,[-0.05656674  0.0086338   0.99535119]
35,[-0.13500804  0.08609455 -0.25369382  1.        ],[-0.01759698 -0.01630489  1.06864165],True,[-0.05656674  0.0086338   0.99535119]
36,[-0.13488669  0.08632071 -0.25368152  1.        ],[-0.01941969 -0.015227    1.06527739],True,[-0.05656674  0.0086338   0.99535119]
37,[-0.1347572   0.08655908 -0.25366912  1.        ],[-0.02124135 -0.01414607  1.06191303],True,[-0.05656674  0.0086338   0.99535119]
38,[-0.13461935  0.0868104  -0.25365643  1.        ],[-0.02306153 -0.01306176  1.05854875],True,[-0.05656674  0.0086338   0.99535119]
39,[-0.13447307  0.08707509 -0.2536433   1.        ],[-0.02487983 -0.01197399  1.05518469],True,[-0.05656674  0.0086338   0.99535119]
40,[-0.13431816  0.08735471 -0.25362923  1.        ],[-0.02669581 -0.01088287  1.051821  ],True,[-0.05656674  0.0086338   0.99535119]
41,[ 0  0  0 -1],[-0.02786746 -0.0102857   1.04989587],True,[-0.05656674  0.0086338   0.99535119]
42,[ 0  0  0 -1],[-0.02865479 -0.01011448  1.04913264],True,[-0.05656674  0.0086338   0.99535119]
43,[ 0  0  0 -1],[-0.02933877 -0.01005893  1.04861303],True,[-0.05656674  0.0086338   0.99535119]
44,[ 0  0  0 -1],[-0.0299059  -0.01004528  1.0482043 ],True,[-0.05656674  0.0086338   0.99535119]
