step,action,eef_pos,good,drop_pos
0,[0.  0.  0.3 1. ],[-0.17339004 -0.15696977  0.99765961],True,[ 0.07800053 -0.03616745  1.00270518]
1,[0.  0.  0.3 1. ],[-0.17551294 -0.15880484  0.99935607],True,[ 0.07800053 -0.03616745  1.00270518]
2,[0.  0.  0.3 1. ],[-0.17768505 -0.15985943  1.00115901],True,[ 0.07800053 -0.03616745  1.00270518]
3,[0.  0.  0.3 1. ],[-0.17970716 -0.16049884  1.00313673],True,[ 0.07800053 -0.03616745  1.00270518]
4,[ 2.70197695e-01  1.30357205e-01 -4.52466076e-04  1.00000000e+00],[-0.17968907 -0.15989607  1.0038306 ],True,[ 0.07800053 -0.03616745  1.00270518]
5,[ 0.27043942  0.1298504  -0.0011811   1.        ],[-0.1775516  -0.15801195  1.00378532],True,[ 0.07800053 -0.03616745  1.00270518]
6,[ 0.27079321  0.12911129 -0.00114456  1.        ],[-0.17468431 -0.15575592  1.00380802],True,[ 0.07800053 -0.03616745  1.00270518]
7,[ 0.27116255  0.12833344 -0.00118349  1.        ],[-0.17145686 -0.15345351  1.00391187],True,[ 0.07800053 -0.03616745  1.00270518]
8,[ 0.27148729  0.12764375 -0.00131325  1.        ],[-0.16801375 -0.15122814  1.00405618],True,[ 0.07800053 -0.03616745  1.00270518]
9,[ 0.27174395  0.12709444 -0.00149229  1.        ],[-0.16443945 -0.14911861  1.00420626],True,[ 0.07800053 -0.03616745  1.00270518]
10,[ 0.2719312   0.12669092 -0.00168368  1.        ],[-0.16079293 -0.14712807  1.00433503],True,[ 0.07800053 -0.03616745  1.00270518]
11,[ 0.27205733  0.12641741 -0.00185689  1.        ],[-0.15711849 -0.14524199  1.00442661],True,[ 0.07800053 -0.03616745  1.00270518]
12,[ 0.27213552  0.12624694 -0.00199245  1.        ],[-0.1534483  -0.14343782  1.00447429],True,[ 0.07800053 -0.03616745  1.00270518]
13,[ 0.27218054  0.12614843 -0.00208045  1.        ],[-0.14980381 -0.1416916   1.0044776 ],True,[ 0.07800053 -0.03616745  1.00270518]
14,[ 0.27220632  0.12609216 -0.00211789  1.        ],[-0.14619733 -0.1399819   1.00443978],True,[ 0.07800053 -0.03616745  1.00270518]
15,[ 0.2722245   0.1260531  -0.00210618  1.        ],[-0.14263402 -0.13829161  1.00436601],True,[ 0.07800053 -0.03616745  1.00270518]
16,[ 0.27224381  0.12601232 -0.00204931  1.        ],[-0.13911386 -0.13660851  1.00426219],True,[ 0.07800053 -0.03616745  1.00270518]
17,[ 0.27227009  0.12595708 -0.00195255  1.        ],[-0.13563343 -0.13492477  1.00413428],True,[ 0.07800053 -0.03616745  1.00270518]
18,[ 0.27230659  0.12588012 -0.00182159  1.        ],[-0.13218731 -0.13323623  1.00398787],True,[ 0.07800053 -0.03616745  1.00270518]
19,[ 0.27235453  0.12577856 -0.00166207  1.        ],[-0.12876923 -0.13154141  1.00382803],True,[ 0.07800053 -0.03616745  1.00270518]
20,[ 0.27241369  0.12565267 -0.00147932  1.        ],[-0.12537284 -0.12984059  1.00365914],True,[ 0.07800053 -0.03616745  1.00270518]
21,[ 0.27248288  0.12550477 -0.00127813  1.        ],[-0.12199218 -0.12813508  1.00348494],True,[ 0.07800053 -0.03616745  1.00270518]
22,[ 0.27256043  0.12533826 -0.0010627   1.        ],[-0.11862205 -0.12642669  1.0033085 ],True,[ 0.07800053 -0.03616745  1.00270518]
