step,action,eef_pos,good,drop_pos
0,[0.3        0.28716594 0.25358113 1.        ],[ 0.01549414 -0.07149266  1.11929964],False,[-0.12311079 -0.14461453  1.01211967]
1,[0.3        0.19742593 0.24562473 1.        ],[ 0.02075528 -0.06948832  1.12691848],False,[-0.12311079 -0.14461453  1.01211967]
2,[0.3        0.0792665  0.21947913 1.        ],[ 0.02684607 -0.06798447  1.13241279],False,[-0.12311079 -0.14461453  1.01211967]
3,[0.3        0.22810694 0.26920795 1.        ],[ 0.03266181 -0.06591486  1.13726449],False,[-0.12311079 -0.14461453  1.01211967]
4,[0.13344219 0.3        0.23543987 1.        ],[ 0.03724285 -0.06275183  1.14187912],False,[-0.12311079 -0.14461453  1.01211967]
5,[0.3        0.21608751 0.26646602 1.        ],[ 0.0417322  -0.05957452  1.1463816 ],False,[-0.12311079 -0.14461453  1.01211967]
6,[0.10652062 0.3        0.23043407 1.        ],[ 0.04534697 -0.05615263  1.15046678],False,[-0.12311079 -0.14461453  1.01211967]
7,[0.3        0.12362548 0.23592519 1.        ],[ 0.04902015 -0.05337352  1.15425305],False,[-0.12311079 -0.14461453  1.01211967]
8,[0.25629952 0.3        0.28787039 1.        ],[ 0.05274639 -0.05031043  1.15789206],False,[-0.12311079 -0.14461453  1.01211967]
9,[ 0.3        -0.07154226  0.22530046  1.        ],[ 0.05636701 -0.04869104  1.16118545],False,[-0.12311079 -0.14461453  1.01211967]
10,[0.23482391 0.3        0.27906375 1.        ],[ 0.05962116 -0.04661386  1.16434471],False,[-0.12311079 -0.14461453  1.01211967]
11,[0.3        0.17216205 0.25393024 1.        ],[ 0.06289709 -0.04390366  1.16755344],False,[-0.12311079 -0.14461453  1.01211967]
12,[ 0.3        -0.0865277   0.22943677  1.        ],[ 0.06630038 -0.04299415  1.17035906],False,[-0.12311079 -0.14461453  1.01211967]
13,[0.3        0.04302688 0.22311091 1.        ],[ 0.0696846  -0.04264155  1.17288335],False,[-0.12311079 -0.14461453  1.01211967]
14,[0.3        0.18033001 0.25800585 1.        ],[ 0.07307082 -0.04125437  1.17554812],False,[-0.12311079 -0.14461453  1.01211967]
15,[0.23523351 0.3        0.28097    1.        ],[ 0.07613051 -0.03855332  1.17861022],False,[-0.12311079 -0.14461453  1.01211967]
16,[ 0.3        -0.06483028  0.22639484  1.        ],[ 0.07932219 -0.03719673  1.18158468],False,[-0.12311079 -0.14461453  1.01211967]
17,[0.3        0.19014164 0.26265003 1.        ],[ 0.08273564 -0.035905    1.18443199],False,[-0.12311079 -0.14461453  1.01211967]
18,[0.21062079 0.3        0.27132605 1.        ],[ 0.0857317  -0.03312736  1.18755537],False,[-0.12311079 -0.14461453  1.01211967]
19,[0.3        0.26595272 0.29709873 1.        ],[ 0.08890233 -0.02985488  1.19102709],False,[-0.12311079 -0.14461453  1.01211967]
