step,action,eef_pos,good,drop_pos
0,[0.  0.  0.3 1. ],[-0.03914348  0.04674651  1.02625184],True,[-0.07392548 -0.11309515  1.05540688]
1,[0.  0.  0.3 1. ],[-0.03809821  0.05000931  1.03030847],True,[-0.07392548 -0.11309515  1.05540688]
2,[0.  0.  0.3 1. ],[-0.03704381  0.05202177  1.0348775 ],True,[-0.07392548 -0.11309515  1.05540688]
3,[0.  0.  0.3 1. ],[-0.03595405  0.05322851  1.03957714],True,[-0.07392548 -0.11309515  1.05540688]
4,[0.  0.  0.3 1. ],[-0.03490487  0.05389166  1.04427256],True,[-0.07392548 -0.11309515  1.05540688]
5,[0.  0.  0.3 1. ],[-0.03396406  0.05420835  1.04889731],True,[-0.07392548 -0.11309515  1.05540688]
6,[0.  0.  0.3 1. ],[-0.0331742   0.05432361  1.05341685],True,[-0.07392548 -0.11309515  1.05540688]
7,[0.  0.  0.3 1. ],[-0.03255452  0.05433555  1.05781699],True,[-0.07392548 -0.11309515  1.05540688]
8,[-0.07195656 -0.29121243 -0.00419191  1.        ],[-0.0323819   0.05264068  1.0603226 ],True,[-0.07392548 -0.11309515  1.05540688]
9,[-0.07291165 -0.29087705 -0.00862741  1.        ],[-0.03241341  0.04951509  1.06119486],True,[-0.07392548 -0.11309515  1.05540688]
10,[-0.07416175 -0.29050493 -0.0103403   1.        ],[-0.03258059  0.04604417  1.06164543],True,[-0.07392548 -0.11309515  1.05540688]
11,[-0.07538236 -0.29015189 -0.01137449  1.        ],[-0.03294024  0.04242622  1.0619095 ],True,[-0.07392548 -0.11309515  1.05540688]
12,[-0.07638773 -0.28985864 -0.0121195   1.        ],[-0.03346557  0.03872971  1.06205643],True,[-0.07392548 -0.11309515  1.05540688]
13,[-0.07718208 -0.28962393 -0.01268482  1.        ],[-0.03413403  0.03498885  1.06210782],True,[-0.07392548 -0.11309515  1.05540688]
14,[-0.07777675 -0.28944641 -0.01309773  1.        ],[-0.03492436  0.03122397  1.06207907],True,[-0.07392548 -0.11309515  1.05540688]
15,[-0.07818729 -0.28932305 -0.01337604  1.        ],[-0.03581407  0.02744745  1.06198519],True,[-0.07392548 -0.11309515  1.05540688]
16,[-0.07843636 -0.28924806 -0.0135387   1.        ],[-0.03678121  0.02366647  1.06184061],True,[-0.07392548 -0.11309515  1.05540688]
17,[-0.07855013 -0.28921405 -0.0136056   1.        ],[-0.03780576  0.01988486  1.06165846],True,[-0.07392548 -0.11309515  1.05540688]
18,[-0.07855537 -0.28921306 -0.01359632  1.        ],[-0.03887031  0.01610436  1.0614502 ],True,[-0.07392548 -0.11309515  1.05540688]
19,[-0.07847757 -0.28923733 -0.0135291   1.        ],[-0.03996038  0.0123255   1.06122537],True,[-0.07392548 -0.11309515  1.05540688]
20,[-0.0783397  -0.28927978 -0.01342021  1.        ],[-0.04106439  0.00854816  1.06099162],True,[-0.07392548 -0.11309515  1.05540688]
21,[-0.07816163 -0.28933425 -0.01328357  1.        ],[-0.04217347  0.00477193  1.06075482],True,[-0.07392548 -0.11309515  1.05540688]
22,[-0.0779598  -0.28939567 -0.01313066  1.        ],[-4.32811641e-02  9.96276321e-04  1.06051925e+00],True,[-0.07392548 -0.11309515  1.05540688]
23,[-0.07774733 -0.28946005 -0.01297053  1.        ],[-0.04438307 -0.0027793   1.06028781],True,[-0.07392548 -0.11309515  1.05540688]
24,[-0.07753415 -0.28952437 -0.01281002  1.        ],[-0.04547646 -0.00655524  1.06006231],True,[-0.07392548 -0.11309515  1.05540688]
25,[-0.07732738 -0.28958652 -0.01265396  1.        ],[-0.04655991 -0.01033188  1.0598437 ],True,[-0.07392548 -0.11309515  1.05540688]
26,[-0.07713167 -0.28964516 -0.01250549  1.        ],[-0.04763301 -0.01410949  1.05963225],True,[-0.07392548 -0.11309515  1.05540688]
27,[-0.07694967 -0.28969954 -0.01236633  1.        ],[-0.04869604 -0.01788822  1.05942778],True,[-0.07392548 -0.11309515  1.05540688]
28,[-0.07678238 -0.28974941 -0.01223707  1.        ],[-0.04974974 -0.02166819  1.0592298 ],True,[-0.07392548 -0.11309515  1.05540688]
