step,action,eef_pos,good,drop_pos
0,[ 0.20313191 -0.19881578 -0.09596727  1.        ],[-0.09627423  0.18101966  1.0043498 ],True,[0.06021781 0.02013047 0.93032783]
1,[ 0.19864838 -0.20423005 -0.09396225  1.        ],[-0.09383395  0.18224208  1.00316201],True,[0.06021781 0.02013047 0.93032783]
2,[ 0.19649833 -0.20677894 -0.09290251  1.        ],[-0.09113238  0.18208548  1.00188056],True,[0.06021781 0.02013047 0.93032783]
3,[ 0.19493056 -0.20858898 -0.09215591  1.        ],[-0.08838204  0.18111826  1.00063364],True,[0.06021781 0.02013047 0.93032783]
4,[ 0.19374919 -0.20990098 -0.09166694  1.        ],[-0.08564998  0.17953935  0.99942691],True,[0.06021781 0.02013047 0.93032783]
5,[ 0.19289986 -0.21080699 -0.09137866  1.        ],[-0.08295039  0.17749325  0.99824505],True,[0.06021781 0.02013047 0.93032783]
6,[ 0.19232484 -0.21139312 -0.09123652  1.        ],[-0.08029039  0.17511868  0.99706743],True,[0.06021781 0.02013047 0.93032783]
7,[ 0.19196321 -0.21174589 -0.09118008  1.        ],[-0.0776791   0.17251596  0.995879  ],True,[0.06021781 0.02013047 0.93032783]
8,[ 0.19177469 -0.21192411 -0.0911627   1.        ],[-0.07511884  0.16976275  0.9946709 ],True,[0.06021781 0.02013047 0.93032783]
9,[ 0.19172357 -0.21197536 -0.09115109  1.        ],[-0.07260702  0.16691833  0.99343923],True,[0.06021781 0.02013047 0.93032783]
10,[ 0.19177793 -0.21193833 -0.09112283  1.        ],[-0.07013827  0.16402615  0.9921836 ],True,[0.06021781 0.02013047 0.93032783]
11,[ 0.19191049 -0.21184351 -0.0910642   1.        ],[-0.06770597  0.16111649  0.99090592],True,[0.06021781 0.02013047 0.93032783]
12,[ 0.19209889 -0.21171401 -0.0909681   1.        ],[-0.06530319  0.15820915  0.98960937],True,[0.06021781 0.02013047 0.93032783]
13,[ 0.19232548 -0.21156658 -0.09083222  1.        ],[-0.0629233   0.15531595  0.98829776],True,[0.06021781 0.02013047 0.93032783]
14,[ 0.19257689 -0.21141275 -0.09065754  1.        ],[-0.06056031  0.15244296  0.986975  ],True,[0.06021781 0.02013047 0.93032783]
15,[ 0.19284333 -0.21125997 -0.09044709  1.        ],[-0.058209    0.14959223  0.98564477],True,[0.06021781 0.02013047 0.93032783]
16,[ 0.19311794 -0.21111257 -0.09020503  1.        ],[-0.05586495  0.14676328  0.98431041],True,[0.06021781 0.02013047 0.93032783]
17,[ 0.19339609 -0.21097267 -0.089936    1.        ],[-0.05352451  0.14395413  0.98297474],True,[0.06021781 0.02013047 0.93032783]
18,[ 0.19367489 -0.21084089 -0.0896446   1.        ],[-0.05118476  0.14116212  0.98164014],True,[0.06021781 0.02013047 0.93032783]
19,[ 0.19395263 -0.21071692 -0.08933509  1.        ],[-0.04884339  0.1383844   0.98030848],True,[0.06021781 0.02013047 0.93032783]
20,[ 0.19422845 -0.2105999  -0.08901117  1.        ],[-0.04649865  0.13561829  0.97898122],True,[0.06021781 0.02013047 0.93032783]
21,[ 0.19450205 -0.21048878 -0.08867595  1.        ],[-0.04414926  0.13286141  0.97765943],True,[0.06021781 0.02013047 0.93032783]
22,[ 0.19477348 -0.21038243 -0.08833189  1.        ],[-0.04179431  0.13011181  0.97634389],True,[0.06021781 0.02013047 0.93032783]
23,[ 0.19504299 -0.21027982 -0.08798082  1.        ],[-0.03943319  0.12736794  0.97503511],True,[0.06021781 0.02013047 0.93032783]
24,[ 0.19531096 -0.21018006 -0.08762404  1.        ],[-0.03706554  0.12462862  0.97373344],True,[0.06021781 0.02013047 0.93032783]
25,[ 0.1955778  -0.21008239 -0.08726234  1.        ],[-0.03469118  0.12189301  0.97243903],True,[0.06021781 0.02013047 0.93032783]
26,[ 0.19584395 -0.20998621 -0.08689614  1.        ],[-0.03231004  0.11916052  0.97115199],True,[0.06021781 0.02013047 0.93032783]
27,[ 0.19610986 -0.20989107 -0.08652551  1.        ],[-0.02992216  0.11643076  0.96987231],True,[0.06021781 0.02013047 0.93032783]
28,[ 0.19637594 -0.20979661 -0.08615029  1.        ],[-0.02752763  0.11370349  0.96859997],True,[0.06021781 0.02013047 0.93032783]
29,[ 0.19664263 -0.20970257 -0.08577009  1.        ],[-0.02512656  0.11097856  0.96733492],True,[0.06021781 0.02013047 0.93032783]
30,[ 0.19691032 -0.20960876 -0.0853844   1.        ],[-0.02271908  0.10825591  0.9660771 ],True,[0.06021781 0.02013047 0.93032783]
31,[ 0.19717941 -0.20951501 -0.08499259  1.        ],[-0.02030502  0.10553563  0.9648264 ],True,[0.06021781 0.02013047 0.93032783]
32,[ 0.19744978 -0.20942174 -0.08459383  1.        ],[-0.01788509  0.10281749  0.9635813 ],True,[0.06021781 0.02013047 0.93032783]
33,[ 0.19772358 -0.20932864 -0.08418377  1.        ],[-0.01546332  0.10010003  0.96233935],True,[0.06021781 0.02013047 0.93032783]
34,[ 0.19801007 -0.20923018 -0.08375407  1.        ],[-0.01304301  0.09738247  0.96109886],True,[0.06021781 0.02013047 0.93032783]
35,[ 0.19831734 -0.20912147 -0.08329731  1.        ],[-0.01062616  0.09466468  0.95985883],True,[0.06021781 0.02013047 0.93032783]
36,[ 0.19865141 -0.20899909 -0.08280698  1.        ],[-0.00821425  0.09194675  0.95861844],True,[0.06021781 0.02013047 0.93032783]
37,[ 0.19901784 -0.20886002 -0.08227631  1.        ],[-0.00580878  0.08922877  0.95737685],True,[0.06021781 0.02013047 0.93032783]
38,[ 0.19942308 -0.20870068 -0.08169738  1.        ],[-0.0034111   0.0865109   0.95613363],True,[0.06021781 0.02013047 0.93032783]
39,[ 0.19987384 -0.20851703 -0.0810623   1.        ],[-0.00102181  0.08379353  0.95488917],True,[0.06021781 0.02013047 0.93032783]
40,[ 0.20037577 -0.20830526 -0.0803646   1.        ],[0.00135999 0.08107748 0.95364524],True,[0.06021781 0.02013047 0.93032783]
41,[ 0.20093101 -0.20806316 -0.07960184  1.        ],[0.00373804 0.07836423 0.9524047 ],True,[0.06021781 0.02013047 0.93032783]
42,[ 0.20153469 -0.2077934  -0.07877609  1.        ],[0.00611607 0.07565495 0.95117023],True,[0.06021781 0.02013047 0.93032783]
43,[ 0.20218187 -0.20749873 -0.07788945  1.        ],[0.00849735 0.07295043 0.94994418],True,[0.06021781 0.02013047 0.93032783]
44,[ 0.20286858 -0.20718126 -0.07694327  1.        ],[0.01088466 0.07025118 0.94872862],True,[0.06021781 0.02013047 0.93032783]
45,[ 0.20359206 -0.20684223 -0.0759379   1.        ],[0.01328026 0.06755754 0.94752534],True,[0.06021781 0.02013047 0.93032783]
46,[ 0.20435088 -0.20648207 -0.07487238  1.        ],[0.01568595 0.0648697  0.94633585],True,[0.06021781 0.02013047 0.93032783]
47,[ 0.20514499 -0.20610028 -0.07374419  1.        ],[0.01810313 0.06218783 0.94516149],True,[0.06021781 0.02013047 0.93032783]
48,[ 0.2059758  -0.20569546 -0.07254895  1.        ],[0.02053289 0.05951205 0.94400342],True,[0.06021781 0.02013047 0.93032783]
