step,action,eef_pos,good,target_pos
0,[-0.3        -0.16540214  0.         -1.        ],[ 0.01682869 -0.02428636],True,[-0.13667462 -0.10939155]
1,[-0.3        -0.16540214  0.         -1.        ],[ 0.01564061 -0.02615291],True,[-0.13667462 -0.10939155]
2,[-0.3        -0.16540214  0.         -1.        ],[ 0.0141429  -0.02812158],True,[-0.13667462 -0.10939155]
3,[-0.3        -0.16540214  0.         -1.        ],[ 0.01216478 -0.0301387 ],True,[-0.13667462 -0.10939155]
4,[-0.3        -0.16540214  0.         -1.        ],[ 0.00973767 -0.03218603],True,[-0.13667462 -0.10939155]
5,[-0.3        -0.16540214  0.         -1.        ],[ 0.00691828 -0.03425517],True,[-0.13667462 -0.10939155]
6,[-0.3        -0.16540214  0.         -1.        ],[ 0.00376292 -0.03633755],True,[-0.13667462 -0.10939155]
7,[-0.3        -0.16540214  0.         -1.        ],[ 0.00033173 -0.03842622],True,[-0.13667462 -0.10939155]
8,[-0.3        -0.16540214  0.         -1.        ],[-0.0033164  -0.04051641],True,[-0.13667462 -0.10939155]
9,[-0.3        -0.16540214  0.         -1.        ],[-0.00712749 -0.04260541],True,[-0.13667462 -0.10939155]
10,[-0.3        -0.16540214  0.         -1.        ],[-0.01105445 -0.04469215],True,[-0.13667462 -0.10939155]
11,[-0.3        -0.16540214  0.         -1.        ],[-0.01505787 -0.04677669],True,[-0.13667462 -0.10939155]
12,[-0.3        -0.16540214  0.         -1.        ],[-0.01910606 -0.04885978],True,[-0.13667462 -0.10939155]
13,[-0.3        -0.16540214  0.         -1.        ],[-0.02317461 -0.0509425 ],True,[-0.13667462 -0.10939155]
14,[-0.3        -0.16540214  0.         -1.        ],[-0.0272456  -0.05302598],True,[-0.13667462 -0.10939155]
15,[-0.3        -0.16540214  0.         -1.        ],[-0.03130667 -0.05511122],True,[-0.13667462 -0.10939155]
16,[-0.3        -0.16540214  0.         -1.        ],[-0.03535005 -0.05719903],True,[-0.13667462 -0.10939155]
17,[-0.3        -0.16540214  0.         -1.        ],[-0.03937157 -0.05928999],True,[-0.13667462 -0.10939155]
18,[-0.3        -0.16540214  0.         -1.        ],[-0.04336986 -0.0613844 ],True,[-0.13667462 -0.10939155]
19,[-0.3        -0.16540214  0.         -1.        ],[-0.04734546 -0.06348241],True,[-0.13667462 -0.10939155]
20,[-0.3        -0.16540214  0.         -1.        ],[-0.05130025 -0.06558397],True,[-0.13667462 -0.10939155]
21,[-0.3        -0.16540214  0.         -1.        ],[-0.05523688 -0.06768891],True,[-0.13667462 -0.10939155]
22,[-0.3        -0.16540214  0.         -1.        ],[-0.05915836 -0.069797  ],True,[-0.13667462 -0.10939155]
23,[-0.3        -0.16540214  0.         -1.        ],[-0.06306774 -0.07190795],True,[-0.13667462 -0.10939155]
24,[-0.3        -0.16540214  0.         -1.        ],[-0.06696789 -0.07402148],True,[-0.13667462 -0.10939155]
25,[-0.3        -0.16540214  0.         -1.        ],[-0.07086126 -0.07613618],True,[-0.13667462 -0.10939155]
26,[-0.3        -0.16540214  0.         -1.        ],[-0.07475044 -0.078253  ],True,[-0.13667462 -0.10939155]
27,[-0.3        -0.16540214  0.         -1.        ],[-0.07863857 -0.08037692],True,[-0.13667462 -0.10939155]
28,[-0.3        -0.16540214  0.         -1.        ],[-0.0825276  -0.08250813],True,[-0.13667462 -0.10939155]
29,[-0.3        -0.16540214  0.         -1.        ],[-0.08641839 -0.08464415],True,[-0.13667462 -0.10939155]
30,[-0.3        -0.16540214  0.         -1.        ],[-0.09031127 -0.0867827 ],True,[-0.13667462 -0.10939155]
31,[-0.3        -0.16540214  0.         -1.        ],[-0.09420627 -0.08892229],True,[-0.13667462 -0.10939155]
32,[-0.3        -0.16540214  0.         -1.        ],[-0.09810328 -0.09106208],True,[-0.13667462 -0.10939155]
