step,action,eef_pos,drawer_pos 
59,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13936759 -0.00372141  1.02364134  1.        ],-0.02072141392759844
60,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13936885 -0.00644135  1.02364194  1.        ],-0.023441345283919647
61,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13937026 -0.00925817  1.02364256  1.        ],-0.026258171850122823
62,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13937171 -0.01216451  1.02364314  1.        ],-0.029164512175520955
63,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13937325 -0.01515137  1.0236437   1.        ],-0.032151369172358585
64,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13937498 -0.0182092   1.02364421  1.        ],-0.03520919533273684
65,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13937691 -0.02132846  1.02364465  1.        ],-0.03832845546824992
66,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13937906 -0.0244998   1.02364504  1.        ],-0.041499796738036665
67,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13938142 -0.02771436  1.02364536  1.        ],-0.04471436044088972
68,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13938399 -0.030964    1.02364563  1.        ],-0.047964001908612885
69,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13938666 -0.03424159  1.02364587  1.        ],-0.051241588323533004
70,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13938935 -0.03754095  1.02364609  1.        ],-0.05454094555964018
71,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13939202 -0.04085675  1.0236463   1.        ],-0.05785675345403473
72,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13939466 -0.04418448  1.02364651  1.        ],-0.061184476063103906
73,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13939727 -0.04752031  1.02364671  1.        ],-0.06452030700831089
74,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13939985 -0.05086111  1.02364692  1.        ],-0.06786110735362383
75,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13940241 -0.05420435  1.02364711  1.        ],-0.07120434817205334
76,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13940497 -0.05754805  1.02364728  1.        ],-0.07454805364003642
77,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13940752 -0.06089074  1.02364744  1.        ],-0.07789074295197224
78,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13941009 -0.06423137  1.02364757  1.        ],-0.08123137090702094
79,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13941267 -0.06756927  1.02364768  1.        ],-0.08456926795474416
80,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13941526 -0.07090408  1.02364776  1.        ],-0.0879040809376449
81,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13941788 -0.07423572  1.02364781  1.        ],-0.0912357159513263
82,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13942051 -0.07756428  1.02364782  1.        ],-0.09456428465368598
83,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13942316 -0.08089006  1.02364781  1.        ],-0.09789005509568686
84,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13942583 -0.08421341  1.02364776  1.        ],-0.10121340782324748
85,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13942851 -0.0875348   1.02364768  1.        ],-0.10453479764499457
86,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.1394312  -0.09085472  1.02364757  1.        ],-0.10785472117262113
87,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13943391 -0.09417369  1.02364743  1.        ],-0.11117368999793024
88,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13943662 -0.09749221  1.02364727  1.        ],-0.1144922091853895
89,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13943935 -0.10081076  1.02364707  1.        ],-0.11781076063165426
90,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13944208 -0.10412979  1.02364684  1.        ],-0.12112979076664931
91,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13944482 -0.1074497   1.02364659  1.        ],-0.1244497020358054
92,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13944757 -0.11077085  1.02364631  1.        ],-0.12777084759937318
93,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13945032 -0.11409353  1.02364601  1.        ],-0.13109352870424673
94,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13945308 -0.11741799  1.02364569  1.        ],-0.13441799421903677
95,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13945584 -0.12074444  1.02364535  1.        ],-0.13774444186860807
96,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.1394586  -0.12407302  1.02364498  1.        ],-0.14107302075529135
97,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13946136 -0.12740383  1.0236446   1.        ],-0.14440383480648683
98,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13946411 -0.13073695  1.0236442   1.        ],-0.14773694684061522
99,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13946687 -0.13407238  1.02364378  1.        ],-0.15107238299352255
100,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13946962 -0.13741014  1.02364335  1.        ],-0.15441013729417147
101,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13947237 -0.14075018  1.02364291  1.        ],-0.1577501762211544
102,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.1394751  -0.14409244  1.02364246  1.        ],-0.16109244310994703
103,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13947783 -0.14743686  1.02364199  1.        ],-0.16443686231470167
104,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13948054 -0.15078334  1.02364152  1.        ],-0.16778334305780018
105,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13948323 -0.15413178  1.02364104  1.        ],-0.17113178292555176
106,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.1394859  -0.15748207  1.02364056  1.        ],-0.1744820709894468
107,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13948856 -0.16082322  1.02364     1.        ],-0.17782321613350371
108,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13949122 -0.16416181  1.02363943  1.        ],-0.18116180843994628
109,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13949391 -0.16750124  1.02363884  1.        ],-0.18450123689381442
110,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13949662 -0.17084568  1.02363825  1.        ],-0.18784568029892285
111,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13949932 -0.1741955   1.02363767  1.        ],-0.19119549544993308
112,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.139502   -0.17755011  1.02363711  1.        ],-0.1945501098147872
113,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13950464 -0.18090868  1.02363655  1.        ],-0.19790868422291918
114,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13950724 -0.18427031  1.02363602  1.        ],-0.20127031268862933
115,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13950977 -0.18763411  1.0236355   1.        ],-0.20463410720609454
116,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13951225 -0.19099924  1.02363501  1.        ],-0.2079992448802151
117,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13951466 -0.194365    1.02363453  1.        ],-0.2113649963878645
118,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13951699 -0.19773074  1.02363409  1.        ],-0.21473074180506796
119,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13951925 -0.20109598  1.02363367  1.        ],-0.21809597686408705
120,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13952143 -0.20446031  1.02363327  1.        ],-0.2214603119068066
121,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13952353 -0.20782347  1.0236329   1.        ],-0.2248234654585503
122,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13952554 -0.21118525  1.02363256  1.        ],-0.2281852540911477
123,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13952747 -0.21454558  1.02363225  1.        ],-0.2315455799990236
124,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13952932 -0.21790442  1.02363198  1.        ],-0.23490441747045288
125,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13953109 -0.2212618   1.02363173  1.        ],-0.2382617992049103
126,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13953277 -0.2246178   1.02363152  1.        ],-0.2416178032101094
127,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13953437 -0.22797254  1.02363134  1.        ],-0.24497254081224618
128,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13953589 -0.23132615  1.02363119  1.        ],-0.24832614613509701
129,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13953733 -0.23467877  1.02363108  1.        ],-0.2516787672472133
130,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13953869 -0.23803056  1.02363101  1.        ],-0.25503055904548333
131,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13953998 -0.24138168  1.02363098  1.        ],-0.2583816778371364
132,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13954119 -0.24473228  1.02363098  1.        ],-0.26173227750017747
133,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13954232 -0.24808251  1.02363102  1.        ],-0.26508250704322167
134,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13954339 -0.25143251  1.0236311   1.        ],-0.2684325093479953
135,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13954438 -0.25478242  1.02363121  1.        ],-0.27178242085900134
136,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13954531 -0.25813237  1.02363137  1.        ],-0.27513237198234053
137,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13954618 -0.26148249  1.02363156  1.        ],-0.2784824879664461
138,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13954698 -0.26483289  1.02363179  1.        ],-0.28183289005849077
139,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13954773 -0.2681837   1.02363205  1.        ],-0.28518369675848443
140,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13954843 -0.27153503  1.02363235  1.        ],-0.28853502502576606
141,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13954908 -0.27488699  1.02363268  1.        ],-0.29188699132718116
142,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13954968 -0.27823971  1.02363304  1.        ],-0.295239712450543
