step,action,eef_pos,drawer_pos 
0,[0 0 0 0 0 0 1],[-0.13947858  0.01752363  1.02085045  1.        ],0.0005236298396517
1,[0 0 0 0 0 0 1],[-0.13948169  0.01763178  1.02084828  1.        ],0.0006317848907272695
2,[0 0 0 0 0 0 1],[-0.13948324  0.01766672  1.02084711  1.        ],0.0006667170495321985
3,[0 0 0 0 0 0 1],[-0.13948436  0.017693    1.02084634  1.        ],0.0006929983592400719
4,[0 0 0 0 0 0 1],[-0.13948525  0.01771463  1.02084585  1.        ],0.0007146307188236056
5,[0 0 0 0 0 0 1],[-0.13948583  0.01772695  1.02084559  1.        ],0.000726949603183473
6,[0 0 0 0 0 0 1],[-0.13948605  0.01772948  1.0208454   1.        ],0.0007294777207732042
7,[0 0 0 0 0 0 1],[-0.13948607  0.0177275   1.02084533  1.        ],0.0007275019095294849
8,[0 0 0 0 0 0 1],[-0.13948595  0.01772099  1.02084539  1.        ],0.0007209891785684916
9,[0 0 0 0 0 0 1],[-0.13948572  0.01771001  1.02084553  1.        ],0.0007100063529739999
10,[0 0 0 0 0 0 1],[-0.13948543  0.01769518  1.02084573  1.        ],0.0006951848331491206
11,[0 0 0 0 0 0 1],[-0.13948508  0.01767737  1.02084598  1.        ],0.0006773655287214929
12,[0 0 0 0 0 0 1],[-0.1394847   0.01765742  1.02084625  1.        ],0.000657423573419795
13,[0 0 0 0 0 0 1],[-0.13948428  0.0176362   1.02084653  1.        ],0.0006361957188928194
14,[0 0 0 0 0 0 1],[-0.13948386  0.01761444  1.02084681  1.        ],0.0006144392957900674
15,[0 0 0 0 0 0 1],[-0.13948344  0.01759281  1.02084707  1.        ],0.000592807410143413
16,[0 0 0 0 0 0 1],[-0.13948304  0.01757168  1.02084731  1.        ],0.0005716843878434096
17,[0 0 0 0 0 0 1],[-0.13948266  0.01755127  1.02084752  1.        ],0.0005512745423257095
18,[0 0 0 0 0 0 1],[-0.13948229  0.01753185  1.02084771  1.        ],0.0005318462525288788
