step,action,eef_pos,good,target_pos
351,[ 0.3         0.07033643  0.         -1.        ],[-0.15710962 -0.00793178],True,[0.05400574 0.0419799 ]
352,[ 0.3         0.07033643  0.         -1.        ],[-0.15527052 -0.00737246],True,[0.05400574 0.0419799 ]
353,[ 0.3         0.07033643  0.         -1.        ],[-0.15289946 -0.00657055],True,[0.05400574 0.0419799 ]
354,[ 0.3         0.07033643  0.         -1.        ],[-0.1502273  -0.00569553],True,[0.05400574 0.0419799 ]
355,[ 0.3         0.07033643  0.         -1.        ],[-0.14729665 -0.00479272],True,[0.05400574 0.0419799 ]
356,[ 0.3         0.07033643  0.         -1.        ],[-0.14414307 -0.00387928],True,[0.05400574 0.0419799 ]
357,[ 0.3         0.07033643  0.         -1.        ],[-0.14081289 -0.00296316],True,[0.05400574 0.0419799 ]
358,[ 0.3         0.07033643  0.         -1.        ],[-0.13733338 -0.00204811],True,[0.05400574 0.0419799 ]
359,[ 0.3         0.07033643  0.         -1.        ],[-0.13373087 -0.00113564],True,[0.05400574 0.0419799 ]
360,[ 0.3         0.07033643  0.         -1.        ],[-0.13003099 -0.00022608],True,[0.05400574 0.0419799 ]
361,[ 0.3         0.07033643  0.         -1.        ],[-0.12625737  0.00068074],True,[0.05400574 0.0419799 ]
362,[ 0.3         0.07033643  0.         -1.        ],[-0.12243075  0.00158614],True,[0.05400574 0.0419799 ]
363,[ 0.3         0.07033643  0.         -1.        ],[-0.11856859  0.00249113],True,[0.05400574 0.0419799 ]
364,[ 0.3         0.07033643  0.         -1.        ],[-0.11468497  0.00339323],True,[0.05400574 0.0419799 ]
365,[ 0.3         0.07033643  0.         -1.        ],[-0.11079071  0.00429048],True,[0.05400574 0.0419799 ]
366,[ 0.3         0.07033643  0.         -1.        ],[-0.10689377  0.00518372],True,[0.05400574 0.0419799 ]
367,[ 0.3         0.07033643  0.         -1.        ],[-0.10299966  0.00607394],True,[0.05400574 0.0419799 ]
368,[ 0.3         0.07033643  0.         -1.        ],[-0.09911185  0.00696178],True,[0.05400574 0.0419799 ]
369,[ 0.3         0.07033643  0.         -1.        ],[-0.09523226  0.00784758],True,[0.05400574 0.0419799 ]
370,[ 0.3         0.07033643  0.         -1.        ],[-0.09136161  0.00873151],True,[0.05400574 0.0419799 ]
371,[ 0.3         0.07033643  0.         -1.        ],[-0.08749974  0.00961361],True,[0.05400574 0.0419799 ]
372,[ 0.3         0.07033643  0.         -1.        ],[-0.08364597  0.01049391],True,[0.05400574 0.0419799 ]
373,[ 0.3         0.07033643  0.         -1.        ],[-0.07979928  0.01137241],True,[0.05400574 0.0419799 ]
374,[ 0.3         0.07033643  0.         -1.        ],[-0.07595849  0.01224913],True,[0.05400574 0.0419799 ]
375,[ 0.3         0.07033643  0.         -1.        ],[-0.07212242  0.01312408],True,[0.05400574 0.0419799 ]
376,[ 0.3         0.07033643  0.         -1.        ],[-0.06828996  0.01399729],True,[0.05400574 0.0419799 ]
377,[ 0.3         0.07033643  0.         -1.        ],[-0.06446012  0.01486879],True,[0.05400574 0.0419799 ]
378,[ 0.3         0.07033643  0.         -1.        ],[-0.06063207  0.01573863],True,[0.05400574 0.0419799 ]
379,[ 0.3         0.07033643  0.         -1.        ],[-0.05680512  0.01660685],True,[0.05400574 0.0419799 ]
380,[ 0.3         0.07033643  0.         -1.        ],[-0.05297877  0.01747348],True,[0.05400574 0.0419799 ]
381,[ 0.3         0.07033643  0.         -1.        ],[-0.04915263  0.01833856],True,[0.05400574 0.0419799 ]
382,[ 0.3         0.07033643  0.         -1.        ],[-0.04532644  0.01920213],True,[0.05400574 0.0419799 ]
383,[ 0.3         0.07033643  0.         -1.        ],[-0.04150006  0.02006422],True,[0.05400574 0.0419799 ]
384,[ 0.3         0.07033643  0.         -1.        ],[-0.03767339  0.02092487],True,[0.05400574 0.0419799 ]
385,[ 0.3         0.07033643  0.         -1.        ],[-0.03384644  0.0217841 ],True,[0.05400574 0.0419799 ]
386,[ 0.3         0.07033643  0.         -1.        ],[-0.03001922  0.02264193],True,[0.05400574 0.0419799 ]
387,[ 0.3         0.07033643  0.         -1.        ],[-0.02619179  0.0234984 ],True,[0.05400574 0.0419799 ]
388,[ 0.3         0.07033643  0.         -1.        ],[-0.02236424  0.02435352],True,[0.05400574 0.0419799 ]
389,[ 0.3         0.07033643  0.         -1.        ],[-0.01853663  0.02520732],True,[0.05400574 0.0419799 ]
390,[ 0.3         0.07033643  0.         -1.        ],[-0.01470906  0.02605981],True,[0.05400574 0.0419799 ]
391,[ 0.3         0.07033643  0.         -1.        ],[-0.01088161  0.02691102],True,[0.05400574 0.0419799 ]
392,[ 0.3         0.07033643  0.         -1.        ],[-0.00705437  0.02776097],True,[0.05400574 0.0419799 ]
393,[ 0.3         0.07033643  0.         -1.        ],[-0.0032274   0.02860967],True,[0.05400574 0.0419799 ]
394,[ 0.3         0.07033643  0.         -1.        ],[0.00059923 0.02945715],True,[0.05400574 0.0419799 ]
395,[ 0.3         0.07033643  0.         -1.        ],[0.00442545 0.03030342],True,[0.05400574 0.0419799 ]
396,[ 0.3         0.07033643  0.         -1.        ],[0.00825123 0.0311485 ],True,[0.05400574 0.0419799 ]
397,[ 0.3         0.07033643  0.         -1.        ],[0.01207649 0.03199242],True,[0.05400574 0.0419799 ]
398,[ 0.3         0.07033643  0.         -1.        ],[0.01590121 0.03283518],True,[0.05400574 0.0419799 ]
399,[ 0.3         0.07033643  0.         -1.        ],[0.01972534 0.0336768 ],True,[0.05400574 0.0419799 ]
400,[ 0.3         0.07033643  0.         -1.        ],[0.02354885 0.03451731],True,[0.05400574 0.0419799 ]
401,[ 0.3         0.07033643  0.         -1.        ],[0.02737168 0.03535673],True,[0.05400574 0.0419799 ]
402,[ 0.3         0.07033643  0.         -1.        ],[0.03119382 0.03619506],True,[0.05400574 0.0419799 ]
403,[ 0.3         0.07033643  0.         -1.        ],[0.03501521 0.03703233],True,[0.05400574 0.0419799 ]
404,[ 0.3         0.07033643  0.         -1.        ],[0.03883583 0.03786855],True,[0.05400574 0.0419799 ]
405,[ 0.  0.  0. -1.],[0.04110106 0.03833718],True,[0.05400574 0.0419799 ]
406,[ 0  0  0 -1],[0.04230382 0.03854324],True,[0.05400574 0.0419799 ]
407,[ 0  0  0 -1],[0.04328399 0.03867722],True,[0.05400574 0.0419799 ]
408,[ 0  0  0 -1],[0.04409475 0.03876241],True,[0.05400574 0.0419799 ]
409,[ 0  0  0 -1],[0.04473832 0.03881667],True,[0.05400574 0.0419799 ]
410,[ 0  0  0 -1],[0.04522094 0.0388497 ],True,[0.05400574 0.0419799 ]
411,[ 0  0  0 -1],[0.04555053 0.03887136],True,[0.05400574 0.0419799 ]
412,[ 0  0  0 -1],[0.04577527 0.0388896 ],True,[0.05400574 0.0419799 ]
413,[ 0  0  0 -1],[0.04595095 0.03890629],True,[0.05400574 0.0419799 ]
414,[ 0  0  0 -1],[0.04608781 0.03892068],True,[0.05400574 0.0419799 ]
415,[ 0  0  0 -1],[0.04619241 0.03893258],True,[0.05400574 0.0419799 ]
416,[ 0  0  0 -1],[0.04627559 0.03894238],True,[0.05400574 0.0419799 ]
417,[ 0  0  0 -1],[0.04634638 0.03895047],True,[0.05400574 0.0419799 ]
418,[ 0  0  0 -1],[0.04640977 0.03895716],True,[0.05400574 0.0419799 ]
419,[ 0  0  0 -1],[0.0464577  0.03896222],True,[0.05400574 0.0419799 ]
420,[ 0  0  0 -1],[0.0464938  0.03896616],True,[0.05400574 0.0419799 ]
421,[ 0  0  0 -1],[0.04652184 0.03896934],True,[0.05400574 0.0419799 ]
422,[ 0  0  0 -1],[0.04654384 0.03897196],True,[0.05400574 0.0419799 ]
423,[ 0  0  0 -1],[0.04656123 0.03897414],True,[0.05400574 0.0419799 ]
