step,action,eef_pos,good,target_pos
0,[ 0.3       -0.2381786  0.        -1.       ],[ 0.09798335 -0.23624751],False,[-0.0698727  -0.12250824]
1,[ 0.3       -0.2381786  0.        -1.       ],[ 0.1005619  -0.24205242],False,[-0.0698727  -0.12250824]
2,[ 0.3       -0.2381786  0.        -1.       ],[ 0.10331258 -0.24677215],False,[-0.0698727  -0.12250824]
3,[ 0.3       -0.2381786  0.        -1.       ],[ 0.10614478 -0.25082014],False,[-0.0698727  -0.12250824]
4,[ 0.3       -0.2381786  0.        -1.       ],[ 0.10906693 -0.25438414],False,[-0.0698727  -0.12250824]
5,[ 0.3       -0.2381786  0.        -1.       ],[ 0.11208457 -0.25762671],False,[-0.0698727  -0.12250824]
6,[ 0.3       -0.2381786  0.        -1.       ],[ 0.11518563 -0.26062686],False,[-0.0698727  -0.12250824]
7,[ 0.3       -0.2381786  0.        -1.       ],[ 0.11834984 -0.26349713],False,[-0.0698727  -0.12250824]
8,[ 0.3       -0.2381786  0.        -1.       ],[ 0.12157234 -0.26630699],False,[-0.0698727  -0.12250824]
