step,action,eef_pos,obj_pos,eef_abstract_state,obj_abstract_state,grid_half_size
0,"[ 0.12547358 -0.18676558  0.          0.          0.          0.
 -1.        ]",[-0.09855177 -0.01989522  1.02889066 -1.        ],[ 2.43077453e-07 -1.66666586e-01  9.17743166e-01],2,4,[0.25 0.25 0.05]
1,"[ 0.12542728 -0.18679667  0.          0.          0.          0.
 -1.        ]",[-0.09731673 -0.0214546   1.02873073 -1.        ],[ 9.69669257e-08 -1.66666634e-01  9.21384552e-01],2,4,[0.25 0.25 0.05]
2,"[ 0.12526047 -0.18690858  0.          0.          0.          0.
 -1.        ]",[-0.09595233 -0.02314306  1.02855726 -1.        ],[ 1.74717658e-08 -1.66666661e-01  9.23176835e-01],2,4,[0.25 0.25 0.05]
3,"[ 0.12505098 -0.18704879  0.          0.          0.          0.
 -1.        ]",[-0.09454288 -0.02494335  1.02839415 -1.        ],[-2.52063102e-08 -1.66666675e-01  9.24039353e-01],2,4,[0.25 0.25 0.05]
4,"[ 0.12486301 -0.18717433  0.          0.          0.          0.
 -1.        ]",[-0.0931035  -0.02685875  1.0282495  -1.        ],[-4.54815808e-08 -1.66666682e-01  9.24429097e-01],2,4,[0.25 0.25 0.05]
5,"[ 0.12471314 -0.18727422  0.          0.          0.          0.
 -1.        ]",[-0.09163846 -0.02888618  1.0281241  -1.        ],[-5.64033836e-08 -1.66666685e-01  9.24610590e-01],2,4,[0.25 0.25 0.05]
6,"[ 0.12460489 -0.18734626  0.          0.          0.          0.
 -1.        ]",[-0.09015168 -0.03101496  1.02801567 -1.        ],[-6.67018600e-08 -1.66666689e-01  9.24698458e-01],2,4,[0.25 0.25 0.05]
7,"[ 0.12453697 -0.18739142  0.          0.          0.          0.
 -1.        ]",[-0.08864747 -0.03322996  1.02792083 -1.        ],[-7.68897654e-08 -1.66666692e-01  9.24741717e-01],2,4,[0.25 0.25 0.05]
8,"[ 0.12450563 -0.18741224  0.          0.          0.          0.
 -1.        ]",[-0.08713013 -0.03551477  1.02783604 -1.        ],[-8.70267276e-08 -1.66666696e-01  9.24763174e-01],2,4,[0.25 0.25 0.05]
9,"[ 0.12450618 -0.18741188  0.          0.          0.          0.
 -1.        ]",[-0.08560351 -0.03785333  1.02775806 -1.        ],[-9.71391330e-08 -1.66666699e-01  9.24773855e-01],2,4,[0.25 0.25 0.05]
10,"[ 0.12453342 -0.18739378  0.          0.          0.          0.
 -1.        ]",[-0.08407076 -0.04023085  1.02768428 -1.        ],[-1.07239492e-07 -1.66666702e-01  9.24779181e-01],2,4,[0.25 0.25 0.05]
11,"[ 0.12458197 -0.1873615   0.          0.          0.          0.
 -1.        ]",[-0.08253419 -0.04263454  1.02761269 -1.        ],[-1.17333889e-07 -1.66666706e-01  9.24781838e-01],5,4,[0.25 0.25 0.05]
12,"[ 0.12464659 -0.18731852  0.          0.          0.          0.
 -1.        ]",[-0.08099537 -0.04505384  1.02754194 -1.        ],[-1.27425321e-07 -1.66666709e-01  9.24783165e-01],5,4,[0.25 0.25 0.05]
