step,action,eef_pos,obj_pos,eef_abstract_state,obj_abstract_state,grid_half_size
0,"[-0.07146516 -0.21334885  0.          0.          0.          0.
 -1.        ]",[-0.10612016  0.01413015  1.00802151 -1.        ],[-0.16666632 -0.16666632  0.91774327],2,1,[0.25 0.25 0.05]
1,"[-0.07144951 -0.21335409  0.          0.          0.          0.
 -1.        ]",[-0.10680559  0.01229932  1.00811893 -1.        ],[-0.16666653 -0.16666653  0.92138461],2,1,[0.25 0.25 0.05]
2,"[-0.07137199 -0.21338003  0.          0.          0.          0.
 -1.        ]",[-0.10756219  0.01030386  1.00822903 -1.        ],[-0.16666664 -0.16666664  0.92317686],2,1,[0.25 0.25 0.05]
3,"[-0.07127529 -0.21341235  0.          0.          0.          0.
 -1.        ]",[-0.10833345  0.00817497  1.00834173 -1.        ],[-0.1666667  -0.1666667   0.92403937],2,1,[0.25 0.25 0.05]
4,"[-0.07120911 -0.21343444  0.          0.          0.          0.
 -1.        ]",[-0.10911273  0.00591796  1.00845073 -1.        ],[-0.16666673 -0.16666673  0.9244291 ],2,1,[0.25 0.25 0.05]
5,"[-0.07117988 -0.2134442   0.          0.          0.          0.
 -1.        ]",[-0.10990123  0.00354321  1.00855329 -1.        ],[-0.16666674 -0.16666674  0.92461059],2,1,[0.25 0.25 0.05]
6,"[-0.07118376 -0.2134429   0.          0.          0.          0.
 -1.        ]",[-0.11070038  0.00106729  1.00864832 -1.        ],[-0.16666675 -0.16666675  0.92469846],2,1,[0.25 0.25 0.05]
7,"[-0.07121419 -0.21343275  0.          0.          0.          0.
 -1.        ]",[-0.11151089 -0.00149081  1.00873554 -1.        ],[-0.16666676 -0.16666676  0.92474172],2,1,[0.25 0.25 0.05]
8,"[-0.07126422 -0.21341605  0.          0.          0.          0.
 -1.        ]",[-0.11233268 -0.00411286  1.0088152  -1.        ],[-0.16666677 -0.16666677  0.92476317],2,1,[0.25 0.25 0.05]
9,"[-0.07132771 -0.21339484  0.          0.          0.          0.
 -1.        ]",[-0.11316505 -0.00678253  1.00888791 -1.        ],[-0.16666678 -0.16666678  0.92477385],2,1,[0.25 0.25 0.05]
10,"[-0.07139971 -0.21337076  0.          0.          0.          0.
 -1.        ]",[-0.11400679 -0.0094859   1.00895462 -1.        ],[-0.16666678 -0.16666678  0.92477918],2,1,[0.25 0.25 0.05]
11,"[-0.07147647 -0.21334506  0.          0.          0.          0.
 -1.        ]",[-0.11485637 -0.01221165  1.00901645 -1.        ],[-0.16666679 -0.16666679  0.92478184],2,1,[0.25 0.25 0.05]
12,"[-0.07155546 -0.21331858  0.          0.          0.          0.
 -1.        ]",[-0.1157121  -0.01495097  1.00907462 -1.        ],[-0.1666668  -0.1666668   0.92478317],2,1,[0.25 0.25 0.05]
13,"[-0.07163524 -0.2132918   0.          0.          0.          0.
 -1.        ]",[-0.11657227 -0.01769734  1.00913034 -1.        ],[-0.16666681 -0.16666681  0.92478383],2,1,[0.25 0.25 0.05]
14,"[-0.07171528 -0.2132649   0.          0.          0.          0.
 -1.        ]",[-0.11743521 -0.02044624  1.00918479 -1.        ],[-0.16666681 -0.16666681  0.92478416],2,1,[0.25 0.25 0.05]
15,"[-0.07179578 -0.21323782  0.          0.          0.          0.
 -1.        ]",[-0.11829943 -0.02319476  1.00923901 -1.        ],[-0.16666682 -0.16666682  0.92478432],2,1,[0.25 0.25 0.05]
16,"[-0.07187743 -0.21321031  0.          0.          0.          0.
 -1.        ]",[-0.11916369 -0.02594122  1.0092939  -1.        ],[-0.16666683 -0.16666683  0.92478441],2,1,[0.25 0.25 0.05]
17,"[-0.07196127 -0.21318203  0.          0.          0.          0.
 -1.        ]",[-0.12002695 -0.02868488  1.00935019 -1.        ],[-0.16666684 -0.16666684  0.92478445],2,1,[0.25 0.25 0.05]
18,"[-0.07204847 -0.21315257  0.          0.          0.          0.
 -1.        ]",[-0.12088847 -0.03142565  1.00940843 -1.        ],[-0.16666684 -0.16666684  0.92478447],2,1,[0.25 0.25 0.05]
19,"[-0.07214024 -0.21312153  0.          0.          0.          0.
 -1.        ]",[-0.12174775 -0.03416384  1.009469   -1.        ],[-0.16666685 -0.16666685  0.92478448],2,1,[0.25 0.25 0.05]
20,"[-0.07223774 -0.2130885   0.          0.          0.          0.
 -1.        ]",[-0.12260452 -0.03689997  1.00953214 -1.        ],[-0.16666686 -0.16666686  0.92478448],2,1,[0.25 0.25 0.05]
21,"[-0.07234197 -0.21305314  0.          0.          0.          0.
 -1.        ]",[-0.12345873 -0.03963469  1.00959795 -1.        ],[-0.16666687 -0.16666687  0.92478449],2,1,[0.25 0.25 0.05]
22,"[-0.07245376 -0.21301515  0.          0.          0.          0.
 -1.        ]",[-0.12431048 -0.04236863  1.00966642 -1.        ],[-0.16666688 -0.16666688  0.92478449],2,1,[0.25 0.25 0.05]
23,"[-0.07257379 -0.21297428  0.          0.          0.          0.
 -1.        ]",[-0.12515999 -0.04510237  1.00973746 -1.        ],[-0.16666688 -0.16666688  0.92478449],2,1,[0.25 0.25 0.05]
24,"[-0.07270254 -0.21293037  0.          0.          0.          0.
 -1.        ]",[-0.12600755 -0.0478364   1.00981096 -1.        ],[-0.16666689 -0.16666689  0.92478449],2,1,[0.25 0.25 0.05]
25,"[-0.0728404  -0.21288324  0.          0.          0.          0.
 -1.        ]",[-0.12685275 -0.05057132  1.00988676 -1.        ],[-0.1666669  -0.1666669   0.92478449],2,1,[0.25 0.25 0.05]
26,"[-0.07298905 -0.21283232  0.          0.          0.          0.
 -1.        ]",[-0.12769909 -0.05330603  1.00996236 -1.        ],[-0.16666691 -0.16666691  0.92478449],2,1,[0.25 0.25 0.05]
